source_row_uid,eligible_voters,actual_voters,scan_locality_code,source_locality_name,source_kalpi,evidence_method,final_report_pdf,final_report_page,planned_list_part,planned_list_page,ocr_variant_votes,ocr_confidence,evidence_note
K17:150,362,238,7,שחר,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.999482,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:151,270,180,10,תירוש,10,final_report_rapidocr,yehuda.pdf,2,,,3,0.997209,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:152,296,173,11,"ניר ח""ן",10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.998125,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:153,465,300,13,חצבה,10,final_report_rapidocr,beersheva.pdf,2,,,3,0.998858,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:154,320,189,15,נועם,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.996515,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:155,224,169,16,בית ניר,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.997209,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:156,284,199,18,שדה משה,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.998252,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:157,179,130,22,מקווה ישראל,10,final_report_rapidocr,dandarom.pdf,2,,,3,0.994234,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:158,118,76,23,אמציה,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.998961,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:159,365,304,24,לכיש,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.999805,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:160,578,395,26,ראש פינה,10,final_report_rapidocr,tzfat.pdf,2,,,3,0.997248,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:161,622,420,26,ראש פינה,20,final_report_rapidocr,tzfat.pdf,2,,,3,0.99723,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
