source_identity,solution,geometry_target,custom_geography_id
תל אביב - יפו,accepted_locality_match,תל אביב -יפו,
הרצליה,accepted_locality_match,הרצלייה,
מסעודין אל-עזאזמה [939],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מודיעין-מכבים-רעו,accepted_locality_match,מודיעין-מכבים-רעות*,
נהריה,accepted_locality_match,נהרייה,
קרית אתא,accepted_locality_match,קריית אתא,
קרית מוצקין,accepted_locality_match,קריית מוצקין,
נצרת עילית,accepted_locality_match,נוף הגליל,
קרית גת,accepted_locality_match,קריית גת,
קרית ביאליק,accepted_locality_match,קריית ביאליק,
קרית ים,accepted_locality_match,קריית ים,
קרית אונו,accepted_locality_match,קריית אונו,
יהוד-נווה אפרים,accepted_locality_match,יהוד,
אבו רוקייק )שבט( [961],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אעצם )שבט( [963],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
שגור,historical_stat_area_pending,בענה | דייר אל-אסד | מג'ד אל-כרום,
קרית שמונה,accepted_locality_match,קריית שמונה,
אבו רובייעה )שבט( [966],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
קרית מלאכי,accepted_locality_match,קריית מלאכי,
אבו קורינאת )שבט( [968],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
באקה-ג'ת,historical_stat_area_pending,באקה אל-גרביה | ג'ת,
קרית טבעון,accepted_locality_match,קריית טבעון,
עיר כרמל,historical_stat_area_pending,דאלית אל-כרמל | עספיא,
צורן-קדימה,accepted_locality_match,קדימה-צורן,
בנימינה-גבעת עדה,accepted_locality_match,בנימינה-גבעת עדה*,
מכבים-רעות [1273],accepted_locality_match,מודיעין-מכבים-רעות*,
הוואשלה )שבט( [1169],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
שער שומרון [3826],historical_stat_area_pending,עץ אפרים | שערי תקווה,
קרית עקרון,accepted_locality_match,קריית עקרון,
