election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,2189,ערערה-בנגב,50,part 2 page 133,0,ביה"ס אבן סינא,targeted manual review of K17 scanned polling-place list
K17,2190,ערערה-בנגב,9900,part 2 page 133,0,ביה"ס אבן סינא,targeted manual review of K17 scanned polling-place list
K17,3132,טייבה,110,part 1 page 123,0,ביה"ס אבן-סינא ב',targeted manual review of K17 scanned polling-place list
K17,3136,טייבה,150,part 1 page 123,0,ביה"ס אבן-סינא ב',targeted manual review of K17 scanned polling-place list
K17,3146,טייבה,250,part 1 page 123,0,ביה"ס חט"ב אל-סלאם,targeted manual review of K17 scanned polling-place list
K17,3147,טייבה,260,part 1 page 123,0,ביה"ס חט"ב אל-סלאם,targeted manual review of K17 scanned polling-place list
K17,3148,טייבה,270,part 1 page 123,0,ביה"ס חט"ב אל-סלאם,targeted manual review of K17 scanned polling-place list
K17,3149,טייבה,280,part 1 page 123,0,ביה"ס אבן-סינא ב',targeted manual review of K17 scanned polling-place list
K17,3150,טייבה,290,part 1 page 123,0,ביה"ס אבן-סינא ב',targeted manual review of K17 scanned polling-place list
K17,3151,טייבה,300,part 1 page 123,0,ביה"ס אל-חכמה,targeted manual review of K17 scanned polling-place list
K17,3152,טייבה,310,part 1 page 123,0,ביה"ס אל-חכמה,targeted manual review of K17 scanned polling-place list
