election,locality_code,kalpi,pdf_page,corrected_address,corrected_place,review_status,review_note
K18,1139,14,77,"בז,11",,corrected,"Printed PDF cell reads בז,11; OCR intermediate had 11,0; corroborated by K19-K25 digital sources"
K18,1139,51,78,"בז,11",,corrected,"Printed PDF cell reads בז,11; OCR intermediate had 11,0; corroborated by K19-K25 digital sources"
K18,1139,65,79,"בז,11",,corrected,"Printed PDF cell reads בז,11; OCR intermediate had 11,0; corroborated by K19-K25 digital sources"
K18,1286,1,301,,,confirmed_source,"Printed PDF cell contains 38, with no street text; facility is בי""ס יסודי אלנור א'"
K18,1286,2,301,,,confirmed_source,"Printed PDF cell contains 38, with no street text; facility is בי""ס יסודי אלנור א'"
K18,1286,3,301,,,confirmed_source,"Printed PDF cell contains 38, with no street text; facility is בי""ס יסודי אלנור א'"
K18,1286,4,301,,,confirmed_source,"Printed PDF cell contains 38, with no street text; facility is בי""ס יסודי אלנור א'"
K18,1286,5,301,,,confirmed_source,"Printed PDF cell contains 38, with no street text; facility is בי""ס יסודי אלנור א'"
K18,3000,321,7,"זנגויל,25",,corrected,"Printed PDF cell reads זנגויל,25; OCR intermediate had a leading artifact and reversed the number to 52; corroborated by K19-K25 sources"
K18,1061,44,63,"ציפורן,8",,corrected,"Printed PDF cell reads ציפורן,8; OCR intermediate added leading punctuation; corroborated by the other K18 rows at the same facility and K19-K21 sources"
K18,7900,133,163,"סעדיה גאון,8",,corrected,"Printed PDF cell reads סעדיה גאון,8; OCR intermediate added leading punctuation; corroborated by the other K18 rows at the same facility and K19-K25 sources"
K18,5000,285,211,"ז'בוטינסקי,106",,corrected,"Printed PDF cell reads ז'בוטינסקי,106; OCR intermediate was corrupted; corroborated by adjacent K18 rows and K19-K25 sources"
K18,6100,105,225,"אנילביץ,27",,corrected,"Printed PDF cell reads אנילביץ,27; OCR intermediate was corrupted; K19 has the same facility at אנילביץ,29"
K18,3000,2,2,"אהלי יוסף,15",,corrected,"User-confirmed K18 address review #28; OCR address was 'אהל1 יוסף,51'"
K18,3000,27,2,"אהלי יוסף,15",,corrected,"User-confirmed K18 address review #28; OCR address was 'אהל1 יוסף,51'"
K18,3000,28,2,"אהלי יוסף,15",,corrected,"User-confirmed K18 address review #28; OCR address was 'אהל1 יוסף,51'"
K18,3000,48,2,"אהלי יוסף,15",,corrected,"User-confirmed K18 address review #28; OCR address was 'אהל1 יוסף,51'"
K18,3000,135,4,"סמולנסקין,7",,corrected,"User-confirmed K18 address review #25; OCR address was '0מולנ0קין,7'"
K18,3000,155,4,"סמולנסקין,7",,corrected,"User-confirmed K18 address review #25; OCR address was '0מולנ0קין,7'"
K18,3000,207,4,"הרב טייב חי,46",,corrected,"User-confirmed K18 address review #13; OCR address was 'הרב טייב 1n 46,'"
K18,3000,221,5,"אהלי יוסף,15",,corrected,"User-confirmed K18 address review #28; OCR address was 'אהל1 יוסף,51'"
K18,3000,255,6,"הקבלן,8",,corrected,"User-confirmed K18 address review #26; OCR address was 'I הקבלן,8'"
K18,3000,270,6,"בן ציון,7",,corrected,"User-confirmed K18 address review #2; OCR address was 'P צי!|,7'"
K18,3000,273,6,"בזל,3","נועם - בי""ס תורני לבנות",corrected,"User-confirmed K18 address review #1; OCR address was '0ל,3'; user also corrected place from 'נועם-בי""ס תורני לבנות'"
K18,3000,672,16,"אברהם רקנטי,6",,corrected,"User-confirmed K18 address review #27; OCR address was 'רקנט1 אברהם,6'"
K18,3000,776,19,"מעוז,1",,corrected,"User-confirmed K18 address review #29; OCR address was 'מע1ז,1'"
K18,2610,31,24,"רבנו חיים הלוי,1",,corrected,"User-confirmed K18 address review #22; OCR address was 'רבנו חיים הלו1,1'"
K18,2610,61,25,"נהר הירדן,58",,corrected,"User-confirmed K18 address review #21; OCR address was '| נהר הירדן,85'"
K18,3616,40,30,"הרכס,27",,corrected,"User-confirmed K18 address review #30; OCR address was 'הרכ0,72'"
K18,2800,2,40,"יהודה הלוי,14",,corrected,"User-confirmed K18 address review #24; OCR address was '■הודה הלו1,41'"
K18,1061,57,64,"יקינטון,7",,corrected,"User-confirmed K18 address review #15; OCR address was '■קינטון,7'"
