election,election_number,source_column,ballot_letter,total_votes,list_name_he,name_source,display_name_he,display_name_en,wikipedia_he_url,wikipedia_en_url,wikipedia_match_status,official_source_url,wikipedia_source_url,notes
K25,25,אמת,אמת,175992,מפלגת העבודה בראשות מרב מיכאלי,official_results,מפלגת העבודה הישראלית,Israeli Labor Party,https://he.wikipedia.org/wiki/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA_%D7%94%D7%A2%D7%91%D7%95%D7%93%D7%94_%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA,https://en.wikipedia.org/wiki/Israeli_Labor_Party,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,אצ,אצ,15801,חופש כלכלי בראשות אביר קארה,official_results,חופש כלכלי בראשות אביר קארה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ב,ב,56775,הבית היהודי בראשות איילת שקד,official_results,הבית היהודי,The Jewish Home,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%99%D7%AA_%D7%94%D7%99%D7%94%D7%95%D7%93%D7%99,https://en.wikipedia.org/wiki/The_Jewish_Home,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ג,ג,280194,יהדות התורה והשבת אגודת ישראל - דגל התורה,official_results,יהדות התורה והשבת אגודת ישראל - דגל התורה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ד,ד,138617,"בל""ד - אלתג'מוע אלווטני אלדמוקרטי בראשות סמי אבו שחאדה",wikipedia_election_results,ברית לאומית דמוקרטית,Balad (political party),https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%99%D7%AA_%D7%9C%D7%90%D7%95%D7%9E%D7%99%D7%AA_%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%AA,https://en.wikipedia.org/wiki/Balad_(political_party),list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ום,ום,178735,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי",official_results,"חד""ש-תע""ל",Hadash–Ta'al,https://he.wikipedia.org/wiki/%D7%97%D7%93%22%D7%A9-%D7%AA%D7%A2%22%D7%9C,https://en.wikipedia.org/wiki/Hadash%E2%80%93Ta%27al,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ז,ז,430,שחר כוח חברתי בראשות וג`די טאהר,official_results,שחר כוח חברתי בראשות וג`די טאהר,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,זך,זך,205,"קמ""ה - קידום מעמד הפרט",official_results,"קמ""ה - קידום מעמד הפרט",,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,זנ,זנ,153,כח להשפיע בראשות בני אלבז,official_results,כח להשפיע בראשות בני אלבז,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,זץ,זץ,292,צומת בראשות משה גרין דרכו של רפול,official_results,מפלגת צומת,Tzomet,https://he.wikipedia.org/wiki/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA_%D7%A6%D7%95%D7%9E%D7%AA,https://en.wikipedia.org/wiki/Tzomet,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ט,ט,516470,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית בראשות איתמר בן גביר,official_results,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית בראשות איתמר בן גביר,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,י,י,1157,ישראל חופשית דמוקרטית בראשות אלי אבידר,official_results,ישראל חופשית דמוקרטית בראשות אלי אבידר,,,,linked_name_resolves_to_person,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,יז,יז,13920,הכלכלית החדשה בראשות פרופסור ירון זליכה,official_results,הכלכלית החדשה בראשות פרופסור ירון זליכה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ינ,ינ,234,איחוד בני הברית -בראשות רב חובל בשארה שליאן,official_results,איחוד בני הברית,Ihud Bnei HaBrit,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%97%D7%95%D7%93_%D7%91%D7%A0%D7%99_%D7%94%D7%91%D7%A8%D7%99%D7%AA,https://en.wikipedia.org/wiki/Ihud_Bnei_HaBrit,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,יץ,יץ,262,צו השעה,official_results,צו השעה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,יק,יק,411,"מפלגת הגוש התנ""כי",official_results,"מפלגת הגוש התנ""כי",,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,כן,כן,432482,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה,official_results,המחנה הממלכתי,National Unity (Israel),https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%97%D7%A0%D7%94_%D7%94%D7%9E%D7%9E%D7%9C%D7%9B%D7%AA%D7%99,https://en.wikipedia.org/wiki/National_Unity_(Israel),list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ך,ך,746,אני ואתה,official_results,אני ואתה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ל,ל,213687,ישראל ביתנו בראשות אביגדור ליברמן,official_results,ישראל ביתנו,Yisrael Beiteinu,https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A8%D7%90%D7%9C_%D7%91%D7%99%D7%AA%D7%A0%D7%95,https://en.wikipedia.org/wiki/Yisrael_Beiteinu,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,מחל,מחל,1115336,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,official_results,הליכוד,Likud,https://he.wikipedia.org/wiki/%D7%94%D7%9C%D7%99%D7%9B%D7%95%D7%93,https://en.wikipedia.org/wiki/Likud,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
