source_code,source_name,source_name_variants,elections,election_count,result_rows,eligible,voters,initial_bucket,candidate_target_codes,candidate_target_names,candidate_stat_counts,resolution_status,reviewed_target_code,reviewed_target_name,reviewed_rule,notes
"","תל אביב - יפו","תל אביב - יפו","K17","1","575","","214688","name_only_probable_spelling_or_spacing_match","5000","תל אביב -יפו","184","unreviewed","","","",""
"","הרצליה","הרצליה","K17","1","112","","47119","name_only_probable_spelling_or_spacing_match","6400","הרצלייה","36","unreviewed","","","",""
"939","מסעודין אל-עזאזמה","מסעודין אל-עזאזמה | מסעודין אלעזאזמה","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","92","56593","26595","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","מודיעין-מכבים-רעו","מודיעין-מכבים-רעו","K17","1","53","","25732","needs_research","","","","unreviewed","","","",""
"","נהריה","נהריה","K17","1","66","","23604","name_only_probable_spelling_or_spacing_match","9100","נהרייה","21","unreviewed","","","",""
"","קרית אתא","קרית אתא","K17","1","67","","23434","name_only_probable_spelling_or_spacing_match","6800","קריית אתא","16","unreviewed","","","",""
"","קרית מוצקין","קרית מוצקין","K17","1","54","","20772","name_only_probable_spelling_or_spacing_match","8200","קריית מוצקין","14","unreviewed","","","",""
"","נצרת עילית","נצרת עילית","K17","1","64","","20718","needs_research","","","","unreviewed","","","",""
"","קרית גת","קרית גת","K17","1","56","","19866","name_only_probable_spelling_or_spacing_match","2630","קריית גת","20","unreviewed","","","",""
"","קרית ביאליק","קרית ביאליק","K17","1","52","","19537","name_only_probable_spelling_or_spacing_match","9500","קריית ביאליק","16","unreviewed","","","",""
"","קרית ים","קרית ים","K17","1","54","","18078","name_only_probable_spelling_or_spacing_match","9600","קריית ים","14","unreviewed","","","",""
"","קרית אונו","קרית אונו","K17","1","35","","14643","name_only_probable_spelling_or_spacing_match","2620","קריית אונו","13","unreviewed","","","",""
"","יהוד-נווה אפרים","יהוד-נווה אפרים","K17","1","33","","13087","needs_research","","","","unreviewed","","","",""
"961","אבו רוקייק )שבט(","אבו רוקייק (שבט) | אבו רוקייק )שבט( | אבו רוקייק שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","61","39011","12975","code_absent_no_name_candidate","","","","unreviewed","","","",""
"963","אעצם )שבט(","אעצם (שבט) | אעצם )שבט( | אעצם שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","57","37047","12726","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","שגור","שגור","K17","1","21","","11069","needs_research","","","","unreviewed","","","",""
"","קרית שמונה","קרית שמונה","K17","1","26","","9028","name_only_probable_spelling_or_spacing_match","2800","קריית שמונה","11","unreviewed","","","",""
"966","אבו רובייעה )שבט(","אבו רובייעה (שבט) | אבו רובייעה )שבט( | אבו רובייעה שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","51","32010","8831","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","קרית מלאכי","קרית מלאכי","K17","1","23","","7900","name_only_probable_spelling_or_spacing_match","1034","קריית מלאכי","13","unreviewed","","","",""
"968","אבו קורינאת )שבט(","אבו קורינאת (שבט) | אבו קורינאת )שבט( | אבו קורינאת שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","37","24438","7880","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","באקה-ג'ת","באקה-ג'ת","K17","1","27","","7880","needs_research","","","","unreviewed","","","",""
