unique locality unmatched,review,possible match,solution,geometry target,custom geometry id,data handling,Notes
"תל אביב - יפו","TRUE","תל אביב -יפו","accepted_locality_match","תל אביב -יפו","","Use the reviewed 2022 locality match.",""
"הרצליה","TRUE","הרצלייה","accepted_locality_match","הרצלייה","","Use the reviewed 2022 locality match.",""
"מסעודין אל-עזאזמה [939]","TRIBE","","custom_point_size_polygon","custom:tribal_negev","custom:tribal_negev","Aggregate all TRIBE rows per election into a single tribal/dispersed-settlement custom area and preserve source-row contributions.","add to tribal point polygon"
"מודיעין-מכבים-רעו","TRUE","מודיעין-מכבים-רעות*","accepted_locality_match","מודיעין-מכבים-רעות*","","Use the reviewed 2022 locality match.",""
"נהריה","TRUE","נהרייה","accepted_locality_match","נהרייה","","Use the reviewed 2022 locality match.",""
"קרית אתא","TRUE","קריית אתא","accepted_locality_match","קריית אתא","","Use the reviewed 2022 locality match.",""
"קרית מוצקין","TRUE","קריית מוצקין","accepted_locality_match","קריית מוצקין","","Use the reviewed 2022 locality match.",""
"נצרת עילית","TRUE","נוף הגליל","accepted_locality_match","נוף הגליל","","Use the reviewed 2022 locality match.",""
"קרית גת","TRUE","קריית גת","accepted_locality_match","קריית גת","","Use the reviewed 2022 locality match.",""
"קרית ביאליק","TRUE","קריית ביאליק","accepted_locality_match","קריית ביאליק","","Use the reviewed 2022 locality match.",""
"קרית ים","TRUE","קריית ים","accepted_locality_match","קריית ים","","Use the reviewed 2022 locality match.",""
"קרית אונו","TRUE","קריית אונו","accepted_locality_match","קריית אונו","","Use the reviewed 2022 locality match.",""
"יהוד-נווה אפרים","TRUE","יהוד","accepted_locality_match","יהוד","","Use the reviewed 2022 locality match.",""
"אבו רוקייק )שבט( [961]","TRIBE","","custom_point_size_polygon","custom:tribal_negev","custom:tribal_negev","Aggregate all TRIBE rows per election into a single tribal/dispersed-settlement custom area and preserve source-row contributions.","add to tribal point polygon"
"אעצם )שבט( [963]","TRIBE","","custom_point_size_polygon","custom:tribal_negev","custom:tribal_negev","Aggregate all TRIBE rows per election into a single tribal/dispersed-settlement custom area and preserve source-row contributions.","add to tribal point polygon"
"שגור","TRUE","בענה | דייר אל-אסד | מג'ד אל-כרום","address_geocode_to_current_polygons","בענה | דייר אל-אסד | מג'ד אל-כרום","","Statistical-area mode uses each polling-place address to choose a component polygon; locality mode uses the reviewed שגור composite.",""
"קרית שמונה","TRUE","קריית שמונה","accepted_locality_match","קריית שמונה","","Use the reviewed 2022 locality match.",""
"אבו רובייעה )שבט( [966]","TRIBE","","custom_point_size_polygon","custom:tribal_negev","custom:tribal_negev","Aggregate all TRIBE rows per election into a single tribal/dispersed-settlement custom area and preserve source-row contributions.","add to tribal point polygon"
"קרית מלאכי","TRUE","קריית מלאכי","accepted_locality_match","קריית מלאכי","","Use the reviewed 2022 locality match.",""
