locality_id,locality_code,locality_name_he,locality_name_en,result_status,result_elections,missing_elections,west_bank_code_range,function_codes,reviewed_display_rule,review_note,explanation_review_status,explanation_category,cbs_2022_name,cbs_2022_form_code,cbs_2022_form,cbs_2022_population,evidence_election,evidence_eligible_voters,joined_host_locality_code,joined_host_locality_name,joined_host_kalpi,explanation_note
loc:21,21,באר אורה,BE'ER ORA,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:88,88,כרם בן שמן,KEREM BEN SHEMEN,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,כרם בן שמן,350,other rural Jewish,96,K19,62,1084,בן שמן (כפר נוער),1,K19 polling list 175 + 62 = published host result 237.
loc:212,212,בית צבי,BET ZEVI,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,5,,,,,,,,,,,,,,
loc:328,328,עזוז,EZUZ,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,עזוז,370,community settlement,86,K19,42,1280,ניצני סיני,1,K19 polling list 160 + באר מילכה 43 + עזוז 42 = published host result 245.
loc:353,353,בית זיד,BET ZEID,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:371,371,כדורי,KADOORIE,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,כדורי,340,institutional Jewish,209,K19,60,47,כפר תבור,2,K19 polling list 571 + 60 = published host result 631.
loc:392,392,קדמה,QEDMA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,קדמה,510,place,,K19,31,553,ניר בנים,1,K19 polling list 480 + 31 = published host result 511.
loc:412,412,קריית שלמה,QIRYAT SHELOMO,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,קריית שלמה,340,institutional Jewish,374,K19,9,1024,חרוצים,1,K19 polling list 543 + 9 = published host result 552.
loc:483,483,בענה,BI'NE,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:490,490,דייר אל-אסד,DEIR AL-ASAD,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
