election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,composite:baqa-jatt,composite_locality,composite:baqa-jatt,,באקה-ג'ת,27,27,17962,7880,7623,257,עם,2624,2044,580,0.344221,2044,2,1995,15,430,1,1,7,6,5,3,0,246,3,4,16,124,5,2624,1,0,3,3,0,7,52,0,9,5,4,8
K17,composite:ir-carmel,composite_locality,composite:ir-carmel,,עיר כרמל,21,21,16090,7703,7550,153,אמת,2243,1749,494,0.297086,2243,129,826,1000,261,2,14,37,2,19,43,10,1749,0,116,111,203,3,162,14,0,0,1,1,5,13,14,45,3,13,511
K17,composite:shaghur,composite_locality,composite:shaghur,,שגור,21,21,15940,11069,10895,174,עם,3085,2608,477,0.283157,1298,8,1749,37,2608,0,2,4,17,146,12,1,827,1,7,32,401,2,3085,1,2,5,3,1,3,20,3,13,4,9,594
K17,loc:10,locality,loc:10,10,תירוש,1,1,270,180,176,4,שס,96,31,65,0.545455,10,0,0,0,0,0,0,2,0,31,0,0,6,0,3,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,96
K17,loc:1015,locality,loc:1015,1015,מבשרת ציון,28,28,16181,10925,10846,79,כן,2857,2238,619,0.263415,2238,59,2,2,42,3,55,698,44,775,14,42,2857,0,487,1321,799,4,2,114,1,0,8,0,0,7,8,137,1,210,916
K17,loc:102,locality,loc:102,102,מאיר שפיה,1,1,100,39,39,0,כן,12,7,5,0.307692,7,2,0,0,0,0,0,4,0,0,0,3,12,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0
K17,loc:1020,locality,loc:1020,1020,אור עקיבא,21,21,13399,6633,6510,123,כן,1432,1254,178,0.219969,483,61,4,2,3,1,6,171,17,622,8,37,1432,3,1254,1190,42,0,4,10,25,6,8,5,3,8,18,46,0,40,1001
K17,loc:1024,locality,loc:1024,1024,חרוצים,1,1,519,326,322,4,כן,79,52,27,0.245342,52,0,0,0,0,0,3,28,4,15,1,1,79,5,10,38,29,2,1,3,0,1,0,0,0,0,0,6,0,9,35
K17,loc:103,locality,loc:103,103,תל עדשים,1,1,444,347,345,2,כן,122,65,57,0.353623,65,0,0,0,1,0,0,41,3,14,0,5,122,0,24,26,23,0,0,10,0,0,0,0,0,1,0,2,0,4,4
K17,loc:1031,locality,loc:1031,1031,שדרות,26,26,15950,8738,8512,226,אמת,2161,1657,504,0.253877,2161,113,6,3,6,4,22,95,20,1013,5,59,1001,8,1657,847,46,8,5,16,23,8,6,7,6,15,12,45,1,42,1252
