election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
K19,loc:10,locality,loc:10,10,תירוש,1,1,301,199,197,2,שס,101,40,61,0.51269,3,4,0,0,0,0,0,0,0,0,26,0,2,40,2,1,0,5,0,0,0,6,4,0,0,0,0,1,2,0,0,0,0,101
K19,loc:1015,locality,loc:1015,1015,מבשרת ציון,30,30,18404,13192,13116,76,מחל,3455,2383,1072,0.263419,1991,43,6,1,6,0,49,80,0,23,1052,18,338,3455,1286,1,2,256,2,5,3,2383,44,8,0,1,5,265,818,16,5,107,14,833
K19,loc:102,locality,loc:102,102,מאיר שפיה,1,1,99,52,52,0,אמת,13,11,2,0.25,13,0,0,0,0,0,0,1,0,0,7,0,1,7,5,0,0,2,0,0,0,11,0,0,0,0,0,3,0,0,0,2,0,0
K19,loc:1020,locality,loc:1020,1020,אור עקיבא,23,23,14128,7411,7282,129,מחל,3345,1117,2228,0.459352,367,44,1,2,6,6,2,31,0,24,742,84,169,3345,82,1,3,102,8,1,6,547,146,11,0,5,5,89,216,5,5,97,13,1117
K19,loc:1024,locality,loc:1024,1024,חרוצים,1,1,552,400,396,4,מחל,92,65,27,0.232323,53,0,0,0,1,0,0,10,0,0,36,1,8,92,46,0,0,11,1,0,0,65,7,0,0,0,0,7,35,0,0,6,2,15
K19,loc:103,locality,loc:103,103,תל עדשים,1,1,707,542,539,3,פה,157,138,19,0.29128,138,3,1,0,0,0,0,5,0,0,42,0,10,89,18,0,0,13,1,0,0,157,0,0,0,0,0,7,46,0,0,7,0,2
K19,loc:1031,locality,loc:1031,1031,שדרות,28,28,16889,9387,9208,179,מחל,3369,1496,1873,0.365877,279,84,5,0,8,2,7,31,0,7,1451,91,249,3369,98,0,1,182,6,8,3,460,99,6,0,8,12,143,990,9,8,80,16,1496
K19,loc:1034,locality,loc:1034,1034,קריית מלאכי,27,27,15854,9710,9553,157,מחל,2670,2181,489,0.279493,467,384,0,2,5,2,0,28,0,15,1500,34,159,2670,44,1,1,936,6,6,4,365,127,16,0,84,8,136,278,6,5,68,15,2181
K19,loc:104,locality,loc:104,104,מזרע,2,2,657,481,475,6,אמת,163,161,2,0.343158,163,0,0,0,0,0,1,8,0,0,4,0,4,11,161,0,0,0,0,0,0,86,0,0,0,0,1,1,24,0,0,10,0,1
K19,loc:1043,locality,loc:1043,1043,גיזו,1,1,126,103,103,0,מחל,28,22,6,0.271845,22,1,0,0,1,0,0,1,0,0,9,0,3,28,10,0,0,0,0,0,0,14,2,0,0,0,0,0,8,0,0,0,0,4
K19,loc:1044,locality,loc:1044,1044,יעף,1,1,125,112,112,0,אמת,30,28,2,0.267857,30,0,0,0,0,0,0,4,0,0,9,0,1,20,7,0,0,2,0,0,0,28,0,0,0,1,0,4,3,0,0,3,0,0
