election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,loc:10,locality,loc:10,10,תירוש,1,1,306,218,215,3,מחל,92,76,16,0.427907,2,4,0,0,0,0,14,0,0,0,0,12,0,92,1,0,0,0,0,4,0,0,1,9,0,76
K20,loc:1015,locality,loc:1015,1015,מבשרת ציון,32,31,18713,14018,13946,72,מחל,4521,3724,797,0.324179,3724,74,23,1,0,1,759,1,0,0,1,1115,175,4521,1070,7,1,3,1,1518,1,3,105,301,5,536
K20,loc:102,locality,loc:102,102,מאיר שפיה,1,1,92,49,49,0,אמת,15,12,3,0.306122,15,0,0,0,0,0,2,0,0,0,0,9,1,12,8,0,0,0,0,2,0,0,0,0,0,0
K20,loc:1020,locality,loc:1020,1020,אור עקיבא,25,24,14611,9361,9275,86,מחל,4218,1209,3009,0.454771,577,122,20,1,0,0,473,1,0,0,0,1209,1014,4218,65,2,1,1,0,426,0,5,90,130,7,913
K20,loc:1024,locality,loc:1024,1024,חרוצים,1,1,577,447,447,0,אמת,143,111,32,0.319911,143,1,0,0,0,0,31,1,0,0,0,51,9,111,33,1,0,1,0,47,0,0,3,4,1,10
K20,loc:103,locality,loc:103,103,תל עדשים,1,1,750,613,612,1,אמת,263,116,147,0.429739,263,2,1,0,0,0,32,0,0,0,0,41,7,111,24,0,0,0,0,116,0,0,4,8,1,2
K20,loc:1031,locality,loc:1031,1031,שדרות,29,29,17460,10924,10767,157,מחל,4614,1275,3339,0.428532,806,143,18,0,0,4,1181,1,0,0,1,715,1275,4614,96,1,0,1,3,381,4,10,103,560,10,840
K20,loc:1034,locality,loc:1034,1034,קריית מלאכי,27,27,16023,10897,10742,155,מחל,4396,1706,2690,0.409235,606,117,4,0,0,1,756,1,2,0,0,941,257,4396,32,2,4,8,0,324,3,12,90,1706,8,1472
K20,loc:104,locality,loc:104,104,מזרע,2,2,655,477,475,2,אמת,277,107,170,0.583158,277,1,0,0,0,0,11,0,0,0,0,10,1,7,107,0,0,0,0,49,0,0,10,0,2,0
K20,loc:1043,locality,loc:1043,1043,גיזו,1,1,127,102,102,0,מחל,39,25,14,0.382353,25,1,0,0,0,0,6,0,0,0,0,5,0,39,13,0,0,0,0,11,0,0,0,0,0,2
K20,loc:1044,locality,loc:1044,1044,יעף,1,1,143,124,124,0,אמת,43,24,19,0.346774,43,0,1,0,0,0,2,0,0,0,0,13,0,24,15,0,0,0,0,23,0,0,1,2,0,0
K20,loc:1045,locality,loc:1045,1045,שתולה,1,1,225,161,161,0,מחל,55,26,29,0.341615,26,3,2,0,0,0,21,0,0,0,0,16,1,55,5,0,0,0,0,11,0,0,2,8,1,10
K20,loc:1046,locality,loc:1046,1046,אוהד,1,1,243,187,186,1,אמת,61,59,2,0.327957,61,0,2,0,0,0,10,0,0,0,0,13,3,59,6,0,0,0,0,21,0,0,2,4,0,5
K20,loc:1047,locality,loc:1047,1047,חזון,1,1,272,215,214,1,מחל,114,24,90,0.53271,7,22,0,0,0,0,24,0,0,0,0,8,5,114,1,0,0,0,0,5,0,0,0,8,0,20
K20,loc:1050,locality,loc:1050,1050,בית חשמונאי,2,2,1365,1087,1083,4,אמת,346,300,46,0.319483,346,1,0,0,0,0,59,0,0,0,0,110,12,300,41,2,0,0,0,178,0,1,10,4,0,19
K20,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,241,158,157,1,מחל,48,40,8,0.305732,40,2,0,0,0,0,10,0,0,0,0,14,0,48,1,1,0,0,0,17,0,0,2,8,0,14
K20,loc:1052,locality,loc:1052,1052,קטורה,1,1,447,225,225,0,אמת,110,45,65,0.488889,110,1,3,0,0,0,8,0,0,0,0,12,12,10,45,0,0,0,0,20,0,0,4,0,0,0
K20,loc:1054,locality,loc:1054,1054,תל שבע,12,12,7714,3660,3602,58,ודעם,3253,138,3115,0.903109,22,0,3253,1,1,2,10,0,0,0,2,12,3,27,138,1,0,3,52,6,1,3,3,6,2,54
K20,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,71,40,40,0,מחל,14,7,7,0.35,5,0,0,0,0,0,1,0,0,0,0,7,0,14,0,0,0,0,0,4,0,0,2,2,2,3
K20,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,323,180,180,0,אמת,110,19,91,0.611111,110,0,2,0,0,0,8,0,0,0,0,8,0,17,19,0,0,0,0,15,0,0,0,0,0,1
K20,loc:1059,locality,loc:1059,1059,כסיפה,10,10,6660,3249,3193,56,ודעם,2588,160,2428,0.810523,146,1,2588,0,0,0,6,2,0,0,28,160,1,56,39,4,0,1,51,50,3,5,4,12,2,34
K20,loc:106,locality,loc:106,106,כפר גדעון,1,1,167,130,130,0,ג,41,22,19,0.315385,4,41,0,0,0,0,13,0,0,0,0,7,2,11,1,2,0,0,0,9,0,0,0,22,0,18
K20,loc:1060,locality,loc:1060,1060,לקיה,9,9,6012,2696,2650,46,ודעם,2420,64,2356,0.913208,13,0,2420,1,1,1,2,0,0,0,15,24,2,20,64,0,1,3,42,4,0,2,0,5,1,29
K20,loc:1061,locality,loc:1061,1061,נוף הגליל,66,66,39087,22586,22114,472,מחל,6054,4715,1339,0.273763,2269,80,3599,2,4,5,921,1,2,0,21,1618,4715,6054,350,16,6,1,30,1371,11,15,268,439,29,287
K20,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,31,31,17628,11769,11563,206,מחל,2708,2298,410,0.234195,977,105,2298,2,0,4,889,0,0,0,2,766,2067,2708,158,8,1,7,17,510,3,16,126,206,10,683
K20,loc:1064,locality,loc:1064,1064,אמירים,1,1,509,384,382,2,אמת,164,62,102,0.429319,164,3,3,0,0,0,31,0,0,0,0,24,2,20,62,1,0,0,0,46,0,0,14,8,2,2
K20,loc:1065,locality,loc:1065,1065,זמרת,1,1,277,229,228,1,קץ,113,71,42,0.495614,1,1,0,0,0,0,19,0,0,0,0,8,0,71,0,0,0,1,1,4,0,0,0,113,0,9
K20,loc:1066,locality,loc:1066,1066,"בני עי""ש",10,10,5747,4047,3972,75,מחל,1255,981,274,0.315962,268,16,0,0,0,0,288,0,0,0,0,327,981,1255,32,2,0,1,1,334,3,1,76,169,4,214
K20,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,344,217,217,0,מחל,129,30,99,0.59447,12,5,0,0,0,0,14,0,0,0,0,30,1,129,0,0,0,0,0,1,0,0,1,2,0,22
K20,loc:1068,locality,loc:1068,1068,אדמית,1,1,292,160,160,0,מרצ,45,42,3,0.28125,42,0,12,0,0,0,2,0,0,0,0,13,8,11,45,0,0,0,1,10,1,0,13,0,2,0
K20,loc:1069,locality,loc:1069,1069,רם-און,1,1,572,459,456,3,אמת,276,64,212,0.605263,276,3,0,0,0,0,11,0,0,0,0,29,3,41,21,3,0,0,0,64,0,0,3,0,0,2
K20,loc:107,locality,loc:107,107,כפר סילבר,1,1,91,51,51,0,מחל,14,11,3,0.27451,11,0,0,0,0,0,8,0,0,0,0,2,2,14,5,0,0,0,0,5,0,0,1,1,0,2
K20,loc:1070,locality,loc:1070,1070,אביעזר,1,1,495,406,406,0,מחל,130,81,49,0.320197,81,4,3,0,0,0,46,0,0,0,0,28,13,130,25,0,0,0,0,52,0,0,2,10,1,11
K20,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,363,279,278,1,מחל,128,34,94,0.460432,27,4,1,0,0,0,34,0,0,0,0,31,3,128,0,0,0,0,0,7,0,0,3,14,0,26
