election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
K21,loc:10,locality,loc:10,10,תירוש,1,1,333,237,235,2,מחל,124,73,51,0.52766,4,3,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0,124,1,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
K21,loc:1015,locality,loc:1015,1015,מבשרת ציון,31,31,18871,13883,13846,37,מחל,4940,4309,631,0.356782,1000,81,3,23,299,1,0,0,3,409,7,5,0,0,557,1,110,4940,831,439,3,0,3,330,3,0,2,4309,2,0,0,0,0,3,0,0,2,15,5,3,0,0,457
K21,loc:102,locality,loc:102,102,מאיר שפיה,1,1,106,54,54,0,פה,19,15,4,0.351852,4,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,15,2,1,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,loc:1020,locality,loc:1020,1020,אור עקיבא,25,25,15520,9773,9701,72,מחל,5107,1221,3886,0.526441,143,119,0,4,339,1,0,0,6,153,0,0,1,1,499,0,891,5107,66,190,4,0,2,114,11,0,0,1221,0,0,1,0,2,4,1,0,0,13,3,3,0,0,802
K21,loc:1024,locality,loc:1024,1024,חרוצים,1,1,584,442,439,3,פה,180,131,49,0.410023,27,3,1,0,9,0,0,0,3,1,0,0,0,0,13,0,1,131,26,10,0,0,0,19,0,0,0,180,0,0,0,1,0,1,0,0,0,2,0,0,0,0,11
K21,loc:103,locality,loc:103,103,תל עדשים,2,2,838,674,672,2,פה,360,129,231,0.535714,68,2,0,1,21,0,0,0,1,7,0,0,0,0,16,0,1,129,18,27,0,0,0,21,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,loc:1031,locality,loc:1031,1031,שדרות,30,30,19944,12918,12760,158,מחל,5554,1294,4260,0.435266,393,135,7,7,566,4,1,0,14,1292,2,1,0,0,530,1,1294,5554,111,358,3,0,23,258,22,2,0,1176,2,0,0,0,1,6,1,0,0,13,1,2,3,4,973
K21,loc:1034,locality,loc:1034,1034,קריית מלאכי,28,28,16901,11285,11186,99,מחל,5094,1452,3642,0.455391,168,624,2,18,405,1,0,0,10,1452,1,0,0,2,535,1,152,5094,30,263,2,0,6,186,12,3,1,829,3,0,2,0,1,3,0,0,0,7,2,7,10,3,1351
K21,loc:104,locality,loc:104,104,מזרע,1,1,680,500,500,0,פה,274,100,174,0.548,93,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,14,100,7,0,0,0,4,0,0,0,274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K21,loc:1043,locality,loc:1043,1043,גיזו,1,1,143,114,114,0,מחל,41,25,16,0.359649,18,0,0,0,5,0,0,0,0,1,0,0,0,0,4,0,2,41,8,7,0,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
K21,loc:1044,locality,loc:1044,1044,יעף,1,1,170,147,147,0,פה,66,25,41,0.44898,19,0,0,3,2,0,0,0,0,1,0,0,0,0,2,0,0,25,13,6,0,0,0,9,0,0,0,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
