election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,loc:10,locality,loc:10,10,תירוש,1,1,332,245,245,0,שס,104,93,11,0.42449,1,4,0,1,0,0,20,11,0,0,0,0,0,0,0,4,0,93,1,0,0,0,6,0,0,0,0,0,0,0,0,104
K22,loc:1015,locality,loc:1015,1015,מבשרת ציון,30,30,18914,13582,13539,43,מחל,4663,4195,468,0.344412,1018,88,33,1,2,0,27,779,0,4,1,0,2,0,0,320,520,4663,1134,0,1,0,4195,4,3,0,1,2,1,6,1,733
K22,loc:102,locality,loc:102,102,מאיר שפיה,1,1,118,63,62,1,פה,24,18,6,0.387097,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,18,4,0,0,0,24,0,0,0,0,0,0,1,0,0
K22,loc:1020,locality,loc:1020,1020,אור עקיבא,25,25,15712,9856,9793,63,מחל,5129,1349,3780,0.523741,232,131,11,1,1,0,2,344,0,10,3,0,2,0,0,196,1246,5129,66,2,1,0,1349,1,1,0,0,2,1,3,4,1055
K22,loc:1024,locality,loc:1024,1024,חרוצים,1,1,577,442,442,0,פה,191,131,60,0.432127,20,5,1,0,0,0,10,14,0,1,0,0,0,0,0,2,7,131,44,0,0,0,191,0,0,0,0,0,0,0,0,16
K22,loc:103,locality,loc:103,103,תל עדשים,2,2,846,658,657,1,פה,357,127,230,0.543379,59,7,2,0,0,0,5,21,0,0,0,0,0,0,0,3,31,127,43,0,0,0,357,0,0,0,0,0,0,0,0,2
K22,loc:1031,locality,loc:1031,1031,שדרות,31,31,20231,12987,12864,123,מחל,5427,1580,3847,0.421875,1073,190,14,5,0,0,14,1338,2,10,4,2,0,0,4,626,1580,5427,80,3,4,0,1133,3,7,1,1,4,2,1,5,1331
K22,loc:1034,locality,loc:1034,1034,קריית מלאכי,28,28,17042,11547,11465,82,מחל,4691,1955,2736,0.409158,419,1007,7,3,4,0,34,810,1,12,5,3,2,0,12,722,281,4691,25,6,10,0,1377,2,51,0,2,7,3,12,2,1955
K22,loc:104,locality,loc:104,104,מזרע,1,1,683,488,487,1,פה,244,164,80,0.501027,45,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,11,17,164,0,0,0,244,0,0,0,0,0,0,0,0,0
K22,loc:1043,locality,loc:1043,1043,גיזו,1,1,145,115,115,0,מחל,42,29,13,0.365217,15,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,42,15,0,0,0,29,0,0,0,0,0,0,0,0,1
K22,loc:1044,locality,loc:1044,1044,יעף,1,1,165,139,139,0,פה,67,24,43,0.482014,14,1,2,0,0,0,0,4,0,2,0,0,0,0,0,1,3,24,19,0,0,0,67,0,0,0,0,0,0,0,0,2
K22,loc:1045,locality,loc:1045,1045,שתולה,1,1,226,150,150,0,מחל,65,26,39,0.433333,13,3,1,0,0,0,2,21,0,0,0,0,0,0,0,8,2,65,1,0,0,0,26,0,0,0,0,0,0,0,0,8
K22,loc:1046,locality,loc:1046,1046,אוהד,1,1,257,173,173,0,פה,63,57,6,0.364162,13,0,2,0,0,0,7,15,0,0,0,0,0,0,0,2,5,57,5,0,0,0,63,0,0,0,0,0,0,0,0,4
K22,loc:1047,locality,loc:1047,1047,חזון,1,1,255,211,211,0,מחל,130,28,102,0.616114,3,9,0,0,0,0,5,16,0,0,0,0,0,0,0,4,3,130,2,0,0,0,11,0,0,0,0,0,0,0,0,28
K22,loc:1050,locality,loc:1050,1050,בית חשמונאי,2,2,1488,1135,1133,2,פה,513,351,162,0.45278,84,1,0,1,0,0,16,37,0,3,0,0,0,0,0,14,48,351,49,0,0,0,513,0,0,0,0,0,0,0,1,15
K22,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,221,130,130,0,מחל,52,32,20,0.4,9,3,0,0,0,0,8,7,0,0,0,0,0,0,0,3,3,52,1,0,0,0,32,0,0,0,0,0,0,0,0,12
K22,loc:1052,locality,loc:1052,1052,קטורה,1,1,437,234,233,1,פה,107,61,46,0.459227,35,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,16,4,61,0,0,0,107,0,0,0,0,1,0,0,0,1
K22,loc:1054,locality,loc:1054,1054,תל שבע,13,13,9478,5200,5160,40,ודעם,4922,88,4834,0.953876,13,0,4922,0,0,0,1,11,0,1,1,3,0,0,6,4,4,32,37,0,6,0,88,1,2,2,1,3,4,7,0,11
K22,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,56,35,35,0,פה,10,9,1,0.285714,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,2,0,0,0,10,0,0,0,0,0,1,0,0,1
K22,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,366,216,215,1,פה,102,38,64,0.474419,32,0,3,0,0,0,8,11,0,1,0,0,0,0,0,1,7,11,38,0,0,0,102,0,0,0,0,0,0,0,0,1
K22,loc:1059,locality,loc:1059,1059,כסיפה,12,12,8298,4865,4815,50,ודעם,4185,309,3876,0.869159,29,2,4185,0,1,0,0,19,0,1,3,3,0,0,22,4,2,42,82,4,9,0,309,1,2,3,4,7,12,9,2,58
K22,loc:106,locality,loc:106,106,כפר גדעון,1,1,182,140,140,0,ג,61,29,32,0.435714,5,61,0,0,0,0,2,8,0,0,0,0,0,0,0,3,2,29,0,0,0,0,9,0,0,0,0,0,0,0,0,21
K22,loc:1060,locality,loc:1060,1060,לקיה,11,11,7465,3453,3426,27,ודעם,3156,70,3086,0.921191,64,0,3156,2,3,0,0,5,0,1,0,1,0,0,34,2,2,22,24,0,14,0,70,2,3,1,3,2,2,4,2,7
K22,loc:1061,locality,loc:1061,1061,נוף הגליל,65,65,39435,22195,21903,292,מחל,6567,4968,1599,0.299822,539,435,4819,16,10,0,4,399,6,26,23,10,7,0,15,332,4968,6567,307,15,10,0,2746,13,11,7,8,28,13,9,17,543
K22,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,30,30,18132,11339,11242,97,מחל,3253,2340,913,0.289361,284,105,2299,5,2,0,2,650,2,13,3,2,4,0,21,186,2340,3253,184,2,3,0,1164,0,1,5,1,7,2,1,4,697
K22,loc:1064,locality,loc:1064,1064,אמירים,1,1,606,409,408,1,פה,170,86,84,0.416667,44,2,5,0,0,0,5,44,0,5,0,0,0,0,0,4,6,34,86,0,0,0,170,0,0,0,0,0,0,0,0,3
K22,loc:1065,locality,loc:1065,1065,זמרת,1,1,367,334,333,1,מחל,174,55,119,0.522523,9,12,0,0,0,0,2,55,0,0,0,0,0,0,0,34,4,174,0,0,0,0,9,0,0,0,0,0,0,0,0,34
K22,loc:1066,locality,loc:1066,1066,"בני עי""ש",10,10,5751,3808,3757,51,מחל,1295,1075,220,0.34469,106,64,2,1,0,0,11,156,2,4,2,1,1,0,2,106,1075,1295,21,1,0,0,588,2,3,0,0,3,0,1,6,304
K22,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,359,249,249,0,מחל,174,26,148,0.698795,16,0,1,0,0,0,5,6,0,0,0,0,0,0,0,3,0,174,1,0,0,0,17,0,0,0,0,0,0,0,0,26
K22,loc:1068,locality,loc:1068,1068,אדמית,1,1,357,198,198,0,פה,67,47,20,0.338384,23,0,5,1,2,0,0,4,0,0,0,0,0,0,0,3,16,28,47,0,0,0,67,1,0,0,0,0,0,0,0,1
K22,loc:1069,locality,loc:1069,1069,רם-און,1,1,647,501,499,2,פה,318,61,257,0.637275,61,1,1,0,0,0,2,12,0,0,0,0,0,0,0,2,12,41,49,0,0,0,318,0,0,0,0,0,0,0,0,0
K22,loc:107,locality,loc:107,107,כפר סילבר,1,1,97,35,35,0,פה,23,6,17,0.657143,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,23,0,0,0,0,0,0,0,0,0
K22,loc:1070,locality,loc:1070,1070,אביעזר,1,1,562,441,441,0,מחל,144,120,24,0.326531,25,0,5,2,0,0,31,31,0,0,0,0,0,0,0,12,28,144,27,0,0,0,120,0,0,0,0,0,0,1,0,15
K22,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,463,360,359,1,מחל,164,45,119,0.456825,11,14,1,0,0,0,32,36,0,0,0,2,0,0,0,16,6,164,5,0,0,0,26,0,0,0,1,0,0,0,0,45
K22,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,346,277,277,0,פה,116,81,35,0.418773,28,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,10,81,8,0,0,0,116,0,0,0,0,0,0,0,0,3
K22,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,212,166,166,0,פה,116,17,99,0.698795,9,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,2,10,17,0,0,0,116,0,0,0,0,0,0,0,0,1
K22,loc:1079,locality,loc:1079,1079,צפרירים,1,1,305,217,217,0,זץ,57,51,6,0.262673,16,1,4,0,0,0,57,4,0,1,0,0,0,0,0,6,4,37,18,0,0,0,51,0,0,0,0,0,0,0,0,18
K22,loc:1080,locality,loc:1080,1080,מבועים,2,2,919,641,637,4,מחל,301,138,163,0.472527,81,5,0,2,0,0,5,24,0,1,0,0,0,0,0,16,23,301,4,0,0,0,138,0,1,0,0,1,0,0,0,35
K22,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,288,200,195,5,מחל,97,30,67,0.497436,30,1,0,0,0,0,7,8,0,0,0,0,0,0,0,0,3,97,3,0,0,0,24,0,0,0,0,0,0,0,0,22
K22,loc:1082,locality,loc:1082,1082,מעגלים,2,2,1060,849,849,0,מחל,423,151,272,0.498233,14,17,0,0,0,0,4,151,1,0,0,0,0,0,0,87,5,423,1,1,0,0,16,0,0,0,0,0,0,0,0,129
