election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
K23,loc:10,locality,loc:10,10,תירוש,1,1,331,252,252,0,מחל,136,94,42,0.539683,2,3,0,0,0,0,10,0,0,0,0,0,0,0,0,1,136,0,0,0,1,0,5,0,0,0,0,0,0,94
K23,loc:1015,locality,loc:1015,1015,מבשרת ציון,30,30,18944,13589,13559,30,מחל,5412,4672,740,0.399144,1459,90,81,13,0,0,633,0,2,0,0,1,2,0,1,345,5412,4,1,0,78,0,4672,1,0,3,1,0,3,757
K23,loc:102,locality,loc:102,102,מאיר שפיה,1,1,112,54,52,2,פה,24,17,7,0.461538,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,0,0,0,0,0,24,0,0,0,0,0,0,0
K23,loc:1020,locality,loc:1020,1020,אור עקיבא,25,25,15949,10300,10237,63,מחל,5793,1418,4375,0.565888,195,137,12,7,1,0,322,1,0,1,0,1,2,1,3,1151,5793,7,0,1,53,0,1418,0,0,2,1,1,5,1122
K23,loc:1024,locality,loc:1024,1024,חרוצים,1,1,565,437,434,3,פה,209,138,71,0.481567,44,3,2,0,0,0,12,0,0,0,0,0,0,0,0,6,138,0,0,0,1,1,209,1,0,0,0,0,0,17
K23,loc:103,locality,loc:103,103,תל עדשים,2,2,850,650,650,0,פה,370,161,209,0.569231,57,8,5,2,0,0,25,0,0,0,0,0,0,0,0,19,161,2,0,0,1,0,370,0,0,0,0,0,0,0
K23,loc:1031,locality,loc:1031,1031,שדרות,32,32,20663,13513,13414,99,מחל,6861,1545,5316,0.511481,579,222,31,11,0,0,1364,1,0,2,0,2,0,0,2,1386,6861,7,3,0,142,1,1227,13,2,6,3,1,3,1545
K23,loc:1034,locality,loc:1034,1034,קריית מלאכי,28,28,17219,11944,11862,82,מחל,6040,2272,3768,0.509189,193,1098,6,8,3,0,705,2,0,0,0,5,0,0,4,227,6040,3,2,2,201,4,1066,1,0,4,6,3,7,2272
K23,loc:104,locality,loc:104,104,מזרע,1,1,687,498,497,1,פה,309,156,153,0.62173,156,2,1,0,0,0,5,0,0,0,0,0,0,0,0,3,18,1,0,0,1,0,309,0,1,0,0,0,0,0
K23,loc:1043,locality,loc:1043,1043,גיזו,1,1,146,113,113,0,מחל,50,32,18,0.442478,22,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,32,0,0,0,0,0,0,3
K23,loc:1044,locality,loc:1044,1044,יעף,1,1,171,140,139,1,פה,76,29,47,0.546763,23,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,76,0,1,0,0,0,0,2
K23,loc:1045,locality,loc:1045,1045,שתולה,1,1,230,162,162,0,מחל,85,29,56,0.524691,10,4,2,0,0,0,22,0,0,0,0,0,0,0,0,1,85,0,0,0,1,0,29,0,0,0,0,0,0,8
K23,loc:1046,locality,loc:1046,1046,אוהד,1,1,267,185,185,0,מחל,81,73,8,0.437838,6,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,73,0,0,0,0,0,0,6
K23,loc:1047,locality,loc:1047,1047,חזון,1,1,257,227,227,0,מחל,155,33,122,0.682819,2,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,155,0,0,0,3,0,12,0,0,0,0,0,0,33
K23,loc:1050,locality,loc:1050,1050,בית חשמונאי,2,2,1486,1122,1122,0,פה,520,431,89,0.463458,83,2,1,1,0,0,35,0,0,0,0,0,0,0,0,26,431,0,0,0,3,0,520,1,0,0,0,1,0,18
K23,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,217,129,129,0,מחל,66,32,34,0.511628,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,32,0,0,0,0,0,0,15
K23,loc:1052,locality,loc:1052,1052,קטורה,1,1,438,225,225,0,פה,98,83,15,0.435556,83,0,10,0,0,0,6,0,0,0,0,0,0,0,0,13,13,0,0,0,1,0,98,0,0,0,0,0,0,1
K23,loc:1054,locality,loc:1054,1054,תל שבע,13,13,9683,5575,5531,44,ודעם,5414,27,5387,0.978847,23,1,5414,0,0,0,2,0,1,6,0,2,0,0,0,1,23,0,1,0,2,1,27,1,0,3,2,9,6,6
K23,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,55,21,21,0,מחל,9,5,4,0.428571,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,5,0,0,0,0,0,0,0
K23,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,364,211,211,0,פה,114,52,62,0.540284,52,0,5,0,0,0,12,0,0,0,0,0,0,0,0,2,22,0,0,0,2,0,114,0,0,0,0,0,0,2
K23,loc:1059,locality,loc:1059,1059,כסיפה,13,13,8531,5198,5171,27,ודעם,4871,141,4730,0.941984,63,1,4871,1,1,0,4,1,0,6,0,5,0,0,1,9,23,1,3,5,1,4,141,1,5,1,1,4,6,12
K23,loc:106,locality,loc:106,106,כפר גדעון,1,1,184,134,134,0,ג,50,36,14,0.373134,1,50,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,4,0,13,0,0,0,0,0,0,26
K23,loc:1060,locality,loc:1060,1060,לקיה,11,11,7663,3797,3773,24,ודעם,3667,31,3636,0.971906,31,0,3667,0,0,0,3,0,0,8,0,0,0,1,2,4,4,1,1,0,2,1,28,1,1,1,2,4,4,7
K23,loc:1061,locality,loc:1061,1061,נוף הגליל,65,65,39579,22433,22153,280,מחל,7448,5473,1975,0.336207,532,550,5473,28,1,0,344,7,3,11,2,2,2,5,13,4455,7448,8,4,2,87,7,2614,6,4,24,3,7,19,492
K23,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,31,31,18341,11674,11594,80,מחל,3768,2755,1013,0.324996,265,143,2755,10,0,0,570,2,0,1,2,5,0,2,2,2142,3768,5,0,2,35,1,1203,2,2,3,0,1,4,669
K23,loc:1064,locality,loc:1064,1064,אמירים,1,1,609,409,407,2,פה,203,86,117,0.498771,86,3,13,2,0,0,44,0,0,0,0,0,0,0,0,7,43,2,0,0,0,0,203,0,0,0,0,0,0,4
K23,loc:1065,locality,loc:1065,1065,זמרת,1,1,370,342,342,0,מחל,208,56,152,0.608187,5,15,0,0,0,0,56,0,0,0,0,0,0,0,0,3,208,0,0,0,6,0,14,0,0,0,0,0,0,35
K23,loc:1066,locality,loc:1066,1066,"בני עי""ש",10,10,5768,3767,3732,35,מחל,1587,987,600,0.425241,62,52,0,6,1,0,122,1,0,0,2,3,2,0,1,987,1587,5,0,1,19,2,539,3,0,1,0,2,4,330
K23,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,361,250,250,0,מחל,197,20,177,0.788,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,197,0,0,0,5,0,17,0,0,0,0,0,0,20
K23,loc:1068,locality,loc:1068,1068,אדמית,1,1,354,195,195,0,פה,65,56,9,0.333333,56,0,14,0,0,0,3,0,0,0,0,0,0,0,0,18,36,1,0,0,0,0,65,1,0,0,0,0,0,1
K23,loc:1069,locality,loc:1069,1069,רם-און,1,1,652,488,487,1,פה,338,73,265,0.694045,73,1,1,0,0,0,13,0,0,0,0,0,0,0,1,12,47,0,0,0,1,0,338,0,0,0,0,0,0,0
K23,loc:107,locality,loc:107,107,כפר סילבר,1,1,87,34,34,0,פה,18,9,9,0.529412,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,18,0,0,0,0,0,0,0
K23,loc:1070,locality,loc:1070,1070,אביעזר,1,1,577,445,445,0,מחל,196,139,57,0.440449,32,1,4,1,0,0,33,0,0,0,0,0,0,0,0,21,196,0,0,0,3,0,139,0,0,0,0,0,0,15
K23,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,467,381,379,2,מחל,222,55,167,0.585752,8,15,2,0,0,0,36,0,0,0,0,0,0,0,0,2,222,0,1,0,1,0,37,0,0,0,0,0,0,55
K23,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,356,291,291,0,פה,132,105,27,0.453608,25,3,1,0,0,0,14,0,0,0,0,0,0,0,0,8,105,0,0,0,0,0,132,0,0,0,0,0,0,3
K23,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,215,172,171,1,פה,126,16,110,0.736842,13,1,5,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,126,0,0,0,0,0,0,2
K23,loc:1079,locality,loc:1079,1079,צפרירים,1,1,307,207,205,2,מחל,80,61,19,0.390244,32,2,6,0,0,0,5,0,0,0,0,0,0,0,0,4,80,0,0,0,0,0,61,0,0,0,0,0,0,15
K23,loc:1080,locality,loc:1080,1080,מבועים,2,2,925,669,667,2,מחל,368,152,216,0.551724,41,6,2,2,0,0,32,0,0,0,0,0,0,0,0,13,368,0,0,0,3,0,152,0,0,0,0,0,0,48
K23,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,281,193,193,0,מחל,125,33,92,0.647668,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,125,0,0,0,1,0,33,0,0,0,0,0,0,20
K23,loc:1082,locality,loc:1082,1082,מעגלים,2,2,1058,862,858,4,מחל,505,153,352,0.588578,8,33,0,1,0,0,153,0,0,0,0,0,0,0,0,3,505,0,0,0,6,0,16,0,0,0,0,0,0,133
K23,loc:1083,locality,loc:1083,1083,תושייה,1,1,316,254,254,0,טב,135,95,40,0.531496,0,10,0,1,0,0,135,0,0,0,0,0,0,0,0,1,95,0,0,0,5,0,1,0,0,0,0,0,0,6
K23,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,236,167,167,0,פה,80,44,36,0.479042,44,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,31,0,0,0,1,0,80,0,0,0,0,0,0,5
K23,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,145,82,81,1,פה,21,20,1,0.259259,13,3,4,0,0,0,20,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,21,0,0,0,0,0,0,1
K23,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,157,144,144,0,טב,101,30,71,0.701389,1,30,0,0,0,0,101,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8
K23,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,434,351,350,1,טב,203,107,96,0.58,7,3,0,1,0,0,203,0,0,0,0,0,0,0,0,0,107,1,0,0,7,0,17,0,0,0,0,0,0,4
K23,loc:1098,locality,loc:1098,1098,מרכז שפירא,2,2,1429,1152,1151,1,טב,591,346,245,0.513467,7,32,0,2,0,0,591,0,0,0,0,0,0,0,0,1,346,1,1,0,5,0,47,2,0,0,0,0,0,116
K23,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,404,271,271,0,פה,114,84,30,0.420664,29,0,1,1,0,0,15,0,0,0,0,0,0,0,0,18,84,0,0,0,1,0,114,1,0,0,0,0,0,7
K23,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,165,119,119,0,פה,69,24,45,0.579832,24,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,69,0,0,0,0,0,0,2
K23,loc:1103,locality,loc:1103,1103,גני הדר,1,1,258,202,202,0,פה,123,34,89,0.608911,31,1,0,0,0,0,7,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,123,0,0,0,0,0,0,0
K23,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,265,184,183,1,מחל,119,30,89,0.650273,1,2,0,0,0,0,12,0,0,0,0,1,0,0,0,2,119,0,0,0,3,0,30,0,0,0,0,0,0,13
K23,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,1019,708,705,3,מחל,477,89,388,0.676596,26,4,0,0,0,0,31,0,0,0,0,1,0,0,0,21,477,0,0,0,6,0,89,0,1,0,0,0,0,49
K23,loc:1108,locality,loc:1108,1108,אומן,1,1,367,231,231,0,מחל,135,41,94,0.584416,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,31,135,0,0,0,0,0,41,0,0,0,0,0,0,6
K23,loc:1110,locality,loc:1110,1110,חבר,1,1,362,259,259,0,מחל,147,59,88,0.567568,8,1,0,0,0,0,7,0,0,0,0,0,0,0,0,14,147,1,0,0,3,0,59,1,0,0,0,0,0,18
K23,loc:1112,locality,loc:1112,1112,יודפת,1,1,611,488,487,1,פה,269,175,94,0.552361,175,0,11,0,0,0,9,0,0,0,0,0,0,0,0,5,15,1,0,0,0,0,269,0,1,0,0,0,0,1
K23,loc:1113,locality,loc:1113,1113,צור הדסה,10,10,6051,4529,4515,14,מחל,1588,1577,11,0.351717,524,19,33,6,0,0,425,0,0,0,0,2,0,6,0,239,1588,10,0,0,8,1,1577,2,0,1,1,2,2,69
K23,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,815,569,566,3,פה,274,145,129,0.484099,145,0,11,0,0,0,12,0,0,0,0,0,0,0,0,13,109,0,0,0,0,0,274,0,0,0,0,0,0,2
K23,loc:1115,locality,loc:1115,1115,אביבים,1,1,332,246,246,0,מחל,175,61,114,0.711382,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61
K23,loc:112,locality,loc:112,112,כפר חסידים א',1,1,519,389,389,0,פה,147,101,46,0.377892,24,20,0,0,0,0,69,0,0,0,0,0,0,1,0,11,101,0,0,0,2,0,147,0,0,0,0,0,0,14
K23,loc:1123,locality,loc:1123,1123,אדרת,1,1,570,409,408,1,מחל,238,53,185,0.583333,13,4,0,0,0,0,49,0,0,0,0,0,0,0,0,1,238,1,0,0,3,0,53,0,0,0,0,0,0,46
K23,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,221,136,135,1,פה,79,29,50,0.585185,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,79,0,0,0,0,0,0,0
