election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת
K24,loc:10,locality,loc:10,10,תירוש,1,1,332,227,227,0,מחל,106,85,21,0.46696,0,4,7,0,0,0,12,0,4,0,0,0,0,0,0,0,0,106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7
K24,loc:1015,locality,loc:1015,1015,מבשרת ציון,34,34,19158,13356,13331,25,מחל,4255,2146,2109,0.319181,1056,776,50,28,1,1,609,4,102,0,0,3,1,2,5,1339,335,4255,1192,1,0,0,2,2146,1,0,0,0,0,0,2,1,1,26,8,0,0,659,725
K24,loc:102,locality,loc:102,102,מאיר שפיה,1,1,115,58,56,2,מחל,11,10,1,0.196429,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,11,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
K24,loc:1020,locality,loc:1020,1020,אור עקיבא,30,30,16288,9672,9621,51,מחל,4655,941,3714,0.483837,194,643,93,1,1,1,354,3,97,0,0,0,0,1,4,284,882,4655,91,1,7,0,1,829,1,3,0,0,0,1,2,0,1,39,1,1,0,941,489
K24,loc:1024,locality,loc:1024,1024,חרוצים,1,1,572,427,427,0,מחל,113,95,18,0.264637,43,17,1,0,0,1,1,0,8,0,0,0,0,0,0,55,7,113,43,0,0,0,0,95,0,1,0,0,0,0,0,0,0,2,0,0,0,13,27
K24,loc:103,locality,loc:103,103,תל עדשים,2,2,863,684,679,5,פה,191,124,67,0.281296,74,52,2,2,0,0,14,0,2,0,0,0,0,0,0,99,23,124,36,1,0,0,0,191,0,0,0,0,0,0,0,0,0,3,0,0,0,3,53
K24,loc:1031,locality,loc:1031,1031,שדרות,41,41,21394,12793,12701,92,מחל,5227,1711,3516,0.411542,254,1711,98,16,1,0,1342,5,66,0,0,6,2,1,5,392,964,5227,132,7,1,0,7,543,3,1,0,0,1,0,0,1,2,60,3,2,0,1425,423
K24,loc:1034,locality,loc:1034,1034,קריית מלאכי,30,30,17485,10922,10846,76,מחל,4550,1834,2716,0.419509,112,563,570,4,0,1,1791,2,62,1,0,0,1,2,10,505,180,4550,28,3,2,2,3,241,1,1,2,0,1,1,1,1,6,45,6,2,0,1834,312
K24,loc:104,locality,loc:104,104,מזרע,2,2,705,507,507,0,מרצ,167,110,57,0.329389,102,9,1,0,0,0,0,0,4,0,0,0,0,0,0,89,2,11,167,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
K24,loc:1043,locality,loc:1043,1043,גיזו,1,1,150,122,122,0,מחל,37,22,15,0.303279,18,11,0,0,0,1,2,0,1,0,0,0,0,0,0,10,3,37,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
K24,loc:1044,locality,loc:1044,1044,יעף,1,1,175,135,134,1,פה,31,21,10,0.231343,17,9,1,3,0,0,2,0,0,0,0,0,0,0,1,12,4,21,16,0,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,1,11
K24,loc:1045,locality,loc:1045,1045,שתולה,1,1,229,148,148,0,מחל,55,20,35,0.371622,11,20,4,1,0,0,17,0,1,0,0,0,0,0,0,17,0,55,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6
K24,loc:1046,locality,loc:1046,1046,אוהד,1,1,266,181,181,0,מחל,72,21,51,0.39779,17,19,0,1,0,0,5,0,0,0,0,0,0,0,1,21,5,72,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12
K24,loc:1047,locality,loc:1047,1047,חזון,1,1,258,203,203,0,מחל,127,29,98,0.625616,0,11,7,0,0,0,12,0,0,0,0,0,0,0,0,5,0,127,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6
K24,loc:1050,locality,loc:1050,1050,בית חשמונאי,3,3,1503,1138,1134,4,מחל,325,295,30,0.286596,99,73,1,1,0,1,21,0,12,0,0,0,0,0,0,141,15,325,49,0,0,0,0,295,1,1,0,0,0,0,0,0,0,4,0,0,0,12,83
K24,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,229,138,138,0,מחל,50,20,30,0.362319,5,17,4,0,0,0,3,0,2,0,0,0,0,0,0,7,0,50,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13
K24,loc:1052,locality,loc:1052,1052,קטורה,1,1,450,228,224,4,אמת,91,44,47,0.40625,91,7,0,1,0,0,1,0,0,0,0,0,0,0,0,12,11,10,44,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
K24,loc:1054,locality,loc:1054,1054,תל שבע,21,21,10315,4409,4362,47,עם,3632,538,3094,0.832646,11,1,0,538,0,0,0,0,1,3,1,1,0,0,2,3,0,88,43,1,1,1,3632,17,3,0,5,1,0,0,1,3,1,0,1,0,0,3,0
K24,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,55,25,25,0,מחל,8,4,4,0.32,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K24,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,372,212,212,0,פה,51,45,6,0.240566,38,18,0,1,0,0,1,0,0,0,0,0,0,0,0,45,3,22,26,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
K24,loc:1059,locality,loc:1059,1059,כסיפה,18,18,8910,4171,4129,42,עם,2753,919,1834,0.666747,4,2,0,919,0,2,0,0,9,1,1,0,1,0,1,8,2,81,54,0,0,1,2753,137,1,1,0,1,1,0,0,1,4,1,2,0,0,12,129
K24,loc:106,locality,loc:106,106,כפר גדעון,1,1,189,136,135,1,ג,44,25,19,0.325926,1,5,44,0,0,0,19,0,0,0,0,0,0,0,0,2,1,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7
K24,loc:1060,locality,loc:1060,1060,לקיה,15,15,8003,3206,3174,32,עם,1786,1270,516,0.562697,5,0,0,1270,0,0,0,0,0,2,1,2,1,0,0,0,2,61,25,0,1,0,1786,3,0,0,0,1,0,0,0,1,1,0,0,0,0,1,11
K24,loc:1061,locality,loc:1061,1061,נוף הגליל,75,75,39640,20004,19714,290,מחל,5841,3953,1888,0.296287,405,498,407,3953,4,1,586,5,140,10,2,7,3,2,9,472,3567,5841,445,5,2,3,274,1583,7,2,1,0,3,6,0,2,8,119,5,5,0,436,896
K24,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,38,38,18650,10864,10778,86,מחל,3041,1736,1305,0.282149,203,462,66,1668,2,0,642,0,55,1,0,5,3,0,1,196,1736,3041,242,0,0,2,302,852,2,4,2,0,0,0,1,4,0,72,4,2,0,661,547
K24,loc:1064,locality,loc:1064,1064,אמירים,1,1,612,391,389,2,אמת,79,74,5,0.203085,79,28,1,5,0,1,15,0,6,0,0,0,0,0,0,31,8,32,74,0,0,0,0,70,0,1,0,0,0,0,0,0,0,18,0,1,0,4,15
K24,loc:1065,locality,loc:1065,1065,זמרת,1,1,385,332,332,0,מחל,172,75,97,0.518072,1,24,5,0,0,0,75,0,0,0,0,0,0,0,0,9,0,172,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,38,5
K24,loc:1066,locality,loc:1066,1066,"בני עי""ש",11,11,5750,3514,3483,31,מחל,1180,803,377,0.338788,58,209,37,2,0,0,191,2,24,2,0,0,1,1,3,83,803,1180,31,2,5,0,1,403,3,1,0,0,0,2,0,0,3,14,0,0,0,255,167
K24,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,358,238,238,0,מחל,167,34,133,0.701681,2,11,0,0,0,0,5,0,0,0,0,0,0,0,0,7,2,167,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,34,5
K24,loc:1068,locality,loc:1068,1068,אדמית,1,1,357,194,194,0,מרצ,44,40,4,0.226804,23,6,0,3,0,0,5,0,10,0,0,0,0,0,0,10,14,40,44,0,0,0,3,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9
K24,loc:1069,locality,loc:1069,1069,רם-און,2,2,671,510,509,1,פה,162,111,51,0.318271,111,21,1,1,1,0,3,0,6,0,0,0,0,0,0,92,20,36,40,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
