election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
K25,composite:shaar-shomron,composite_locality,composite:shaar-shomron,3826,שער שומרון,10,10,5566,4173,4162,11,מחל,1449,1221,228,0.34815,56,21,264,18,0,1,1,0,0,0,1221,0,21,0,0,1,400,0,94,1449,22,0,0,0,3,0,0,1,416,3,5,0,0,0,0,1,14,0,150,0
K25,loc:10,locality,loc:10,10,תירוש,1,1,336,268,268,0,מחל,108,103,5,0.402985,0,0,3,9,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,108,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,103,0
K25,loc:1015,locality,loc:1015,1015,מבשרת ציון,33,33,19755,14091,14051,40,מחל,4553,3005,1548,0.324034,740,41,139,79,5,38,0,1,0,0,1587,3,29,0,0,4,1697,0,336,4553,925,0,1,0,0,2,1,13,3005,2,14,2,1,0,1,1,44,0,786,1
K25,loc:102,locality,loc:102,102,מאיר שפיה,1,1,128,55,53,2,מחל,20,9,11,0.377358,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,6,20,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
K25,loc:1020,locality,loc:1020,1020,אור עקיבא,30,30,17133,10955,10879,76,מחל,5130,1288,3842,0.471551,133,37,117,99,8,7,0,0,1,0,1288,1,30,2,1,1,630,4,812,5130,70,0,3,1,2,1,1,2,1284,2,20,1,0,1,0,4,16,6,1160,4
K25,loc:1024,locality,loc:1024,1024,חרוצים,1,1,615,473,471,2,מחל,120,110,10,0.254777,31,3,6,3,0,0,0,1,0,0,29,0,4,0,0,0,81,0,4,120,49,0,0,0,0,0,0,0,110,0,1,0,0,0,0,2,8,0,19,0
K25,loc:103,locality,loc:103,103,תל עדשים,2,2,898,668,666,2,פה,233,154,79,0.34985,43,2,6,2,0,2,0,0,0,0,38,0,1,0,0,0,154,0,12,143,21,0,0,0,0,0,0,0,233,0,0,1,0,0,0,0,3,0,5,0
K25,loc:1031,locality,loc:1031,1031,שדרות,42,42,23403,15342,15242,100,מחל,6329,3742,2587,0.415234,169,46,99,149,5,13,1,0,0,0,3742,1,62,1,1,5,860,1,792,6329,113,0,8,0,5,4,0,16,888,6,40,2,4,2,2,1,26,4,1838,7
K25,loc:1034,locality,loc:1034,1034,קריית מלאכי,30,30,17963,12665,12591,74,מחל,4791,3179,1612,0.38051,78,26,87,668,0,2,0,1,1,0,3179,0,34,1,0,1,664,2,168,4791,19,1,4,1,4,3,0,6,302,2,35,1,1,3,5,7,18,1,2472,3
K25,loc:104,locality,loc:104,104,מזרע,2,2,701,489,489,0,פה,177,123,54,0.361963,79,0,3,2,0,1,0,0,0,0,3,1,3,0,0,0,67,1,11,15,123,0,0,0,0,1,0,0,177,1,0,0,0,0,0,0,1,0,0,0
K25,loc:1043,locality,loc:1043,1043,גיזו,1,1,150,119,119,0,מחל,46,25,21,0.386555,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,3,46,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,3,0
K25,loc:1044,locality,loc:1044,1044,יעף,1,1,185,134,134,0,פה,44,25,19,0.328358,11,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0,25,0,0,21,11,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,4,0,5,0
K25,loc:1045,locality,loc:1045,1045,שתולה,1,1,240,166,165,1,מחל,57,46,11,0.345455,5,0,5,4,0,0,0,0,0,0,46,0,1,0,0,0,26,0,1,57,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,11,0
K25,loc:1046,locality,loc:1046,1046,אוהד,1,1,280,200,200,0,מחל,78,35,43,0.39,15,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,35,0,4,78,3,0,0,0,0,0,0,3,30,0,2,0,0,0,0,0,0,0,6,0
K25,loc:1047,locality,loc:1047,1047,חזון,1,1,255,221,219,2,מחל,120,43,77,0.547945,2,0,0,7,0,0,0,0,0,0,38,0,0,0,0,0,8,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1
K25,loc:1050,locality,loc:1050,1050,בית חשמונאי,3,3,1525,1188,1187,1,פה,360,321,39,0.303286,64,5,13,1,0,3,0,0,0,0,95,1,8,0,0,0,219,0,29,321,34,0,0,0,0,1,0,0,360,0,0,0,0,0,1,0,12,0,20,0
K25,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,232,149,148,1,מחל,58,25,33,0.391892,3,0,1,2,0,0,0,1,0,0,19,0,0,0,0,0,17,0,0,58,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,13,0
K25,loc:1052,locality,loc:1052,1052,קטורה,1,1,453,223,222,1,פה,76,61,15,0.342342,61,3,3,1,0,2,0,0,0,0,7,0,1,0,0,0,16,0,10,6,32,0,0,0,0,0,0,0,76,0,0,0,1,0,0,0,2,0,1,0
K25,loc:1054,locality,loc:1054,1054,תל שבע,18,18,10918,5820,5766,54,עם,4692,461,4231,0.813736,11,3,0,1,429,461,0,0,0,0,2,0,0,0,0,0,3,0,0,59,17,0,1,0,1,0,2,4692,46,0,4,3,1,1,6,4,4,1,10,4
K25,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,57,19,19,0,מחל,6,4,2,0.315789,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0
K25,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,391,228,227,1,פה,95,40,55,0.418502,20,0,4,0,0,2,0,0,0,0,12,0,1,0,0,0,40,1,4,21,23,0,0,0,0,0,0,0,95,0,1,0,0,0,0,0,2,0,1,0
K25,loc:1059,locality,loc:1059,1059,כסיפה,17,17,9552,5312,5262,50,עם,3755,577,3178,0.713607,9,0,0,3,577,426,1,0,1,0,2,1,2,2,0,3,224,1,1,54,115,3,1,3,0,2,2,3755,35,1,0,8,2,4,2,8,3,1,8,2
K25,loc:106,locality,loc:106,106,כפר גדעון,1,1,211,150,150,0,ג,42,37,5,0.28,1,0,3,42,0,0,0,0,0,0,32,0,0,0,0,0,6,0,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,37,0
K25,loc:1060,locality,loc:1060,1060,לקיה,14,14,8671,4115,4083,32,עם,2790,944,1846,0.683321,7,4,0,1,944,256,0,0,0,1,6,0,0,0,1,0,7,2,0,16,7,0,0,0,0,0,0,2790,13,1,2,5,3,0,3,1,4,0,5,4
K25,loc:1061,locality,loc:1061,1061,נוף הגליל,72,72,40467,21366,21063,303,מחל,5872,3554,2318,0.278783,334,37,56,515,1408,3554,2,4,3,1,1601,8,48,7,0,1,857,28,3179,5872,276,1,7,6,7,11,3,424,2092,9,45,1,14,0,8,14,38,6,557,29
K25,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,35,35,18917,11484,11364,120,מחל,3020,1424,1596,0.265751,114,21,105,87,1218,956,2,1,1,2,1309,3,39,0,3,2,577,3,1424,3020,134,0,1,0,2,7,1,322,1173,4,18,6,6,0,1,7,49,6,734,6
K25,loc:1064,locality,loc:1064,1064,אמירים,1,1,628,381,380,1,פה,121,52,69,0.318421,35,0,6,5,0,8,0,0,0,0,52,1,0,0,0,0,30,0,5,29,51,0,0,0,1,1,0,0,121,0,0,0,3,0,0,0,29,0,3,0
K25,loc:1065,locality,loc:1065,1065,זמרת,1,1,400,355,355,0,מחל,172,103,69,0.484507,0,0,6,5,0,0,0,0,0,0,103,0,0,0,0,0,13,0,0,172,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,52,0
K25,loc:1066,locality,loc:1066,1066,"בני עי""ש",11,11,5695,3567,3515,52,מחל,1102,616,486,0.313514,31,14,19,41,2,0,0,0,0,1,518,0,14,1,0,0,207,4,616,1102,16,1,1,0,2,1,0,2,544,2,13,2,1,1,1,2,5,7,337,7
K25,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,357,247,247,0,מחל,154,34,120,0.623482,1,0,2,6,2,0,0,0,0,0,34,0,0,0,0,0,12,0,0,154,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0
K25,loc:1068,locality,loc:1068,1068,אדמית,1,1,369,205,205,0,פה,49,37,12,0.239024,26,2,2,0,2,4,0,0,0,0,11,0,0,0,0,0,20,0,10,37,35,0,0,0,0,0,0,4,49,0,1,0,0,0,0,0,1,0,0,1
