election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,stat1995:10001,statistical_area,stat1995:10001,1995,10001,1,loc:10,10,תירוש,1,1,270,180,176,4,שס,96,31,65,0.545455,10,0,0,0,0,0,0,2,0,31,0,0,6,0,3,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,96
K17,stat1995:1015001,statistical_area,stat1995:1015001,1995,1015001,1,loc:1015,1015,מבשרת ציון,10,10,6129,4258,4229,29,כן,1103,839,264,0.260818,839,21,0,0,14,1,1,250,21,434,1,23,1103,0,177,507,287,2,1,46,0,0,4,0,0,4,4,65,0,75,349
K17,stat1995:1015002,statistical_area,stat1995:1015002,1995,1015002,2,loc:1015,1015,מבשרת ציון,5,5,3055,2276,2263,13,כן,686,605,81,0.303137,605,7,1,0,3,1,1,162,11,90,8,5,686,0,104,212,221,0,0,21,0,0,2,0,0,2,1,22,1,43,54
K17,stat1995:1015003,statistical_area,stat1995:1015003,1995,1015003,3,loc:1015,1015,מבשרת ציון,4,4,2194,1399,1393,6,כן,366,326,40,0.262742,326,2,0,1,14,1,51,103,7,60,2,6,366,0,54,126,164,0,0,14,1,0,2,0,0,0,1,22,0,37,33
K17,stat1995:1015004,statistical_area,stat1995:1015004,1995,1015004,4,loc:1015,1015,מבשרת ציון,9,9,4803,2992,2961,31,כן,702,480,222,0.237082,468,29,1,1,11,0,2,183,5,191,3,8,702,0,152,476,127,2,1,33,0,0,0,0,0,1,2,28,0,55,480
K17,stat1995:1020001,statistical_area,stat1995:1020001,1995,1020001,1,loc:1020,1020,אור עקיבא,1,1,482,247,241,6,כן,53,38,15,0.219917,38,1,0,0,0,0,0,12,1,26,0,1,53,0,35,30,4,0,0,1,0,0,1,0,0,0,1,3,0,3,31
K17,stat1995:1020002,statistical_area,stat1995:1020002,1995,1020002,2,loc:1020,1020,אור עקיבא,5,5,3391,1349,1320,29,כן,272,272,0,0.206061,102,10,2,1,1,0,0,28,0,167,0,8,272,0,195,272,4,0,1,1,6,3,4,0,1,3,6,6,0,2,225
K17,stat1995:1020003,statistical_area,stat1995:1020003,1995,1020003,3,loc:1020,1020,אור עקיבא,6,6,3932,2110,2077,33,שס,597,350,247,0.287434,168,36,2,0,1,1,2,55,2,324,3,15,333,1,149,350,8,0,1,2,4,1,1,1,1,3,4,5,0,7,597
K17,stat1995:1020004,statistical_area,stat1995:1020004,1995,1020004,4,loc:1020,1020,אור עקיבא,4,4,2436,1284,1255,29,כן,329,314,15,0.262151,108,4,0,0,1,0,3,45,6,55,1,3,329,1,314,245,13,0,1,1,8,0,0,3,0,1,3,18,0,14,78
K17,stat1995:1020005,statistical_area,stat1995:1020005,1995,1020005,5,loc:1020,1020,אור עקיבא,5,5,3158,1643,1617,26,ל,561,445,116,0.346939,67,10,0,1,0,0,1,31,8,50,4,10,445,1,561,293,13,0,1,5,7,2,2,1,1,1,4,14,0,14,70
K17,stat1995:102001,statistical_area,stat1995:102001,1995,102001,1,loc:102,102,מאיר שפיה,1,1,100,39,39,0,כן,12,7,5,0.307692,7,2,0,0,0,0,0,4,0,0,0,3,12,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0
K17,stat1995:1024001,statistical_area,stat1995:1024001,1995,1024001,1,loc:1024,1024,חרוצים,1,1,519,326,322,4,כן,79,52,27,0.245342,52,0,0,0,0,0,3,28,4,15,1,1,79,5,10,38,29,2,1,3,0,1,0,0,0,0,0,6,0,9,35
K17,stat1995:103001,statistical_area,stat1995:103001,1995,103001,1,loc:103,103,תל עדשים,1,1,444,347,345,2,כן,122,65,57,0.353623,65,0,0,0,1,0,0,41,3,14,0,5,122,0,24,26,23,0,0,10,0,0,0,0,0,1,0,2,0,4,4
K17,stat1995:1031002,statistical_area,stat1995:1031002,1995,1031002,2,loc:1031,1031,שדרות,4,4,2884,1640,1586,54,אמת,491,265,226,0.309584,491,27,1,0,2,1,1,20,7,186,1,7,159,2,231,148,6,3,1,2,7,0,2,1,0,2,2,7,0,4,265
K17,stat1995:1031003,statistical_area,stat1995:1031003,1995,1031003,3,loc:1031,1031,שדרות,5,5,3035,1476,1428,48,אמת,369,277,92,0.258403,369,22,0,2,1,0,6,25,2,124,1,13,167,3,277,127,4,0,1,3,2,2,3,1,2,3,3,5,0,9,251
K17,stat1995:1031004,statistical_area,stat1995:1031004,1995,1031004,4,loc:1031,1031,שדרות,6,6,3403,1714,1662,52,ל,580,292,288,0.348977,292,6,2,0,0,0,1,11,8,92,1,11,205,1,580,186,4,2,0,4,8,1,0,1,2,5,2,11,0,7,219
K17,stat1995:1031005,statistical_area,stat1995:1031005,1995,1031005,5,loc:1031,1031,שדרות,4,4,2373,1422,1399,23,אמת,440,246,194,0.31451,440,37,2,1,0,2,0,18,0,241,0,14,112,2,97,147,10,1,1,3,1,2,0,0,2,1,4,9,0,6,246
K17,stat1995:1031006,statistical_area,stat1995:1031006,1995,1031006,6,loc:1031,1031,שדרות,7,7,4255,2486,2437,49,אמת,569,472,97,0.233484,569,21,1,0,3,1,14,21,3,370,2,14,358,0,472,239,22,2,2,4,5,3,1,4,0,4,1,13,1,16,271
K17,stat1995:1034002,statistical_area,stat1995:1034002,1995,1034002,2,loc:1034,1034,קרית מלאכי,6,6,3872,2067,2019,48,שס,601,345,256,0.297672,345,27,0,0,0,3,105,52,0,125,2,30,321,4,126,215,8,6,4,5,1,2,4,1,2,3,5,12,2,8,601
K17,stat1995:1034003,statistical_area,stat1995:1034003,1995,1034003,3,loc:1034,1034,קרית מלאכי,4,4,2404,1367,1339,28,אמת,351,288,63,0.262136,351,12,0,1,0,1,12,47,1,137,0,8,236,0,50,153,6,1,0,5,3,3,4,0,0,0,2,8,0,10,288
K17,stat1995:1034004,statistical_area,stat1995:1034004,1995,1034004,4,loc:1034,1034,קרית מלאכי,4,4,2407,1316,1298,18,שס,333,231,102,0.256549,231,37,0,0,0,0,13,40,3,166,0,36,217,0,46,146,5,1,0,7,1,0,0,0,0,0,1,12,0,3,333
K17,stat1995:1034005,statistical_area,stat1995:1034005,1995,1034005,5,loc:1034,1034,קרית מלאכי,5,5,3511,1871,1809,62,שס,518,264,254,0.286346,185,15,0,3,1,0,264,32,4,145,1,29,251,2,102,190,9,3,6,3,5,4,1,0,2,4,10,6,3,11,518
K17,stat1995:1034006,statistical_area,stat1995:1034006,1995,1034006,6,loc:1034,1034,קרית מלאכי,3,3,1850,1109,1082,27,שס,399,236,163,0.368762,34,88,0,0,0,1,56,3,0,236,0,128,27,0,31,61,0,3,1,3,2,0,0,1,0,0,1,6,0,1,399
K17,stat1995:1034007,statistical_area,stat1995:1034007,1995,1034007,7,loc:1034,1034,קרית מלאכי,1,1,249,170,168,2,שס,53,49,4,0.315476,0,15,0,0,0,0,0,1,0,33,0,49,0,0,3,9,0,2,0,2,0,0,0,0,0,0,0,0,0,1,53
K17,stat1995:104001,statistical_area,stat1995:104001,1995,104001,1,loc:104,104,מזרע,1,1,658,442,441,1,מרצ,163,154,9,0.369615,154,1,0,0,1,0,0,13,3,0,0,0,72,0,3,3,163,0,0,5,0,0,0,0,1,0,0,7,0,14,1
K17,stat1995:1043001,statistical_area,stat1995:1043001,1995,1043001,1,loc:1043,1043,גיזו,1,1,104,73,73,0,כן,20,18,2,0.273973,18,1,0,0,0,0,0,2,2,1,0,0,20,0,6,4,5,0,0,3,0,0,0,0,0,0,0,1,0,2,8
K17,stat1995:1045001,statistical_area,stat1995:1045001,1995,1045001,1,loc:1045,1045,שתולה,1,1,178,118,117,1,אמת,33,33,0,0.282051,33,1,0,0,1,0,0,2,0,11,0,2,33,0,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,17
K17,stat1995:1046001,statistical_area,stat1995:1046001,1995,1046001,1,loc:1046,1046,אוהד,1,1,210,140,140,0,אמת,40,29,11,0.285714,40,1,0,0,0,0,0,19,0,7,0,1,29,0,5,27,1,0,0,1,0,0,0,0,0,0,0,2,0,2,5
K17,stat1995:1047001,statistical_area,stat1995:1047001,1995,1047001,1,loc:1047,1047,חזון,1,1,292,177,176,1,טב,45,38,7,0.255682,10,34,0,0,0,0,0,4,0,45,0,0,13,0,2,27,0,0,0,2,0,0,0,0,0,0,0,1,0,0,38
K17,stat1995:1050001,statistical_area,stat1995:1050001,1995,1050001,1,loc:1050,1050,בית חשמונאי,1,1,609,405,404,1,כן,124,73,51,0.306931,73,1,0,0,0,0,0,27,3,28,0,2,124,0,32,60,7,1,0,7,0,0,0,0,0,2,0,1,0,13,23
K17,stat1995:1051001,statistical_area,stat1995:1051001,1995,1051001,1,loc:1051,1051,תלמי אליהו,1,1,208,117,116,1,כן,29,24,5,0.25,24,4,0,0,0,0,0,5,0,6,0,1,29,0,5,9,5,0,0,0,0,0,0,0,0,0,0,3,0,3,22
K17,stat1995:1052001,statistical_area,stat1995:1052001,1995,1052001,1,loc:1052,1052,קטורה,1,1,381,186,184,2,אמת,101,25,76,0.548913,101,0,1,0,1,0,2,3,3,5,0,0,25,0,5,1,22,0,0,2,0,0,0,0,0,0,0,11,0,2,0
K17,stat1995:1054001,statistical_area,stat1995:1054001,1995,1054001,1,loc:1054,1054,תל שבע,9,9,5032,2269,2188,81,עם,1285,284,1001,0.587294,284,1,155,3,28,2,0,5,2,2,1,0,232,1,14,12,44,7,1285,3,1,1,8,2,1,11,6,8,5,7,57
K17,stat1995:1057001,statistical_area,stat1995:1057001,1995,1057001,1,loc:1057,1057,נווה זוהר,1,1,83,45,45,0,כן,18,5,13,0.4,2,2,0,0,0,0,0,5,0,2,0,0,18,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4
K17,stat1995:1058001,statistical_area,stat1995:1058001,1995,1058001,1,loc:1058,1058,שדה ניצן,1,1,292,159,159,0,אמת,82,30,52,0.515723,82,0,0,0,2,0,0,10,0,6,1,0,30,0,4,3,12,0,0,3,0,0,0,0,0,0,0,2,0,2,2
K17,stat1995:1059001,statistical_area,stat1995:1059001,1995,1059001,1,loc:1059,1059,כסיפה,8,8,4510,1976,1889,87,עם,649,471,178,0.343568,211,1,471,0,162,0,1,2,2,5,2,2,252,1,5,40,7,1,649,2,0,2,1,1,7,5,2,5,5,3,42
K17,stat1995:1060001,statistical_area,stat1995:1060001,1995,1060001,1,loc:1060,1060,לקיה,5,5,3650,2402,2340,62,עם,1512,557,955,0.646154,33,0,557,0,122,1,1,2,0,2,0,2,66,2,1,3,4,1,1512,0,1,1,0,0,1,7,4,2,5,3,7
K17,stat1995:106001,statistical_area,stat1995:106001,1995,106001,1,loc:106,106,כפר גדעון,1,1,142,117,115,2,ג,36,29,7,0.313043,1,36,0,0,0,0,0,3,0,14,0,13,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29
