election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
K18,stat2008:100001,statistical_area,stat2008:100001,2008,100001,1,loc:10,10,תירוש,1,1,276,179,176,3,שס,85,63,22,0.482955,1,0,9,5,0,0,0,1,0,2,0,0,0,5,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
K18,stat2008:10150001,statistical_area,stat2008:10150001,2008,10150001,1,loc:1015,1015,מבשרת ציון,3,3,1797,1376,1368,8,כן,510,329,181,0.372807,290,0,12,1,0,19,3,3,0,20,0,0,0,510,61,329,74,3,1,0,0,0,3,0,0,0,0,4,1,4,0,0,4,26
K18,stat2008:10150002,statistical_area,stat2008:10150002,2008,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4958,3393,3371,22,מחל,1014,827,187,0.300801,448,0,104,16,0,61,16,19,3,190,0,2,3,827,178,1014,204,1,0,0,0,1,8,0,0,0,0,4,0,9,1,0,10,252
K18,stat2008:10150003,statistical_area,stat2008:10150003,2008,10150003,3,loc:1015,1015,מבשרת ציון,6,6,3248,2377,2366,11,כן,763,574,189,0.322485,477,0,36,6,0,43,13,10,7,28,0,0,1,763,136,574,202,1,0,0,0,0,0,0,0,1,0,0,2,4,0,0,11,51
K18,stat2008:10150004,statistical_area,stat2008:10150004,2008,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2302,1486,1471,15,כן,472,291,181,0.32087,282,0,70,3,2,34,19,10,3,27,1,0,1,472,69,291,137,6,0,0,0,1,0,0,1,1,0,0,0,4,1,0,5,31
K18,stat2008:10150005,statistical_area,stat2008:10150005,2008,10150005,5,loc:1015,1015,מבשרת ציון,5,5,2774,1828,1807,21,מחל,637,450,187,0.352518,199,0,23,6,0,16,14,6,2,43,0,0,1,450,106,637,88,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,7,203
K18,stat2008:10150006,statistical_area,stat2008:10150006,2008,10150006,6,loc:1015,1015,מבשרת ציון,4,4,2416,1522,1509,13,מחל,594,303,291,0.393638,153,0,17,5,0,19,13,12,0,37,0,0,1,303,124,594,57,0,0,0,0,2,1,0,0,0,0,4,0,4,0,1,3,159
K18,stat2008:10200001,statistical_area,stat2008:10200001,2008,10200001,1,loc:1020,1020,אור עקיבא,1,1,730,409,407,2,מחל,140,94,46,0.34398,20,0,7,1,0,0,0,10,3,5,0,1,0,94,81,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
K18,stat2008:10200002,statistical_area,stat2008:10200002,2008,10200002,2,loc:1020,1020,אור עקיבא,5,5,3369,1363,1328,35,מחל,512,316,196,0.385542,37,1,25,6,3,0,1,5,2,18,0,0,0,174,316,512,4,0,0,1,1,1,0,0,2,2,1,0,4,3,1,4,3,201
K18,stat2008:10200003,statistical_area,stat2008:10200003,2008,10200003,3,loc:1020,1020,אור עקיבא,6,6,3948,1988,1956,32,מחל,655,494,161,0.334867,59,0,131,25,4,5,1,17,4,40,1,0,0,245,251,655,3,1,2,0,0,2,1,0,0,1,1,3,1,7,0,1,1,494
