election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
K19,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,301,199,197,2,שס,101,40,61,0.51269,3,4,0,0,0,0,0,0,0,0,26,0,2,40,2,1,0,5,0,0,0,6,4,0,0,0,0,1,2,0,0,0,0,101
K19,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,3,3,2121,1680,1670,10,פה,456,360,96,0.273054,326,1,2,0,1,0,1,11,0,4,94,0,54,360,147,0,0,20,0,0,1,456,2,0,0,0,0,13,134,0,0,14,3,26
K19,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4915,3492,3472,20,מחל,847,546,301,0.243952,457,23,0,0,1,0,14,28,0,7,438,3,82,847,326,0,0,103,0,1,1,546,10,1,0,0,1,103,188,1,1,29,3,258
K19,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,6,6,3345,2538,2530,8,מחל,564,551,13,0.222925,462,4,0,1,1,0,8,15,0,5,127,0,59,564,325,0,2,22,0,1,0,551,2,0,0,0,2,50,245,0,0,19,2,63
K19,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2389,1576,1559,17,מחל,433,292,141,0.277742,292,3,1,0,1,0,10,9,0,3,60,12,39,433,235,1,0,11,1,0,1,271,3,0,0,0,1,24,89,14,4,13,3,25
K19,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,5,5,3077,2182,2165,17,מחל,638,376,262,0.294688,251,7,3,0,2,0,3,10,0,1,189,0,69,638,143,0,0,53,1,1,0,376,10,1,0,1,0,39,96,1,0,18,2,250
K19,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,4,4,2557,1724,1720,4,מחל,613,211,402,0.356395,203,5,0,0,0,0,13,7,0,3,144,3,35,613,110,0,0,47,0,2,0,183,17,6,0,0,1,36,66,0,0,14,1,211
K19,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,2,2,1226,770,760,10,מחל,295,110,185,0.388158,61,3,0,0,0,1,0,3,0,1,94,0,24,295,7,0,0,11,1,0,0,110,11,0,0,0,0,10,29,0,0,8,5,86
K19,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,3207,1302,1265,37,מחל,624,235,389,0.493281,51,5,0,0,2,3,1,4,0,2,107,5,21,624,14,1,0,31,1,0,1,55,31,1,0,2,2,10,28,0,2,24,2,235
K19,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,6,6,3965,2146,2115,31,מחל,742,598,144,0.350827,78,18,0,0,1,1,0,11,0,5,293,6,46,742,7,0,2,24,4,1,0,104,77,4,0,2,2,35,31,3,0,19,1,598
