election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,306,218,215,3,מחל,92,76,16,0.427907,2,4,0,0,0,0,14,0,0,0,0,12,0,92,1,0,0,0,0,4,0,0,1,9,0,76
K20,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,4,4,2252,1829,1820,9,אמת,632,403,229,0.347253,632,4,1,0,0,0,90,1,0,0,0,155,24,403,144,0,0,0,0,303,0,1,21,18,1,22
K20,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4860,3664,3650,14,מחל,1215,847,368,0.332877,847,32,7,1,0,0,309,0,0,0,0,265,41,1215,273,3,1,1,0,338,0,0,33,131,1,152
K20,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,6,6,3306,2536,2526,10,אמת,936,610,326,0.370546,936,8,4,0,0,0,97,0,0,0,0,173,33,610,243,3,0,0,0,340,0,0,19,21,1,38
K20,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2378,1561,1547,14,אמת,540,433,107,0.349063,540,8,4,0,0,0,47,0,0,0,0,116,11,433,195,0,0,0,0,156,1,0,5,16,1,14
K20,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,5,5,3217,2437,2427,10,מחל,966,462,504,0.398022,462,12,3,0,0,0,112,0,0,0,0,204,38,966,130,1,0,0,0,236,0,1,17,76,1,168
K20,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,5,4,2700,1991,1976,15,מחל,894,307,587,0.452429,307,10,4,0,0,1,104,0,0,0,1,202,28,894,85,0,0,2,1,145,0,1,10,39,0,142
K20,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,4,3,1840,1397,1392,5,מחל,606,208,398,0.435345,161,11,1,0,0,0,97,0,0,0,0,208,64,606,16,1,0,0,0,102,0,0,9,10,1,105
K20,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,3167,1741,1711,30,מחל,946,209,737,0.552893,59,7,8,0,0,0,58,0,0,0,0,209,137,946,6,0,1,0,0,41,0,2,21,26,4,186
K20,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,6,6,3925,2557,2542,15,מחל,1107,488,619,0.435484,111,69,10,0,0,0,136,1,0,0,0,342,138,1107,4,0,0,1,0,58,0,1,16,60,0,488
K20,stat2011:10200004,statistical_area,stat2011:10200004,2011,10200004,4,loc:1020,1020,אור עקיבא,4,4,2484,1631,1612,19,מחל,737,207,530,0.457196,134,25,0,0,0,0,82,0,0,0,0,207,200,737,18,1,0,0,0,100,0,1,19,10,1,77
K20,stat2011:10200005,statistical_area,stat2011:10200005,2011,10200005,5,loc:1020,1020,אור עקיבא,6,6,3195,2035,2018,17,מחל,822,475,347,0.407334,112,10,1,1,0,0,100,0,0,0,0,243,475,822,21,0,0,0,0,125,0,1,25,24,1,57
K20,stat2011:1020001,statistical_area,stat2011:1020001,2011,1020001,1,loc:102,102,מאיר שפיה,1,1,92,49,49,0,אמת,15,12,3,0.306122,15,0,0,0,0,0,2,0,0,0,0,9,1,12,8,0,0,0,0,2,0,0,0,0,0,0
K20,stat2011:10240001,statistical_area,stat2011:10240001,2011,10240001,1,loc:1024,1024,חרוצים,1,1,577,447,447,0,אמת,143,111,32,0.319911,143,1,0,0,0,0,31,1,0,0,0,51,9,111,33,1,0,1,0,47,0,0,3,4,1,10
K20,stat2011:1030001,statistical_area,stat2011:1030001,2011,1030001,1,loc:103,103,תל עדשים,1,1,750,613,612,1,אמת,263,116,147,0.429739,263,2,1,0,0,0,32,0,0,0,0,41,7,111,24,0,0,0,0,116,0,0,4,8,1,2
K20,stat2011:10310002,statistical_area,stat2011:10310002,2011,10310002,2,loc:1031,1031,שדרות,5,5,2909,1739,1717,22,מחל,697,190,507,0.405941,168,53,2,0,0,0,160,0,0,0,0,112,190,697,10,0,0,1,1,54,2,2,18,68,4,175
K20,stat2011:10310003,statistical_area,stat2011:10310003,2011,10310003,3,loc:1031,1031,שדרות,5,5,2884,1589,1547,42,מחל,640,194,446,0.413704,142,15,3,0,0,0,170,0,0,0,1,113,194,640,14,1,0,0,0,63,0,0,13,59,0,119
K20,stat2011:10310004,statistical_area,stat2011:10310004,2011,10310004,4,loc:1031,1031,שדרות,6,6,3547,2054,2031,23,מחל,841,438,403,0.414082,120,16,0,0,0,3,169,1,0,0,0,122,438,841,12,0,0,0,0,78,1,4,27,38,3,158
