election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
K21,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,333,237,235,2,מחל,124,73,51,0.52766,4,3,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0,124,1,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
K21,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,4,4,2347,1848,1847,1,פה,786,464,322,0.425555,173,4,0,2,39,0,0,0,1,16,1,1,0,0,73,0,25,464,113,57,2,0,0,61,0,0,0,786,0,0,0,0,0,0,0,0,0,3,0,1,0,0,25
K21,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4870,3520,3507,13,מחל,1356,876,480,0.386655,215,38,1,6,78,0,0,0,1,241,0,3,0,0,140,0,16,1356,193,132,0,0,1,78,0,0,1,876,1,0,0,0,0,0,0,0,0,5,1,1,0,0,123
K21,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,6,6,3305,2551,2543,8,פה,1076,646,430,0.423122,231,7,0,4,37,0,0,0,1,23,4,0,0,0,87,0,22,646,215,92,1,0,2,60,0,0,0,1076,0,0,0,0,0,0,0,0,1,3,0,0,0,0,31
K21,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2092,1340,1339,1,פה,560,296,264,0.418223,143,4,2,3,22,0,0,0,0,19,1,0,0,0,41,0,6,296,150,37,0,0,0,32,1,0,0,560,1,0,0,0,0,2,0,0,1,1,4,1,0,0,12
K21,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,5,5,3449,2563,2558,5,מחל,1112,635,477,0.434715,141,19,0,2,66,1,0,0,0,65,1,0,0,0,120,1,20,1112,94,58,0,0,0,67,0,0,0,635,0,0,0,0,0,0,0,0,0,2,0,0,0,0,154
K21,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,4,4,2808,2061,2052,9,מחל,1066,376,690,0.519493,97,9,0,6,57,0,0,0,0,45,0,1,0,0,96,0,21,1066,66,63,0,0,0,32,2,0,1,376,0,0,0,0,0,1,0,0,0,1,0,0,0,0,112
K21,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,4,4,2554,1877,1869,8,מחל,928,372,556,0.496522,40,10,0,0,69,0,0,0,2,26,0,0,0,0,138,0,66,928,16,47,0,0,0,38,4,0,0,372,0,0,0,0,0,1,0,0,0,3,0,0,0,0,109
K21,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,2973,1567,1550,17,מחל,990,119,871,0.63871,12,9,0,2,48,0,0,0,2,29,0,0,1,0,59,0,118,990,15,17,1,0,0,11,0,0,0,111,0,0,0,0,0,0,1,0,0,4,1,0,0,0,119
K21,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,6,6,3973,2536,2520,16,מחל,1351,469,882,0.536111,34,65,0,1,54,0,0,0,1,58,0,0,0,1,117,0,103,1351,12,52,1,0,0,27,2,0,0,164,0,0,1,0,1,1,0,0,0,4,1,0,0,0,469
K21,stat2011:10200004,statistical_area,stat2011:10200004,2011,10200004,4,loc:1020,1020,אור עקיבא,3,3,1737,1093,1083,10,מחל,602,157,445,0.555863,16,13,0,1,60,0,0,0,0,6,0,0,0,0,50,0,122,602,6,10,0,0,2,13,2,0,0,157,0,0,0,0,1,0,0,0,0,0,0,1,0,0,21
K21,stat2011:10200005,statistical_area,stat2011:10200005,2011,10200005,5,loc:1020,1020,אור עקיבא,7,7,4283,2700,2679,21,מחל,1236,482,754,0.461366,41,22,0,0,108,1,0,0,1,34,0,0,0,0,135,0,482,1236,17,64,2,0,0,25,3,0,0,417,0,0,0,0,0,2,0,0,0,2,1,2,0,0,84
K21,stat2011:1020001,statistical_area,stat2011:1020001,2011,1020001,1,loc:102,102,מאיר שפיה,1,1,106,54,54,0,פה,19,15,4,0.351852,4,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,15,2,1,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,stat2011:10240001,statistical_area,stat2011:10240001,2011,10240001,1,loc:1024,1024,חרוצים,1,1,584,442,439,3,פה,180,131,49,0.410023,27,3,1,0,9,0,0,0,3,1,0,0,0,0,13,0,1,131,26,10,0,0,0,19,0,0,0,180,0,0,0,1,0,1,0,0,0,2,0,0,0,0,11
K21,stat2011:1030001,statistical_area,stat2011:1030001,2011,1030001,1,loc:103,103,תל עדשים,2,2,838,674,672,2,פה,360,129,231,0.535714,68,2,0,1,21,0,0,0,1,7,0,0,0,0,16,0,1,129,18,27,0,0,0,21,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,stat2011:10310002,statistical_area,stat2011:10310002,2011,10310002,2,loc:1031,1031,שדרות,5,5,3183,1965,1939,26,מחל,799,196,603,0.412068,83,31,2,0,62,1,0,0,3,196,0,0,0,0,97,0,171,799,18,42,1,0,7,42,4,2,0,184,0,0,0,0,0,0,0,0,0,3,0,1,1,0,189
K21,stat2011:10310003,statistical_area,stat2011:10310003,2011,10310003,3,loc:1031,1031,שדרות,5,5,2912,1593,1554,39,מחל,639,201,438,0.411197,56,10,2,1,65,0,0,0,0,101,1,0,0,0,61,0,201,639,5,36,0,0,1,36,2,0,0,178,0,0,0,0,0,1,0,0,0,1,0,0,1,0,156
K21,stat2011:10310004,statistical_area,stat2011:10310004,2011,10310004,4,loc:1031,1031,שדרות,7,7,4288,2625,2580,45,מחל,1174,422,752,0.455039,53,18,2,1,135,0,0,0,3,98,0,1,0,0,89,0,422,1174,19,45,0,0,0,40,5,0,0,272,0,0,0,0,1,4,0,0,0,3,0,0,1,2,192
K21,stat2011:10310005,statistical_area,stat2011:10310005,2011,10310005,5,loc:1031,1031,שדרות,4,4,2821,1947,1938,9,מחל,850,295,555,0.438596,75,19,0,4,82,1,0,0,2,295,0,0,0,0,75,0,64,850,42,52,0,0,3,38,2,0,0,148,0,0,0,0,0,0,1,0,0,1,0,0,0,0,184
K21,stat2011:10310006,statistical_area,stat2011:10310006,2011,10310006,6,loc:1031,1031,שדרות,6,6,4473,3360,3345,15,מחל,1456,558,898,0.435277,101,49,1,0,136,1,0,0,4,558,0,0,0,0,150,0,144,1456,17,155,2,0,4,89,2,0,0,273,2,0,0,0,0,0,0,0,0,4,1,0,0,0,196
