election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,332,245,245,0,שס,104,93,11,0.42449,1,4,0,1,0,0,20,11,0,0,0,0,0,0,0,4,0,93,1,0,0,0,6,0,0,0,0,0,0,0,0,104
K22,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,4,4,2376,1802,1798,4,פה,797,461,336,0.44327,152,7,2,0,0,0,4,77,0,1,0,0,0,0,0,27,89,461,153,0,1,0,797,0,0,0,0,1,0,0,0,26
K22,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4866,3488,3473,15,מחל,1307,870,437,0.376332,241,32,7,0,1,0,5,308,0,1,1,0,2,0,0,121,102,1307,269,0,0,0,870,0,0,0,1,1,0,2,1,201
K22,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,5,5,3293,2418,2415,3,פה,990,599,391,0.409938,202,5,9,0,0,0,7,119,0,0,0,0,0,0,0,31,99,599,302,0,0,0,990,1,0,0,0,0,0,0,0,51
K22,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2110,1324,1319,5,פה,547,265,282,0.414708,149,3,6,0,0,0,0,62,0,1,0,0,0,0,0,11,56,265,186,0,0,0,547,2,3,0,0,0,0,2,0,26
K22,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,5,5,3471,2531,2524,7,מחל,1036,621,415,0.41046,155,28,3,0,0,0,6,109,0,1,0,0,0,0,0,79,95,1036,136,0,0,0,621,0,0,0,0,0,1,0,0,254
K22,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,4,4,2798,2019,2010,9,מחל,995,370,625,0.495025,119,13,6,1,1,0,5,104,0,0,0,0,0,0,0,51,79,995,88,0,0,0,370,1,0,0,0,0,0,2,0,175
K22,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,4,4,2597,1928,1919,9,מחל,967,420,547,0.503908,57,15,2,1,0,0,1,87,0,0,1,0,0,0,0,41,155,967,18,0,0,0,420,0,0,0,0,0,0,1,0,153
K22,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,2961,1551,1541,10,מחל,989,173,816,0.641791,27,12,6,0,0,0,0,33,0,2,0,0,0,0,0,29,146,989,2,1,1,0,116,1,0,0,0,1,1,0,1,173
K22,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,6,6,4032,2628,2610,18,מחל,1410,557,853,0.54023,68,66,2,0,0,0,1,92,0,3,0,0,1,0,0,77,132,1410,9,0,0,0,190,0,0,0,0,1,0,1,0,557
