election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
K23,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,331,252,252,0,מחל,136,94,42,0.539683,2,3,0,0,0,0,10,0,0,0,0,0,0,0,0,1,136,0,0,0,1,0,5,0,0,0,0,0,0,94
K23,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,4,4,2389,1820,1818,2,פה,847,564,283,0.465897,238,6,8,2,0,0,53,0,0,0,0,1,1,0,0,61,564,0,0,0,4,0,847,0,0,0,0,0,0,33
K23,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4905,3499,3492,7,מחל,1512,1017,495,0.43299,305,42,25,2,0,0,268,0,0,0,0,0,1,0,0,80,1512,0,0,0,33,0,1017,0,0,0,0,0,2,205
K23,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,5,5,3297,2402,2398,4,פה,1118,691,427,0.466222,340,6,16,3,0,0,94,0,0,0,0,0,0,0,0,65,691,2,0,0,8,0,1118,0,0,0,0,0,0,55
K23,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2079,1296,1294,2,פה,605,315,290,0.467543,241,5,17,2,0,0,45,0,1,0,0,0,0,0,1,27,315,0,1,0,4,0,605,0,0,0,1,0,1,28
K23,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,5,5,3481,2567,2560,7,מחל,1190,681,509,0.464844,212,21,6,0,0,0,101,0,0,0,0,0,0,0,0,70,1190,0,0,0,18,0,681,0,0,0,0,0,0,261
K23,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,4,4,2793,2005,1997,8,מחל,1140,404,736,0.570856,123,10,9,4,0,0,72,0,1,0,0,0,0,0,0,42,1140,2,0,0,11,0,404,1,0,3,0,0,0,175
K23,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,4,4,2741,2067,2059,8,מחל,1112,472,640,0.540068,51,17,1,0,0,0,94,0,0,1,0,0,1,0,1,141,1112,0,0,0,8,0,472,0,0,1,0,0,0,159
K23,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,2936,1658,1642,16,מחל,1118,190,928,0.680877,17,9,8,3,1,0,28,0,0,0,0,0,0,0,1,143,1118,1,0,0,7,0,115,0,0,0,0,0,1,190
K23,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,6,6,4098,2719,2708,11,מחל,1547,575,972,0.57127,54,66,0,2,0,0,95,0,0,0,0,0,1,0,1,150,1547,1,0,1,11,0,202,0,0,1,1,0,0,575
K23,stat2011:10200004,statistical_area,stat2011:10200004,2011,10200004,4,loc:1020,1020,אור עקיבא,4,4,2455,1575,1562,13,מחל,935,236,699,0.598592,32,14,0,1,0,0,40,0,0,0,0,1,0,0,0,195,935,0,0,0,8,0,236,0,0,0,0,0,1,99
K23,stat2011:10200005,statistical_area,stat2011:10200005,2011,10200005,5,loc:1020,1020,אור עקיבא,6,6,3719,2281,2266,15,מחל,1081,522,559,0.477052,41,31,3,1,0,0,65,1,0,0,0,0,0,1,0,522,1081,5,0,0,19,0,393,0,0,0,0,1,3,99
K23,stat2011:1020001,statistical_area,stat2011:1020001,2011,1020001,1,loc:102,102,מאיר שפיה,1,1,112,54,52,2,פה,24,17,7,0.461538,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,0,0,0,0,0,24,0,0,0,0,0,0,0
K23,stat2011:10240001,statistical_area,stat2011:10240001,2011,10240001,1,loc:1024,1024,חרוצים,1,1,565,437,434,3,פה,209,138,71,0.481567,44,3,2,0,0,0,12,0,0,0,0,0,0,0,0,6,138,0,0,0,1,1,209,1,0,0,0,0,0,17
