election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת
K24,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,332,227,227,0,מחל,106,85,21,0.46696,0,4,7,0,0,0,12,0,4,0,0,0,0,0,0,0,0,106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7
K24,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,3,3,1726,1303,1303,0,פה,306,269,37,0.234843,131,86,3,2,1,0,21,0,8,0,0,2,0,0,0,178,43,269,134,0,0,0,0,306,0,0,0,0,0,0,0,0,0,4,0,0,0,24,91
K24,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,9,9,5659,3934,3929,5,מחל,1310,525,785,0.333418,279,250,29,9,0,1,291,1,38,0,0,0,0,1,1,361,104,1310,312,0,0,0,1,525,1,0,0,0,0,0,1,0,0,5,5,0,0,196,208
K24,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,6,6,3298,2325,2321,4,פה,523,508,15,0.225334,231,131,5,7,0,0,48,0,19,0,0,0,1,0,3,313,69,508,274,0,0,0,0,523,0,0,0,0,0,0,1,0,0,2,0,0,0,45,141
K24,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2129,1338,1335,3,פה,268,243,25,0.200749,161,60,0,4,0,0,34,1,10,0,0,0,0,0,1,195,43,243,226,0,0,0,0,268,0,0,0,0,0,0,0,0,1,1,1,0,0,26,60
K24,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,3,3,1383,1047,1045,2,מחל,243,241,2,0.232536,97,64,3,1,0,0,23,0,8,0,0,0,0,0,0,111,28,243,125,0,0,0,0,241,0,0,0,0,0,0,0,0,0,5,1,0,0,22,73
K24,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,9,9,4963,3409,3398,11,מחל,1682,346,1336,0.494997,157,185,10,5,0,0,192,2,19,0,0,1,0,1,0,181,48,1682,121,1,0,0,1,283,0,0,0,0,0,0,0,1,0,9,1,0,0,346,152
K24,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,5,5,2990,2107,2101,6,מחל,992,247,745,0.472156,77,180,10,0,0,0,80,0,22,0,0,0,0,0,0,74,101,992,31,0,0,0,0,247,0,1,0,0,0,0,0,0,0,6,0,0,0,149,131
K24,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,4,4,2247,1091,1080,11,מחל,652,116,536,0.603704,7,50,6,1,0,0,53,0,6,0,0,0,0,0,1,16,90,652,5,1,2,0,1,37,0,0,0,0,0,0,0,0,1,8,0,0,0,116,27
K24,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,10,10,4798,2772,2761,11,מחל,1443,523,920,0.522637,34,143,53,0,0,0,136,1,27,0,0,0,0,0,1,65,120,1443,12,0,1,0,0,116,0,0,0,0,0,0,2,0,0,6,0,0,0,523,78
K24,stat2011:10200004,statistical_area,stat2011:10200004,2011,10200004,4,loc:1020,1020,אור עקיבא,3,3,1762,1072,1066,6,מחל,505,144,361,0.473734,22,81,5,0,0,0,21,1,8,0,0,0,0,0,0,37,144,505,7,0,0,0,0,111,1,0,0,0,0,1,0,0,0,4,0,0,0,44,74
K24,stat2011:10200005,statistical_area,stat2011:10200005,2011,10200005,5,loc:1020,1020,אור עקיבא,8,8,4491,2630,2613,17,מחל,1063,427,636,0.406812,54,189,19,0,1,1,64,1,34,0,0,0,0,1,2,92,427,1063,36,0,4,0,0,318,0,2,0,0,0,0,0,0,0,15,1,1,0,109,179
K24,stat2011:1020001,statistical_area,stat2011:1020001,2011,1020001,1,loc:102,102,מאיר שפיה,1,1,115,58,56,2,מחל,11,10,1,0.196429,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,11,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
K24,stat2011:10240001,statistical_area,stat2011:10240001,2011,10240001,1,loc:1024,1024,חרוצים,1,1,572,427,427,0,מחל,113,95,18,0.264637,43,17,1,0,0,1,1,0,8,0,0,0,0,0,0,55,7,113,43,0,0,0,0,95,0,1,0,0,0,0,0,0,0,2,0,0,0,13,27
K24,stat2011:1030001,statistical_area,stat2011:1030001,2011,1030001,1,loc:103,103,תל עדשים,2,2,863,684,679,5,פה,191,124,67,0.281296,74,52,2,2,0,0,14,0,2,0,0,0,0,0,0,99,23,124,36,1,0,0,0,191,0,0,0,0,0,0,0,0,0,3,0,0,0,3,53
K24,stat2011:10310002,statistical_area,stat2011:10310002,2011,10310002,2,loc:1031,1031,שדרות,7,7,3210,1734,1724,10,מחל,719,245,474,0.417053,38,204,35,3,1,0,189,1,12,0,0,2,0,0,1,63,81,719,11,3,0,0,3,67,0,0,0,0,0,0,0,0,1,3,0,0,0,245,42
K24,stat2011:10310003,statistical_area,stat2011:10310003,2011,10310003,3,loc:1031,1031,שדרות,6,6,3465,1840,1821,19,מחל,762,215,547,0.418451,48,215,10,2,0,0,103,0,6,0,0,1,0,0,2,72,203,762,22,0,0,0,1,78,3,0,0,0,0,0,0,0,0,12,0,0,0,201,80
K24,stat2011:10310004,statistical_area,stat2011:10310004,2011,10310004,4,loc:1031,1031,שדרות,7,7,3966,2215,2186,29,מחל,920,257,663,0.42086,30,257,12,2,0,0,128,2,20,0,0,3,0,1,2,64,242,920,22,4,0,0,0,118,0,1,0,0,0,0,0,1,1,19,0,1,0,255,81
