election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
K25,stat2011:100001,statistical_area,stat2011:100001,2011,100001,1,loc:10,10,תירוש,1,1,336,268,268,0,מחל,108,103,5,0.402985,0,0,3,9,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,108,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,103,0
K25,stat2011:10150001,statistical_area,stat2011:10150001,2011,10150001,1,loc:1015,1015,מבשרת ציון,4,4,2400,1810,1804,6,פה,570,416,154,0.315965,122,11,13,10,0,3,0,0,0,0,118,0,6,0,0,3,297,0,54,416,134,0,0,0,0,0,0,3,570,1,4,0,0,0,1,0,5,0,33,0
K25,stat2011:10150002,statistical_area,stat2011:10150002,2011,10150002,2,loc:1015,1015,מבשרת ציון,8,8,4982,3520,3510,10,מחל,1254,586,668,0.357265,172,10,44,32,3,10,0,1,0,0,551,0,8,0,0,1,339,0,71,1254,189,0,1,0,0,0,0,0,586,1,4,1,0,0,0,0,14,0,218,0
K25,stat2011:10150003,statistical_area,stat2011:10150003,2011,10150003,3,loc:1015,1015,מבשרת ציון,5,5,3268,2353,2345,8,פה,716,548,168,0.30533,167,7,31,7,0,7,0,0,0,0,142,1,5,0,0,0,366,0,61,548,227,0,0,0,0,0,0,3,716,0,0,0,0,0,0,0,5,0,52,0
K25,stat2011:10150004,statistical_area,stat2011:10150004,2011,10150004,4,loc:1015,1015,מבשרת ציון,4,4,2181,1348,1345,3,פה,409,287,122,0.304089,120,2,14,3,1,5,0,0,0,0,72,0,1,0,0,0,167,0,41,287,187,0,0,0,0,1,1,4,409,0,1,0,0,0,0,0,2,0,27,0
K25,stat2011:10150005,statistical_area,stat2011:10150005,2011,10150005,5,loc:1015,1015,מבשרת ציון,7,7,4228,3110,3101,9,מחל,1198,555,643,0.386327,121,5,21,18,1,12,0,0,0,0,372,1,5,0,0,0,355,0,62,1198,155,0,0,0,0,1,0,3,555,0,5,0,1,0,0,0,10,0,199,1
K25,stat2011:10150006,statistical_area,stat2011:10150006,2011,10150006,6,loc:1015,1015,מבשרת ציון,5,5,2696,1950,1946,4,מחל,850,332,518,0.436793,38,6,16,9,0,1,0,0,0,0,332,1,4,0,0,0,173,0,47,850,33,0,0,0,0,0,0,0,169,0,0,1,0,0,0,1,8,0,257,0
K25,stat2011:10200001,statistical_area,stat2011:10200001,2011,10200001,1,loc:1020,1020,אור עקיבא,5,5,3153,2342,2329,13,מחל,1121,338,783,0.481322,42,10,29,6,3,3,0,0,0,0,259,0,4,0,0,1,187,0,98,1121,17,0,0,0,0,0,0,1,338,0,5,1,0,0,0,0,4,3,197,0
K25,stat2011:10200002,statistical_area,stat2011:10200002,2011,10200002,2,loc:1020,1020,אור עקיבא,5,5,2760,1491,1471,20,מחל,868,202,666,0.590075,7,3,4,11,1,1,0,0,1,0,202,0,3,0,0,0,48,1,80,868,3,0,0,0,0,0,0,0,67,0,1,0,0,0,0,0,2,0,168,0
K25,stat2011:10200003,statistical_area,stat2011:10200003,2011,10200003,3,loc:1020,1020,אור עקיבא,8,8,3952,2577,2566,11,מחל,1273,564,709,0.496103,17,6,28,47,2,0,0,0,0,0,345,0,5,0,0,0,92,1,73,1273,6,0,0,0,1,0,0,0,101,0,3,0,0,0,0,0,0,0,564,2
K25,stat2011:10200004,statistical_area,stat2011:10200004,2011,10200004,4,loc:1020,1020,אור עקיבא,3,3,1750,1075,1064,11,מחל,517,131,386,0.485902,10,4,7,6,0,2,0,0,0,0,131,0,5,0,0,0,61,0,121,517,6,0,0,0,1,0,0,0,130,0,4,0,0,0,0,3,1,2,52,1
