source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס,unresolved_reason
K18:9,K18,9,473,אבו סנאן,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,663,383,376,7,34,0,0,1,48,0,139,0,0,0,0,0,0,31,7,20,1,0,0,0,0,89,0,0,0,0,0,0,0,0,0,1,0,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:10,K18,10,473,אבו סנאן,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,625,364,357,7,20,0,0,0,65,0,141,0,0,2,1,0,0,8,10,7,2,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,10,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:11,K18,11,473,אבו סנאן,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,715,424,414,10,27,0,0,2,80,1,203,3,0,0,0,0,0,39,7,19,1,0,0,0,0,23,0,0,0,0,0,1,2,0,0,0,1,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:12,K18,12,473,אבו סנאן,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,673,421,406,15,5,0,0,0,36,0,229,0,0,0,0,0,0,19,1,14,0,0,0,0,0,77,0,0,0,1,0,0,0,0,1,0,0,23,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:13,K18,13,473,אבו סנאן,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,643,415,411,4,50,0,1,0,7,0,139,2,0,1,0,0,0,43,7,51,35,0,0,0,0,25,0,0,0,0,1,1,2,1,0,0,0,45,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:14,K18,14,473,אבו סנאן,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,652,434,414,20,6,0,0,0,47,0,217,0,0,1,0,0,0,4,4,8,2,0,1,1,1,120,0,0,0,1,1,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:15,K18,15,473,אבו סנאן,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,565,278,274,4,2,1,0,0,57,0,95,0,0,0,0,0,0,9,1,2,0,0,0,0,0,106,0,0,0,0,0,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:16,K18,16,473,אבו סנאן,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,677,353,349,4,92,0,0,0,7,0,79,0,0,0,0,0,0,22,81,24,4,0,0,1,0,22,0,0,0,0,0,0,1,1,0,0,1,14,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:17,K18,17,473,אבו סנאן,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,613,350,335,15,5,0,0,0,32,0,150,0,0,1,1,0,0,8,1,4,5,0,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:18,K18,18,473,אבו סנאן,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,601,360,355,5,26,0,0,0,36,0,108,0,0,0,0,0,0,31,12,56,4,0,0,0,0,75,0,0,0,2,0,0,0,0,0,0,0,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
