source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס,address_match_status,address_query,unresolved_reason
K19:9,K19,9,473,אבו סנאן,1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,631,366,362,4,9,1,41,0,0,0,112,0,0,0,3,1,2,6,6,1,0,0,0,142,0,1,0,0,0,0,1,1,11,0,0,1,0,23,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:10,K19,10,473,אבו סנאן,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,620,388,380,8,4,0,55,0,0,0,146,0,0,0,1,0,2,3,5,1,0,0,1,147,0,2,0,0,0,0,0,3,5,0,1,0,1,3,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:11,K19,11,473,אבו סנאן,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,632,401,396,5,20,0,53,0,0,0,102,0,0,1,0,0,7,57,0,0,0,0,0,89,0,15,0,0,0,0,0,0,32,0,0,0,0,20,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:12,K19,12,473,אבו סנאן,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,609,360,356,4,12,1,35,0,1,0,179,0,0,0,0,0,15,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,43,0,2,0,0,19,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:13,K19,13,473,אבו סנאן,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,723,424,421,3,17,0,41,0,1,0,170,0,0,0,1,0,17,14,1,0,0,0,0,100,1,0,0,0,0,0,0,0,33,0,2,0,0,23,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:14,K19,14,473,אבו סנאן,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,622,397,391,6,11,0,6,0,0,0,186,1,0,0,1,0,24,5,2,1,0,1,0,78,0,5,0,0,0,0,0,0,29,0,0,1,0,40,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:15,K19,15,473,אבו סנאן,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,624,408,397,11,10,0,5,1,1,0,160,0,0,0,1,0,32,10,2,0,0,0,0,76,0,3,0,0,0,0,1,1,42,0,1,2,0,49,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:16,K19,16,473,אבו סנאן,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,654,452,452,0,7,0,75,0,0,0,194,0,0,1,0,0,1,2,6,0,0,0,0,150,0,0,0,1,0,0,0,2,5,0,0,0,1,7,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:17,K19,17,473,אבו סנאן,9,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,710,380,374,6,14,0,21,0,0,0,97,0,0,1,0,0,34,12,1,0,0,1,0,149,0,2,0,0,0,0,0,0,17,0,1,0,1,23,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:18,K19,18,473,אבו סנאן,10,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,644,356,352,4,20,0,12,0,1,0,70,2,0,1,1,0,31,31,0,0,0,0,0,108,1,5,2,1,0,0,0,0,11,2,3,2,1,47,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
