source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,address_match_status,address_query,unresolved_reason
K20:10,K20,10,473,אבו סנאן,1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,676,493,488,5,25,0,412,0,0,0,0,0,0,0,0,9,17,1,4,0,0,0,6,1,0,0,1,0,1,11,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:11,K20,11,473,אבו סנאן,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,644,473,466,7,15,0,427,0,0,0,0,0,0,0,0,3,3,2,3,0,0,0,8,1,0,0,1,0,0,3,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:12,K20,12,473,אבו סנאן,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,661,469,462,7,21,0,262,0,0,0,0,0,0,0,0,18,99,37,6,0,0,0,5,1,0,0,1,1,0,11,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:13,K20,13,473,אבו סנאן,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,637,417,412,5,14,0,301,0,0,0,0,0,0,0,0,15,49,12,6,0,0,0,0,8,0,1,0,1,0,5,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:14,K20,14,473,אבו סנאן,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,764,537,532,5,27,0,398,0,0,0,1,0,0,0,0,7,50,26,9,0,0,0,4,2,0,0,2,0,0,6,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:15,K20,15,473,אבו סנאן,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,661,500,498,2,27,0,311,0,0,0,0,1,0,0,0,7,56,50,3,1,0,0,0,4,0,0,0,2,0,36,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:16,K20,16,473,אבו סנאן,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,661,491,488,3,19,0,280,0,0,0,0,0,0,0,0,10,85,46,4,0,0,0,2,4,0,0,1,2,0,35,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:17,K20,17,473,אבו סנאן,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,697,477,469,8,4,0,391,0,0,0,2,0,0,0,6,1,9,8,15,0,1,1,6,2,1,3,1,2,0,16,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:18,K20,18,473,אבו סנאן,9,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,791,519,518,1,25,1,361,0,0,0,0,0,0,0,0,29,56,19,8,2,0,0,0,2,0,1,1,0,0,13,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:19,K20,19,473,אבו סנאן,10,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,670,436,433,3,31,1,237,0,0,0,1,0,0,0,0,19,93,17,3,0,0,0,6,4,0,0,0,0,0,21,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:20,K20,20,473,אבו סנאן,11,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,744,500,495,5,65,0,171,0,0,0,4,0,0,0,0,9,185,19,2,0,0,0,0,8,0,0,3,2,0,27,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:21,K20,21,473,אבו סנאן,12,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,757,486,485,1,26,1,251,0,0,0,2,0,0,0,0,31,97,18,3,0,0,1,10,4,0,0,0,11,1,29,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:81,K20,81,2710,אום אל-פחם,1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,516,267,266,1,0,1,263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:82,K20,82,2710,אום אל-פחם,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,692,461,457,4,0,0,440,0,0,0,0,1,0,0,0,0,0,1,12,1,0,1,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:83,K20,83,2710,אום אל-פחם,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,579,443,441,2,1,5,430,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:84,K20,84,2710,אום אל-פחם,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,653,433,426,7,2,0,412,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:85,K20,85,2710,אום אל-פחם,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,597,355,354,1,1,0,345,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:86,K20,86,2710,אום אל-פחם,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,545,376,376,0,0,0,364,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,4,0,0,0,0,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:87,K20,87,2710,אום אל-פחם,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,512,256,256,0,1,0,251,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:88,K20,88,2710,אום אל-פחם,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,534,349,346,3,2,2,335,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
