source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,unresolved_reason
K21:142,K21,142,2710,אום אל-פחם,56,no_direct_historical_assignment,statistical_area_pending,,,,,,,2710,אום אל-פחם,,historical_stat_area_pending,automatic_code_match,574,235,235,0,1,0,13,210,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:499,K21,499,529,אעבלין,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,704,373,370,3,4,1,45,233,1,0,0,0,0,0,0,0,1,0,4,0,10,5,40,0,0,0,0,0,0,1,0,19,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:500,K21,500,529,אעבלין,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,762,353,352,1,8,0,25,183,0,0,0,0,0,0,0,0,1,3,3,0,6,6,58,0,1,0,0,0,0,1,0,30,0,1,0,0,1,1,0,0,0,0,0,1,1,2,20,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:501,K21,501,529,אעבלין,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,779,406,383,23,7,0,38,201,0,0,0,0,0,0,0,1,0,0,6,0,6,7,62,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,1,0,1,1,0,24,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:502,K21,502,529,אעבלין,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,776,421,408,13,12,1,56,264,0,0,0,0,0,1,0,0,0,0,2,0,2,1,31,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,1,0,10,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:503,K21,503,529,אעבלין,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,729,369,367,2,9,1,52,224,0,0,0,0,0,0,0,0,1,0,10,0,4,4,26,1,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:504,K21,504,529,אעבלין,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,779,396,389,7,6,0,47,225,0,0,0,0,0,0,0,0,0,0,3,1,1,5,40,1,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,1,1,1,1,16,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:505,K21,505,529,אעבלין,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,741,352,347,5,1,0,51,201,0,0,0,0,0,1,0,0,0,0,0,1,2,6,16,0,0,0,0,0,0,1,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,50,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:506,K21,506,529,אעבלין,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,760,360,358,2,5,0,49,250,0,0,0,0,0,0,0,0,0,0,3,0,2,5,20,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:507,K21,507,529,אעבלין,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,668,319,318,1,10,0,60,166,0,1,0,0,0,0,0,0,0,0,6,0,2,4,38,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
