source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס,unresolved_reason
K22:12,K22,12,473,אבו סנאן,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,730,465,464,1,2,0,395,0,0,0,2,2,1,0,0,0,0,0,5,0,8,11,8,0,1,0,22,0,0,1,0,1,0,1,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:13,K22,13,473,אבו סנאן,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,683,458,452,6,4,0,403,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,5,0,1,0,16,0,0,0,0,1,1,0,0,12,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:14,K22,14,473,אבו סנאן,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,736,438,435,3,9,1,257,0,0,0,0,0,0,0,1,0,0,0,2,0,46,27,4,0,0,0,83,0,1,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:15,K22,15,473,אבו סנאן,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,684,403,399,4,3,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,3,0,1,0,37,0,0,0,0,0,0,1,1,13,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:16,K22,16,473,אבו סנאן,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,758,454,451,3,10,0,350,0,0,0,0,1,0,0,0,0,0,0,0,1,18,7,1,0,0,0,50,0,0,0,0,0,0,0,0,13,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:17,K22,17,473,אבו סנאן,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,733,499,495,4,5,0,334,0,0,0,0,0,0,0,1,0,0,0,0,0,28,34,4,1,0,0,59,0,1,0,0,0,0,0,0,28,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:18,K22,18,473,אבו סנאן,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,725,460,459,1,9,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,5,0,0,0,72,0,0,0,0,0,1,0,1,34,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:19,K22,19,473,אבו סנאן,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,737,440,431,9,4,0,328,0,0,0,0,1,0,0,0,0,1,0,7,0,15,11,1,0,0,0,25,0,0,0,0,0,1,0,1,36,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:20,K22,20,473,אבו סנאן,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,694,394,392,2,7,0,278,0,0,0,0,0,1,0,0,0,0,0,3,2,18,13,3,0,0,0,48,0,0,1,0,1,0,0,0,17,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:21,K22,21,473,אבו סנאן,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,473,אבו סנאן,,historical_stat_area_pending,automatic_code_match,755,423,415,8,11,0,292,0,0,0,0,0,0,0,0,1,1,0,1,0,17,15,4,0,0,0,63,0,0,0,0,0,1,1,0,8,no official ballot crosswalk row and locality is not uniquely one historical statistical area
