source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,unresolved_reason
K24:334,K24,334,70,אשדוד,990.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,70,אשדוד,,historical_stat_area_pending,automatic_code_match,449,111,110,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,6,15,55,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,17,3,Central ballot 990 serves locality-registered voters without a supported area-level allocation; this multi-area locality cannot be reduced to one statistical area
K24:335,K24,335,70,אשדוד,990.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,70,אשדוד,,historical_stat_area_pending,automatic_code_match,448,123,121,2,3,4,1,0,1,0,4,0,2,0,0,0,0,0,1,4,39,33,4,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,5,4,Central ballot 990 serves locality-registered voters without a supported area-level allocation; this multi-area locality cannot be reduced to one statistical area
K24:642,K24,642,1411,מחנה הילה,1,special_non_geographic,special_non_geographic,special:envelope_votes,,,,,,,special:envelope_votes,special:envelope_votes,special_non_geographic,reviewed_crosswalk,126,102,102,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Non-geographic row is counted but not mapped
K24:643,K24,643,1413,מחנה יהודית,1,special_non_geographic,special_non_geographic,special:envelope_votes,,,,,,,special:envelope_votes,special:envelope_votes,special_non_geographic,reviewed_crosswalk,132,105,104,1,7,14,0,0,0,0,1,0,1,0,0,0,0,0,0,12,6,22,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Non-geographic row is counted but not mapped
K24:644,K24,644,1415,מחנה יפה,1,special_non_geographic,special_non_geographic,special:envelope_votes,,,,,,,special:envelope_votes,special:envelope_votes,special_non_geographic,reviewed_crosswalk,230,148,148,0,18,15,0,0,0,0,5,0,2,0,0,0,0,0,0,16,2,32,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,Non-geographic row is counted but not mapped
K24:645,K24,645,1414,מחנה מרים,1,special_non_geographic,special_non_geographic,special:envelope_votes,,,,,,,special:envelope_votes,special:envelope_votes,special_non_geographic,reviewed_crosswalk,107,68,68,0,11,8,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,8,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Non-geographic row is counted but not mapped
K24:863,K24,863,478,אכסאל,7.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,535,243,241,2,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,0,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:864,K24,864,478,אכסאל,7.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,535,245,245,0,0,0,0,135,0,0,0,0,1,0,0,0,0,0,1,1,0,13,7,0,0,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:865,K24,865,478,אכסאל,7.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,535,218,217,1,0,0,0,132,0,0,0,0,1,1,0,0,0,0,0,2,0,8,8,0,0,0,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:866,K24,866,478,אכסאל,7.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,535,233,230,3,0,0,0,125,0,0,0,1,2,0,0,0,0,0,0,0,0,9,2,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
