source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,address_match_status,address_query,unresolved_reason
K25:14,K25,14,473,אבו סנאן,1.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,397,263,260,3,2,0,0,0,54,114,0,0,1,0,0,0,0,0,0,0,6,0,1,12,2,0,0,0,0,0,0,65,0,0,0,1,0,1,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:15,K25,15,473,אבו סנאן,1.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,396,203,197,6,0,0,1,0,27,86,0,0,0,0,0,1,0,0,0,0,8,0,11,3,2,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,2,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:16,K25,16,473,אבו סנאן,5.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,511,285,284,1,3,0,1,0,42,151,0,0,0,0,0,0,0,0,1,0,39,0,15,14,6,0,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:17,K25,17,473,אבו סנאן,5.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,511,265,259,6,3,0,0,0,46,111,0,0,0,0,0,0,0,3,0,0,4,0,5,3,4,0,0,0,1,0,0,71,8,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:18,K25,18,473,אבו סנאן,5.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,510,280,274,6,1,0,0,0,43,117,0,0,0,0,0,0,0,0,0,0,17,0,12,21,2,0,0,0,1,0,0,57,1,0,0,0,0,1,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:19,K25,19,473,אבו סנאן,8.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,524,327,322,5,2,0,0,0,23,206,0,0,0,0,0,0,0,0,0,0,7,0,12,22,2,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:20,K25,20,473,אבו סנאן,8.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,524,283,281,2,1,0,0,0,13,119,0,0,0,0,2,1,0,0,0,0,39,0,22,32,2,0,0,0,0,0,0,40,5,0,0,1,0,0,0,2,1,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:21,K25,21,473,אבו סנאן,8.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,524,310,306,4,0,0,0,0,35,132,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:22,K25,22,473,אבו סנאן,9.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,511,275,271,4,2,0,0,0,61,96,0,0,0,0,0,1,0,0,0,0,17,0,13,9,10,0,0,0,0,1,0,51,10,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:23,K25,23,473,אבו סנאן,9.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,511,277,271,6,0,0,0,0,30,88,1,0,0,0,0,0,0,0,0,0,39,0,22,31,8,0,0,0,0,1,0,40,11,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:24,K25,24,473,אבו סנאן,9.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,510,261,258,3,1,0,0,0,23,70,2,0,0,0,0,0,0,0,0,0,13,0,18,24,2,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:25,K25,25,473,אבו סנאן,11.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,505,276,274,2,1,0,0,0,65,122,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,73,1,0,0,1,0,1,0,0,0,0,1,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:26,K25,26,473,אבו סנאן,11.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,505,271,263,8,0,0,0,0,46,70,0,0,0,0,0,0,0,0,0,0,17,0,13,24,5,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:27,K25,27,473,אבו סנאן,11.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,505,228,224,4,5,0,1,0,12,56,0,0,0,0,1,0,0,0,0,1,29,0,37,35,7,1,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:28,K25,28,473,אבו סנאן,13.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,614,359,356,3,3,0,0,0,31,198,0,0,0,0,0,1,0,1,0,0,21,1,19,26,1,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:29,K25,29,473,אבו סנאן,13.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,614,318,313,5,0,0,0,0,36,81,0,0,0,0,1,0,0,0,0,0,31,1,18,17,2,0,0,0,0,1,0,114,7,0,0,0,0,0,1,0,2,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:30,K25,30,473,אבו סנאן,13.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,614,311,310,1,3,0,0,0,19,71,1,1,1,0,1,0,0,0,0,0,37,0,36,52,7,0,0,0,2,0,0,57,17,0,0,1,0,0,0,0,0,0,4,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:31,K25,31,473,אבו סנאן,13.4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,614,344,340,4,6,0,0,0,26,32,0,0,0,0,1,0,0,0,0,0,39,0,72,61,4,0,0,0,1,0,0,68,30,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:32,K25,32,473,אבו סנאן,13.5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,473,אבו סנאן,,direct_address_geocode_needed,automatic_code_match,613,322,319,3,1,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0,30,0,25,15,11,0,0,0,0,0,0,53,24,0,0,0,0,0,0,3,1,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:442,K25,442,478,אכסאל,7.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,559,305,302,3,0,0,0,6,57,151,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,80,1,0,0,0,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:443,K25,443,478,אכסאל,7.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,559,309,309,0,0,0,0,1,61,160,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
