source_row_uid,election,election_number,source_row_id,source_order,source_locality_code,source_locality_name,source_kalpi,eligible_voters,actual_voters,valid_votes,invalid_votes,is_envelope,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,locality_assignment_status,locality_geography_type,locality_geography_id,locality_result_code,locality_result_name,is_locality_mapped,custom_geography_id,is_mapped,is_geographic,final_assignment_method,final_assignment_source,assignment_evidence_class,assignment_confidence,assignment_is_synthetic_link,unresolved_reason
K17:1,K17,17,1,1,,מעטפות כפולות,1010,0,1195,1175,20,True,183,23,12,3,7,1,3,47,3,127,1,7,264,0,113,114,58,2,5,13,0,0,2,1,0,0,0,58,0,38,90,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:2,K17,17,2,2,,מעטפות כפולות,1020,0,1210,1192,18,True,159,15,14,1,8,2,7,50,5,110,7,14,286,0,108,113,67,0,8,8,4,0,3,0,0,0,1,69,1,38,94,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:3,K17,17,3,3,,מעטפות כפולות,1030,0,1169,1148,21,True,153,15,2,0,5,0,13,64,5,108,5,21,270,0,122,108,60,2,4,9,1,0,0,0,1,1,2,51,0,39,87,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:4,K17,17,4,4,,מעטפות כפולות,1040,0,1209,1190,19,True,174,13,1,0,4,0,3,63,8,104,6,6,315,0,95,123,77,1,3,13,3,1,1,0,1,0,0,64,0,46,65,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:5,K17,17,5,5,,מעטפות כפולות,1050,0,1198,1176,22,True,163,12,8,1,9,1,8,50,5,110,6,7,291,1,108,121,58,5,6,12,0,0,1,0,1,1,0,55,0,44,92,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:6,K17,17,6,6,,מעטפות כפולות,1060,0,1210,1191,19,True,145,16,1,0,1,1,13,37,7,147,6,17,257,1,113,145,60,5,1,8,2,1,1,0,0,0,0,82,0,48,76,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:7,K17,17,7,7,,מעטפות כפולות,1070,0,1176,1152,24,True,161,17,4,0,2,1,7,56,6,111,4,7,256,0,104,139,50,2,8,2,0,1,2,0,0,3,2,64,1,45,97,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:8,K17,17,8,8,,מעטפות כפולות,1080,0,1196,1182,14,True,147,36,4,1,1,1,5,80,9,108,3,13,284,0,112,106,60,1,3,6,0,1,1,1,1,1,0,54,0,47,96,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:9,K17,17,9,9,,מעטפות כפולות,1090,0,1206,1185,21,True,165,28,11,1,5,1,1,44,4,142,1,17,238,1,68,129,67,1,19,11,0,1,1,0,1,1,0,79,0,52,96,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:10,K17,17,10,10,,מעטפות כפולות,1100,0,1242,1209,33,True,158,11,4,1,7,4,12,42,6,140,6,14,269,1,116,122,60,3,11,7,1,3,2,0,1,0,0,85,0,53,70,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:11,K17,17,11,11,,מעטפות כפולות,1110,0,1187,1157,30,True,172,59,6,0,4,0,7,58,3,174,2,17,207,1,69,132,50,2,2,8,1,0,0,1,1,1,0,59,0,34,87,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:12,K17,17,12,12,,מעטפות כפולות,1120,0,1200,1176,24,True,159,33,3,0,10,1,2,68,3,146,4,19,243,0,113,123,67,1,5,6,0,1,1,0,3,0,1,55,1,36,72,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:13,K17,17,13,13,,מעטפות כפולות,1130,0,1148,1132,16,True,182,34,2,0,6,2,1,59,2,98,3,11,264,1,79,107,83,3,4,5,1,1,1,0,0,3,1,61,2,42,74,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:14,K17,17,14,14,,מעטפות כפולות,1140,0,1162,1155,7,True,152,11,0,0,3,1,4,38,3,97,3,7,290,0,86,118,86,6,13,6,0,3,0,0,0,1,0,89,0,60,78,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:15,K17,17,15,15,,מעטפות כפולות,1150,0,1191,1175,16,True,158,26,3,1,2,0,4,49,4,113,8,15,263,0,124,136,69,2,2,13,0,1,3,0,0,3,1,55,0,50,70,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:16,K17,17,16,16,,מעטפות כפולות,1160,0,1204,1175,29,True,171,43,11,0,11,0,7,46,4,112,7,8,271,0,83,130,49,3,9,8,0,0,2,0,0,4,1,59,0,48,88,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
K17:17,K17,17,17,17,,מעטפות כפולות,1170,0,1212,1195,17,True,197,6,4,1,2,1,6,35,6,115,2,7,326,0,88,123,75,2,3,10,0,2,3,1,0,2,0,55,1,41,81,official_envelope,official_envelope,special:envelope_votes,,,,,,,,official_envelope,envelope,envelope:official,,מעטפות חיצוניות,False,special:envelope_votes,False,False,official_envelope,envelope_detection,non_geographic,not_applicable,False,Non-geographic row is counted but not mapped
