geography_id,geography_type,geography_package,geometry_archive,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,display_mode,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids
composite:baqa-jatt,composite_locality,composite_localities,geographies/composite_localities.zip,composite:baqa-jatt,K17|K18,באקה-ג'ת,באקה-ג'ת,Baqa-Jatt,6000|628,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:6000|loc:628
composite:ir-carmel,composite_locality,composite_localities,geographies/composite_localities.zip,composite:ir-carmel,K17|K18,עיר כרמל,עיר כרמל,Carmel City,494|534,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:494|loc:534
composite:shaghur,composite_locality,composite_localities,geographies/composite_localities.zip,composite:shaghur,K17|K18,שגור,שגור,Shaghur,483|490|516,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:483|loc:490|loc:516
composite:shaar-shomron,composite_locality,composite_localities,geographies/composite_localities.zip,composite:shaar-shomron,K25,שער שומרון,שער שומרון,Sha'ar Shomron,3720|3778,polygon,Current composite municipality represented by the union of the two component localities in the 2022 layer.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:3720|loc:3778
composite:joined-k19-13,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-13,K19,חצבה,חצבה,HAZEVA,13|1053|1187,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,13,1,confirmed,exact_eligible_arithmetic,עין חצבה|עיר אובות,EN HAZEVA|IR OVOT,loc:13|loc:1053|loc:1187
composite:joined-k19-23,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-23,K19,אמציה,אמציה,AMAZYA,23|1368|1369,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,23,,confirmed,exact_eligible_arithmetic,בני דקלים|נטע,BNE DEQALIM|NETA,loc:23|loc:1368|loc:1369
composite:joined-k19-47,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-47,K19,כפר תבור,כפר תבור,KEFAR TAVOR,47|371,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,47,2,confirmed,exact_eligible_arithmetic,כדורי,KADOORIE,loc:47|loc:371
composite:joined-k19-107,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-107,K19,כפר סילבר,כפר סילבר,KEFAR SILVER,107|1376,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,107,,confirmed,exact_eligible_arithmetic,באר גנים,BE'ER GANNIM,loc:107|loc:1376
composite:joined-k19-198,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-198,K19,צופית,צופית,ZOFIT,198|1076,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,198,2,confirmed,exact_eligible_arithmetic,בית ברל,BET BERL,loc:198|loc:1076
composite:joined-k19-247,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-247,K19,רשפון,רשפון,RISHPON,247|1324,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,247,,confirmed,exact_eligible_arithmetic,ארסוף,ARSUF,loc:247|loc:1324
composite:joined-k19-274,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-274,K19,כפר מנחם,כפר מנחם,KEFAR MENAHEM,274|1339,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,274,1,confirmed,exact_eligible_arithmetic,אל -עזי,AL-AZY,loc:274|loc:1339
composite:joined-k19-363,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-363,K19,חפץ חיים,חפץ חיים,HAFEZ HAYYIM,363|1371,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,363,,confirmed,exact_eligible_arithmetic,גני טל,GANNE TAL,loc:363|loc:1371
composite:joined-k19-382,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-382,K19,מכמורת,מכמורת,MIKHMORET,382|1318,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,382,1,confirmed,exact_eligible_arithmetic,מבואות ים,MEVO'OT YAM,loc:382|loc:1318
composite:joined-k19-387,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-387,K19,כפר מונש,כפר מונש,KEFAR MONASH,387|897,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,387,1,confirmed,exact_eligible_arithmetic,מדרשת רופין,MIDRESHET RUPPIN,loc:387|loc:897
composite:joined-k19-390,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-390,K19,רגבה,רגבה,REGBA,390|1143,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,390,,confirmed,exact_eligible_arithmetic,נס עמים,NES AMMIM,loc:390|loc:1143
composite:joined-k19-405,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-405,K19,נווה אילן,נווה אילן,NEWE ILAN,405|1134,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,405,,confirmed,exact_eligible_arithmetic,יד השמונה,YAD HASHEMONA,loc:405|loc:1134
composite:joined-k19-440,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-440,K19,יסודות,יסודות,YESODOT,440|1372,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,440,,confirmed,exact_eligible_arithmetic,נצר חזני,NEZER HAZZANI,loc:440|loc:1372
composite:joined-k19-442,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-442,K19,גדעונה,גדעונה,GID'ONA,442|833,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,442,,confirmed,exact_eligible_arithmetic,נורית,NURIT,loc:442|loc:833
composite:joined-k19-465,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-465,K19,צובה,צובה,ZOVA,465|886,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,465,1,confirmed,exact_eligible_arithmetic,איתנים,ETANIM,loc:465|loc:886
composite:joined-k19-553,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-553,K19,ניר בנים,ניר בנים,NIR BANIM,553|392,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,553,1,confirmed,exact_eligible_arithmetic,קדמה,QEDMA,loc:553|loc:392
composite:joined-k19-567,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-567,K19,צרעה,צרעה,ZOR'A,567|493|566,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,567,1,confirmed,exact_eligible_arithmetic,דייר ראפאת|גבעת שמש,DEIR RAFAT|GIV'AT SHEMESH,loc:567|loc:493|loc:566
composite:joined-k19-578,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-578,K19,סאסא,סאסא,SASA,578|1213,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,578,,confirmed,exact_eligible_arithmetic,צבעון,ZIV'ON,loc:578|loc:1213
composite:joined-k19-585,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-585,K19,לביא,לביא,LAVI,585|1322,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,585,1,confirmed,exact_eligible_arithmetic,הודיות,HODAYOT,loc:585|loc:1322
composite:joined-k19-689,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-689,K19,מגדים,מגדים,MEGADIM,689|212,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,689,,confirmed,exact_eligible_arithmetic,בית צבי,BET ZEVI,loc:689|loc:212
