geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_id,locality_name_he,locality_name_en,stat_area_count,stat_area_id,stat_2022,yishuv_stat_2022,COD_TIFKUD,single_stat_area,has_function_code
loc:7,locality,localities_2022,geographies/localities_2022.zip,7,loc:7,שחר,SHAHAR,1,stat2022:70001,1,70001,1,True,True
loc:10,locality,localities_2022,geographies/localities_2022.zip,10,loc:10,תירוש,TIROSH,1,stat2022:100001,1,100001,1,True,True
loc:11,locality,localities_2022,geographies/localities_2022.zip,11,loc:11,"ניר ח""ן",NIR HEN,1,stat2022:110001,1,110001,1,True,True
loc:13,locality,localities_2022,geographies/localities_2022.zip,13,loc:13,חצבה,HAZEVA,1,stat2022:130001,1,130001,1,True,True
loc:15,locality,localities_2022,geographies/localities_2022.zip,15,loc:15,נועם,NO'AM,1,stat2022:150001,1,150001,1,True,True
loc:16,locality,localities_2022,geographies/localities_2022.zip,16,loc:16,בית ניר,BET NIR,1,stat2022:160001,1,160001,1,True,True
loc:18,locality,localities_2022,geographies/localities_2022.zip,18,loc:18,שדה משה,SEDE MOSHE,1,stat2022:180001,1,180001,1,True,True
loc:21,locality,localities_2022,geographies/localities_2022.zip,21,loc:21,באר אורה,BE'ER ORA,1,stat2022:210001,1,210001,1,True,True
loc:22,locality,localities_2022,geographies/localities_2022.zip,22,loc:22,מקווה ישראל,MIQWE YISRA'EL,1,stat2022:220001,1,220001,5,True,True
loc:23,locality,localities_2022,geographies/localities_2022.zip,23,loc:23,אמציה,AMAZYA,1,stat2022:230001,1,230001,1,True,True
loc:24,locality,localities_2022,geographies/localities_2022.zip,24,loc:24,לכיש,LAKHISH,1,stat2022:240001,1,240001,1,True,True
loc:26,locality,localities_2022,geographies/localities_2022.zip,26,loc:26,ראש פינה,ROSH PINNA,1,stat2022:260001,1,260001,1,True,True
loc:27,locality,localities_2022,geographies/localities_2022.zip,27,loc:27,שדות מיכה,SEDOT MIKHA,1,stat2022:270001,1,270001,1,True,True
loc:28,locality,localities_2022,geographies/localities_2022.zip,28,loc:28,מזכרת בתיה,MAZKERET BATYA,6,stat2022:280001|stat2022:280002|stat2022:280003|stat2022:280004|stat2022:280005|stat2022:280006,1|2|3|4|5|6,280001|280002|280003|280004|280005|280006,1|4,False,True
loc:29,locality,localities_2022,geographies/localities_2022.zip,29,loc:29,יסוד המעלה,YESUD HAMA'ALA,1,stat2022:290001,1,290001,1,True,True
loc:31,locality,localities_2022,geographies/localities_2022.zip,31,loc:31,אופקים,OFAQIM,12,stat2022:310001|stat2022:310002|stat2022:310003|stat2022:310004|stat2022:310005|stat2022:310006|stat2022:310007|stat2022:310008|stat2022:310009|stat2022:310010|stat2022:310011|stat2022:310012,1|2|3|4|5|6|7|8|9|10|11|12,310001|310002|310003|310004|310005|310006|310007|310008|310009|310010|310011|310012,1|2|4,False,True
loc:32,locality,localities_2022,geographies/localities_2022.zip,32,loc:32,עוצם,OZEM,1,stat2022:320001,1,320001,1,True,True
loc:33,locality,localities_2022,geographies/localities_2022.zip,33,loc:33,בת שלמה,BAT SHELOMO,1,stat2022:330001,1,330001,1,True,True
loc:35,locality,localities_2022,geographies/localities_2022.zip,35,loc:35,גדות,GADOT,1,stat2022:350001,1,350001,1,True,True
loc:36,locality,localities_2022,geographies/localities_2022.zip,36,loc:36,שדה דוד,SEDE DAWID,1,stat2022:360001,1,360001,1,True,True
loc:37,locality,localities_2022,geographies/localities_2022.zip,37,loc:37,איתן,ETAN,1,stat2022:370001,1,370001,1,True,True
loc:39,locality,localities_2022,geographies/localities_2022.zip,39,loc:39,גפן,GEFEN,1,stat2022:390001,1,390001,1,True,True
