geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:70001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:70001,2011,70001,loc:7,7,שחר,SHAHAR,1,official_cbs,official_cbs
stat2011:100001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:100001,2011,100001,loc:10,10,תירוש,TIROSH,1,official_cbs,official_cbs
stat2011:110001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:110001,2011,110001,loc:11,11,"ניר ח""ן",NIR HEN,1,official_cbs,official_cbs
stat2011:130001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:130001,2011,130001,loc:13,13,חצבה,HAZEVA,1,official_cbs,official_cbs
stat2011:150001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:150001,2011,150001,loc:15,15,נועם,NO'AM,1,official_cbs,official_cbs
stat2011:160001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:160001,2011,160001,loc:16,16,בית ניר,BET NIR,1,official_cbs,official_cbs
stat2011:180001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:180001,2011,180001,loc:18,18,שדה משה,SEDE MOSHE,1,official_cbs,official_cbs
stat2011:210001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:210001,2011,210001,loc:21,21,באר אורה,BE'ER ORA,1,official_cbs,official_cbs
stat2011:220001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:220001,2011,220001,loc:22,22,מקווה ישראל,MIQWE YISRA'EL,1,official_cbs,official_cbs
stat2011:230001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:230001,2011,230001,loc:23,23,אמציה,AMAZYA,1,official_cbs,official_cbs
stat2011:240001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:240001,2011,240001,loc:24,24,לכיש,LAKHISH,1,official_cbs,official_cbs
stat2011:260001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:260001,2011,260001,loc:26,26,ראש פינה,ROSH PINNA,1,official_cbs,official_cbs
stat2011:270001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:270001,2011,270001,loc:27,27,שדות מיכה,SEDOT MIKHA,1,official_cbs,official_cbs
