geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_name_he,locality_name_en,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,locality_id,stat_area_id
stat2022:70001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,7,שחר,SHAHAR,1.0,70001,,,1.0,7470.551048133278,2299947.6257711076,loc:7,stat2022:70001
stat2022:100001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,10,תירוש,TIROSH,1.0,100001,,,1.0,5373.979324952965,1348877.1967629273,loc:10,stat2022:100001
stat2022:110001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,11,"ניר ח""ן",NIR HEN,1.0,110001,,,1.0,4668.72171195248,895049.4654985365,loc:11,stat2022:110001
stat2022:130001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,13,חצבה,HAZEVA,1.0,130001,,,1.0,5623.056457018194,1306251.8271415327,loc:13,stat2022:130001
stat2022:150001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,15,נועם,NO'AM,1.0,150001,,,1.0,6987.293604574762,1656053.165778654,loc:15,stat2022:150001
stat2022:160001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,16,בית ניר,BET NIR,1.0,160001,,,1.0,3947.1595711265486,618885.3468809713,loc:16,stat2022:160001
stat2022:180001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,18,שדה משה,SEDE MOSHE,1.0,180001,,,1.0,6249.675608684763,1827649.5199590845,loc:18,stat2022:180001
stat2022:210001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,21,באר אורה,BE'ER ORA,1.0,210001,,,1.0,3054.2097979984337,508136.2260277454,loc:21,stat2022:210001
stat2022:220001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,22,מקווה ישראל,MIQWE YISRA'EL,1.0,220001,,,5.0,4043.494449107306,478365.5693591604,loc:22,stat2022:220001
stat2022:230001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,23,אמציה,AMAZYA,1.0,230001,,,1.0,1753.6060233134438,185849.64770134597,loc:23,stat2022:230001
stat2022:240001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,24,לכיש,LAKHISH,1.0,240001,,,1.0,7310.031070210031,1108518.9438537045,loc:24,stat2022:240001
stat2022:260001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,26,ראש פינה,ROSH PINNA,1.0,260001,,,1.0,48192.96052868829,16805684.439445496,loc:26,stat2022:260001
stat2022:270001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,27,שדות מיכה,SEDOT MIKHA,1.0,270001,,,1.0,4488.196389193385,923522.4631059667,loc:27,stat2022:270001
stat2022:280001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,1.0,280001,,,1.0,4894.729235540251,865626.9959579539,loc:28,stat2022:280001
stat2022:280002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,2.0,280002,,,1.0,2585.9361257219844,244340.35887201698,loc:28,stat2022:280002
stat2022:280003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,3.0,280003,,,1.0,2195.786407216026,229140.21737133694,loc:28,stat2022:280003
stat2022:280004,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,4.0,280004,,,1.0,3142.839403060556,341780.63375986385,loc:28,stat2022:280004
stat2022:280005,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,5.0,280005,,,1.0,5424.043384724749,1581077.599851401,loc:28,stat2022:280005
stat2022:280006,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,28,מזכרת בתיה,MAZKERET BATYA,6.0,280006,,,4.0,11372.30734018079,4162591.970173831,loc:28,stat2022:280006
stat2022:290001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,29,יסוד המעלה,YESUD HAMA'ALA,1.0,290001,,,1.0,20310.2503200369,11689237.22227105,loc:29,stat2022:290001
stat2022:310001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,1.0,310001,,,1.0,3434.7231838948032,629930.8245920358,loc:31,stat2022:310001
stat2022:310002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,2.0,310002,,,1.0,6247.333692770711,1036922.5877979662,loc:31,stat2022:310002
stat2022:310003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,3.0,310003,,,1.0,2920.470897605653,407450.1284510127,loc:31,stat2022:310003
stat2022:310004,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,4.0,310004,,,1.0,3839.6389458733743,459004.60846109973,loc:31,stat2022:310004
stat2022:310005,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,5.0,310005,,,2.0,7071.141302123584,2277372.5528916866,loc:31,stat2022:310005
stat2022:310006,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,6.0,310006,,,1.0,2356.951364549659,299472.6262956263,loc:31,stat2022:310006
stat2022:310007,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,7.0,310007,,,1.0,3610.226240545214,794054.1122684567,loc:31,stat2022:310007
stat2022:310008,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,8.0,310008,,,1.0,4519.850536654641,1213738.7546134498,loc:31,stat2022:310008
stat2022:310009,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,9.0,310009,,,4.0,5680.56933633737,1360715.176902916,loc:31,stat2022:310009
stat2022:310010,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,10.0,310010,,,1.0,5000.67124758388,1167248.5853546385,loc:31,stat2022:310010
stat2022:310011,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,11.0,310011,,,4.0,3990.6348013463703,1006857.1106388563,loc:31,stat2022:310011
stat2022:310012,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,31,אופקים,OFAQIM,12.0,310012,,,4.0,10303.051183238525,5699632.801344008,loc:31,stat2022:310012
stat2022:320001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,32,עוצם,OZEM,1.0,320001,,,1.0,5994.895974166344,1972345.5374238852,loc:32,stat2022:320001
stat2022:330001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,33,בת שלמה,BAT SHELOMO,1.0,330001,,,1.0,5532.813014219072,637311.6648981567,loc:33,stat2022:330001
stat2022:350001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,35,גדות,GADOT,1.0,350001,,,1.0,4918.640826564921,824527.0096713883,loc:35,stat2022:350001
stat2022:360001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,36,שדה דוד,SEDE DAWID,1.0,360001,,,1.0,4434.999862734188,891090.7016863478,loc:36,stat2022:360001
stat2022:370001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,37,איתן,ETAN,1.0,370001,,,1.0,3899.0101300039964,806700.8210507511,loc:37,stat2022:370001
stat2022:390001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,39,גפן,GEFEN,1.0,390001,,,1.0,4224.9406283277,1078326.6113430678,loc:39,stat2022:390001
stat2022:410001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,41,אליכין,ELYAKHIN,1.0,410001,,,1.0,7091.6014806358635,1689103.30027828,loc:41,stat2022:410001
stat2022:430001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,43,מטולה,METULA,1.0,430001,,,1.0,16928.42588322536,9391855.750519069,loc:43,stat2022:430001
stat2022:440001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,44,זוהר,ZOHAR,1.0,440001,,,1.0,4019.956199550681,922215.0888437331,loc:44,stat2022:440001
stat2022:460001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,46,יבנאל,YAVNE'EL,1.0,460001,,,1.0,38083.89770574279,31210766.061896358,loc:46,stat2022:460001
stat2022:470001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,47,כפר תבור,KEFAR TAVOR,1.0,470001,,,1.0,24502.43072654272,12380999.988450307,loc:47,stat2022:470001
stat2022:480001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,48,מנחמיה,MENAHEMYA,1.0,480001,,,1.0,14491.579978029724,7617363.945955568,loc:48,stat2022:480001
stat2022:490001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,49,אילנייה,ILANIYYA,1.0,490001,,,1.0,6464.732073944368,1566669.740289132,loc:49,stat2022:490001
stat2022:520001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,52,לוזית,LUZIT,1.0,520001,,,1.0,4217.95243121556,769870.4808947383,loc:52,stat2022:520001
stat2022:530001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,53,עתלית,ATLIT,1.0,530001,,,1.0,7067.2821513693425,1402419.4602624439,loc:53,stat2022:530001
stat2022:530002,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,53,עתלית,ATLIT,2.0,530002,,,1.0,6008.132141236355,1050093.9349538896,loc:53,stat2022:530002
stat2022:530003,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,53,עתלית,ATLIT,3.0,530003,,,1.0,4202.103579382037,560628.4098965515,loc:53,stat2022:530003
stat2022:530004,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,53,עתלית,ATLIT,4.0,530004,,,1.0,4664.534270787345,767759.7575594095,loc:53,stat2022:530004
stat2022:550001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,55,נוגה,NOGAH,1.0,550001,,,1.0,3891.144414178504,674075.3825599666,loc:55,stat2022:550001
stat2022:570001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,57,כנרת (קבוצה),KINNERET(QEVUZA),1.0,570001,,,1.0,3869.9204116007904,820853.5180353489,loc:57,stat2022:570001
stat2022:580001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,58,מצפה,MIZPA,1.0,580001,,,1.0,2706.847428348993,296923.500673361,loc:58,stat2022:580001
stat2022:590001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,59,נחושה,NEHUSHA,1.0,590001,,,1.0,6391.794525748997,783935.3402721528,loc:59,stat2022:590001
stat2022:620001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,62,דגניה א',DEGANYA ALEF,1.0,620001,,,1.0,3912.7306780070703,899139.1667001987,loc:62,stat2022:620001
stat2022:630001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,63,כנרת (מושבה),KINNERET(MOSHAVA),1.0,630001,,,1.0,17310.68769529498,6829558.27305105,loc:63,stat2022:630001
stat2022:640001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,64,"יד רמב""ם",YAD RAMBAM,1.0,640001,,,1.0,5274.182771315711,1541817.7273368286,loc:64,stat2022:640001
stat2022:650001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,65,מגדל,MIGDAL,1.0,650001,,,1.0,23336.41889447002,11627805.47167927,loc:65,stat2022:650001
stat2022:660001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,66,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1.0,660001,,,1.0,3878.528903601324,645015.4446068382,loc:66,stat2022:660001
stat2022:670001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,67,אור הנר,OR HANER,1.0,670001,,,1.0,3777.1927792649462,604790.853329676,loc:67,stat2022:670001
stat2022:690001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,69,ניר עוז,NIR OZ,1.0,690001,,,1.0,4000.349960570839,840596.5324954377,loc:69,stat2022:690001
stat2022:700111,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,111.0,700111,1.0,11.0,2.0,24049.84402137262,14242141.832017617,loc:70,stat2022:700111
stat2022:700112,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,112.0,700112,1.0,11.0,2.0,7430.123870473849,2593693.6642744467,loc:70,stat2022:700112
stat2022:700113,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,113.0,700113,1.0,11.0,2.0,20258.90791480966,3614237.9296860797,loc:70,stat2022:700113
stat2022:700114,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,114.0,700114,1.0,11.0,4.0,3395.2955800610457,558214.4346641508,loc:70,stat2022:700114
stat2022:700121,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,121.0,700121,1.0,12.0,6.0,6437.053243125357,684055.4167033768,loc:70,stat2022:700121
stat2022:700122,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,122.0,700122,1.0,12.0,1.0,3012.741671069615,388859.09834098414,loc:70,stat2022:700122
stat2022:700123,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,123.0,700123,1.0,12.0,1.0,2414.885259448898,313730.21404714347,loc:70,stat2022:700123
stat2022:700124,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,124.0,700124,1.0,12.0,6.0,3801.841687322436,401501.8922537621,loc:70,stat2022:700124
stat2022:700125,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,125.0,700125,1.0,12.0,1.0,1583.7527524908721,150668.3399448585,loc:70,stat2022:700125
stat2022:700126,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,126.0,700126,1.0,12.0,1.0,2020.731595294691,251235.29550262055,loc:70,stat2022:700126
stat2022:700131,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,70,אשדוד,ASHDOD,131.0,700131,1.0,13.0,1.0,1693.2228404820976,154362.95472416308,loc:70,stat2022:700131
