path,category,election,stat_area_vintage,format,rows_or_features,bytes,sha256,description
aggregates/custom-geographies/k17.csv,aggregate-custom-geographies,K17,1995,csv,4,1244,c5c400a68928720c1acaf00e4d871ef9dd58d99d866308388b4ccc42dfbce8c9,K17 custom-geographies aggregate or review table.
aggregates/custom-geographies/k18.csv,aggregate-custom-geographies,K18,2008,csv,4,1279,fc32319c639bcdfc09b51c6af73e323d7461ad75694a13e8305601e9c69b7b1f,K18 custom-geographies aggregate or review table.
aggregates/custom-geographies/k19.csv,aggregate-custom-geographies,K19,2011,csv,2,862,73154eb8a2e0f80c3fc0c057db902ebf95f5abd38b1c68e8fcbd4ebe2116a650,K19 custom-geographies aggregate or review table.
aggregates/custom-geographies/k20.csv,aggregate-custom-geographies,K20,2011,csv,2,798,4bdb5d052165042698c0994cff336242236c27e62070d5404b34bf3a8fd87aa0,K20 custom-geographies aggregate or review table.
aggregates/custom-geographies/k21.csv,aggregate-custom-geographies,K21,2011,csv,2,939,3aba395c7a65b1fc10341886c45ac9cb7920afc8c94f09097e5118f8d5e3f0f8,K21 custom-geographies aggregate or review table.
aggregates/custom-geographies/k22.csv,aggregate-custom-geographies,K22,2011,csv,2,850,db3fac87018ee2a05d0c186793c7e9e7aab71bb3751662ae354f280880f22322,K22 custom-geographies aggregate or review table.
aggregates/custom-geographies/k23.csv,aggregate-custom-geographies,K23,2011,csv,2,826,531ed86d57b6a8c5c8758f07c25118163f24ecb085b43e313f9df0c3b09ef810,K23 custom-geographies aggregate or review table.
aggregates/custom-geographies/k24.csv,aggregate-custom-geographies,K24,2011,csv,2,895,6078c1a000745391174d73f24d90e51cb9fb07329c84cae88c15084cc972baaf,K24 custom-geographies aggregate or review table.
aggregates/custom-geographies/k25.csv,aggregate-custom-geographies,K25,2011,csv,2,905,89697deb66cdaea41f0a8b99fd2728b59d84e9e7e1baffd93886714736434611,K25 custom-geographies aggregate or review table.
aggregates/envelopes/k17.csv,aggregate-envelopes,K17,1995,csv,1,646,c68da263b338487ee5d5f9808b8f84b387b7126097aec6306872634954b65673,K17 envelopes aggregate or review table.
aggregates/envelopes/k18.csv,aggregate-envelopes,K18,2008,csv,1,657,c04169e5e6e875f29690d24d610a494b4c99f2fd812ef92a82d0c8f1fd30418b,K18 envelopes aggregate or review table.
aggregates/envelopes/k19.csv,aggregate-envelopes,K19,2011,csv,1,675,7c836a1de8383d7c8de4a8637a5aac9cb5b46dee4a4f28df3cdca2810b11f941,K19 envelopes aggregate or review table.
aggregates/envelopes/k20.csv,aggregate-envelopes,K20,2011,csv,1,605,2e5265663f4cf34ca3893d81dbab56303ed679ae49f128ba7bd678a6dbc352e7,K20 envelopes aggregate or review table.
aggregates/envelopes/k21.csv,aggregate-envelopes,K21,2011,csv,1,738,acd127e206c329c12773e6cd1ce9b51bdf1e80568c35685c0e88a852dbc3cbf0,K21 envelopes aggregate or review table.
aggregates/envelopes/k22.csv,aggregate-envelopes,K22,2011,csv,1,646,63ebfe53ccad4b4f27c49cbe9fbf66edfe8585a376aa7af189abf7abec05bbcf,K22 envelopes aggregate or review table.
aggregates/envelopes/k23.csv,aggregate-envelopes,K23,2011,csv,1,627,10bcfd98848a3a389598fcb42bd0d1db8b71992a74b082834651bec72172b326,K23 envelopes aggregate or review table.
aggregates/envelopes/k24.csv,aggregate-envelopes,K24,2011,csv,1,712,3f9ee5603976d469a83f832f942628d4ab5260530cb6b842160e965509c29e84,K24 envelopes aggregate or review table.
aggregates/envelopes/k25.csv,aggregate-envelopes,K25,2011,csv,1,719,f557ce45ae43b6e2ae2c70c8c7294b74b04a3b0d417274fa42383cc5cb6fef9f,K25 envelopes aggregate or review table.
aggregates/localities/k17.csv,aggregate-localities,K17,1995,csv,1122,183558,37916b7ba612c13de50a1150231c81ae0581a4e3fca13eabbe6539eab5d5429f,K17 localities aggregate or review table.
aggregates/localities/k18.csv,aggregate-localities,K18,2008,csv,1132,191526,be2297737c1ac5c508e3bc6339d025845e38056fbab70e63969f7ac516f7f381,K18 localities aggregate or review table.
aggregates/localities/k19.csv,aggregate-localities,K19,2011,csv,1155,198196,a82b11245064e45982afef4d46c55a6883d3f6fb59b0206eb2756eea42f82c63,K19 localities aggregate or review table.
aggregates/localities/k20.csv,aggregate-localities,K20,2011,csv,1165,181168,90f1d8e72bf54e39859e4d8b651f85194838f97487bc920ee9bfe1e33e7f025b,K20 localities aggregate or review table.
aggregates/localities/k21.csv,aggregate-localities,K21,2011,csv,1184,224064,ad69bf1609bcae71be2cfb20b7d466fa3920fd34009fe2c8588bc02c3ebb2105,K21 localities aggregate or review table.
aggregates/localities/k22.csv,aggregate-localities,K22,2011,csv,1184,197047,68f33d8d7552689c741da39971d2db32cb7884d093a9dc612d67804755abbac2,K22 localities aggregate or review table.
aggregates/localities/k23.csv,aggregate-localities,K23,2011,csv,1184,190881,3d9f5519362cd5af12a5c0a17164de03eb43a3f5f4aa1ae9442029894f3a46b4,K23 localities aggregate or review table.
aggregates/localities/k24.csv,aggregate-localities,K24,2011,csv,1186,215458,cfa6f9fc4743c8e3694dcb63387e5dc6996ea3e689f08ee8cb549e383545a4a4,K24 localities aggregate or review table.
aggregates/localities/k25.csv,aggregate-localities,K25,2011,csv,1187,217071,fc82128d6bf1caf4cdbf86d47d5f35600ac718899f7021207cabf7c91d0e02af,K25 localities aggregate or review table.
aggregates/statistical-areas/k17.csv,aggregate-statistical-areas,K17,1995,csv,2359,510107,3ad1a56c0c382dd978cac80ad75fcd708319fa4a6b9b1b838dda29f09585064f,K17 statistical-areas aggregate or review table.
aggregates/statistical-areas/k18.csv,aggregate-statistical-areas,K18,2008,csv,2633,591214,0367c17a447a5ed29a14d8cc62fdd79e68a35bc763e257f6acf6db9089368f8a,K18 statistical-areas aggregate or review table.
aggregates/statistical-areas/k19.csv,aggregate-statistical-areas,K19,2011,csv,2687,612155,23db5da976c627318012e65db689dbd298e7995fe0217f974bae917bf2084284,K19 statistical-areas aggregate or review table.
aggregates/statistical-areas/k20.csv,aggregate-statistical-areas,K20,2011,csv,2721,576715,658af87406d5c870692d0ce0a90a1968f842f4d3100fbfb67a3dc5344ad79180,K20 statistical-areas aggregate or review table.
aggregates/statistical-areas/k21.csv,aggregate-statistical-areas,K21,2011,csv,2672,655243,7ea9b59ce998e9b2f49afa45d9b820cbe3c5c01ac0d20ffa352c341af2b1927d,K21 statistical-areas aggregate or review table.
aggregates/statistical-areas/k22.csv,aggregate-statistical-areas,K22,2011,csv,2654,588771,aae0c9336795e331bb79a29e90947cff343b86d3e855457c187b50119685b5dc,K22 statistical-areas aggregate or review table.
aggregates/statistical-areas/k23.csv,aggregate-statistical-areas,K23,2011,csv,2641,572188,c47d1c3159ebc23664b079fbdd29abeb00d39afec257991680127bb7d1b1120e,K23 statistical-areas aggregate or review table.
aggregates/statistical-areas/k24.csv,aggregate-statistical-areas,K24,2011,csv,2554,607620,1126b914844885e386ef929539a676b5f0ebc767ff7873906cb0a79ee2c2a465,K24 statistical-areas aggregate or review table.
aggregates/statistical-areas/k25.csv,aggregate-statistical-areas,K25,2011,csv,2561,611453,e11741b83e616275c27e34c7712462850d242cd0edf6d9abddbf2466a7e8cd2b,K25 statistical-areas aggregate or review table.
aggregates/unresolved/k17.csv,aggregate-unresolved,K17,1995,csv,573,194065,67b98bd06003c0ffada8f6aabbc6f19e9e9dcc5d62d5636c878ed3997f38e174,K17 unresolved aggregate or review table.
aggregates/unresolved/k18.csv,aggregate-unresolved,K18,2008,csv,524,186323,9aaaba3242ea619f1ae65f4a5ab294580763091eb6d43f549a177e46e0d7914d,K18 unresolved aggregate or review table.
aggregates/unresolved/k19.csv,aggregate-unresolved,K19,2011,csv,800,275962,20b68b9cc7b21faab8fe286adc4e360dae8003854f2c8a3769e59dfd3905da3b,K19 unresolved aggregate or review table.
aggregates/unresolved/k20.csv,aggregate-unresolved,K20,2011,csv,363,112855,cdf50388f20ccbc2b2121ddb4b783a922b466c54b83f57bd311e84ae29f7b367,K20 unresolved aggregate or review table.
aggregates/unresolved/k21.csv,aggregate-unresolved,K21,2011,csv,742,266748,7a4473879157dceb2b079561ac3a77fe6d89cc40984f9ba379e10b0b546e45a9,K21 unresolved aggregate or review table.
aggregates/unresolved/k22.csv,aggregate-unresolved,K22,2011,csv,982,329215,623f0959003fe8af210e782aca3c9e97265490a84d4dd5ea9cfd2756fb0ceb08,K22 unresolved aggregate or review table.
