election,source_locality_code,source_locality_name,evidence_tier,decision,candidate_rows,candidate_actual_voters,candidate_assignment_sha256,reviewed_on,review_basis,review_notes
K20,473,אבו סנאן,A,approved,12,5798,2beebd925d565f35d09001c6bc10bbcd871cb43962d948e6afe786a643129dc4,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,478,אכסאל,A,approved,13,5491,062b13df16eaf20f065b9f6ca94b5a6c88ec4ab922ce989371a3fd4c2838704b,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,480,בית ג'ן,A,approved,12,4182,a07cfc24bd41f292b18f1e8533cc543d705ec2bbbb848f96b718de456c1690ab,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,481,מגאר,A,approved,21,6687,4dddd353952d7c8257c4f5d9cb9c3acc99038244cb69620f57c1acfcf08f1708,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,490,דייר אל-אסד,A,approved,10,5715,854356ce2c122cac003d3889149809506899544165c23afd1f4f95ea39bae634,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,494,דאלית אל-כרמל,A,approved,17,6790,d0436684a3a8f73bf9002fb94357137be01d3a6d5408ec8e3823bed71ade426c,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,498,טורעאן,A,approved,12,5321,0746a837c7f57c6200307ad0e21099912fcfb9560828d90eb56d7ad866054faf,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,499,יפיע,A,approved,17,7493,bd5b231aca0d7890ae275f81569721ddf151f028e2ff4da42de1c56b2c7341c3,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,502,ירכא,A,approved,14,6168,41df42cd2a75d259566f6f80c8659db92595d26e0cb32fdd06cc464e23f62395,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,509,כפר כנא,A,approved,18,8804,a8d78106b6fed594be1001bbd99d605aff09ef91a7cb6f234223a375135ba305,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,510,כפר מנדא,A,approved,15,8062,a069e5e5ab86fd0f67e4c6c9e7da539b3ea63a0c2639b654bca6a78c925aaef6,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,516,מג'ד אל-כרום,A,approved,13,6691,6c38578331216289c3802d5222d9f5a4e008cbb9587dacb4b46390c52d688198,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,522,נחף,A,approved,10,5106,8a137bd593bcf4b677058fd254f8923e012b66e15034ab37396e41c0e57f47d5,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,529,אעבלין,A,approved,12,4910,608ec52267b255e585af4066a61d12f4667e11983df91c98a15b09e8355d9489,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,531,עראבה,A,approved,21,10339,812436be16ef3f84c48ba327cd4c97f4ce805b3a0a6f9dd35f64755d7f5ccfd6,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,532,עין מאהל,A,approved,11,5708,2392a66477201a9ad845ff4bbf987c0ab83fec05404478d1acd7a31c47e47c55,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,537,פוריידיס,A,approved,12,5116,8597144b91a92c76a73a566bb9c416bf519835c7e2951ad8d1ad11ae234a687b,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,541,ג'סר א-זרקא,A,approved,11,4526,45a1d91f751f109b0d84d4fc2a38f75596d817ecd2686148e6b70cdda3d3dbb8,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,542,ריינה,A,approved,15,6537,fd9bb780d369bdc1bdd5f58568ea9059685054626215327d1fd43b40eafbafea,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,628,ג'ת,A,approved,11,3708,16f33087b8b81a4fea9c4f049e142bba6780a18808869dae9a3b655b6d0251e6,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,637,ערערה,A,approved,17,7997,205e31945196da1281759dcfa459b9ccd8a65759f7395d07cbe1a6d8c56518b4,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,638,קלנסווה,A,approved,18,8610,b5f6edcf6d1864044eeec628f24026c1e6f399260bf45859d1611291e1d1b924,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,654,כפר קרע,A,approved,16,8379,41978b5e8c6c233f5215498d0c8ef330ae0f940c4b1b20c4290ce1c10aeba573,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
K20,1192,ערערה-בנגב,A,approved,10,3773,6a8a7400fba05a2016dad202fc5bd18497f6797cc23b51111e281da9ef2b0608,2026-07-17,unique_exact_residual_partition_all_area_totals,"Approved after unique ballot-count, eligible-voter, and actual-voter partition; every residual statistical area also reconciles valid and invalid votes."
