election,stat_area_vintage,gap_reason_code,resolution_state,effective_locality_code,effective_locality_name,pending_ballot_rows,pending_eligible_voters,pending_actual_voters,arcgis_audit_status,arcgis_review_decision
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,1063,מעלות-תרשיחא,1,137,109,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,2600,אילת,1,154,9,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,3000,ירושלים,1,339,26,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,4000,חיפה,1,284,19,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,5000,תל אביב -יפו,1,351,18,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,6800,קריית אתא,1,106,19,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,70,אשדוד,1,213,12,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,7000,לוד,1,121,3,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,7100,אשקלון,1,140,3,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,7400,נתניה,1,117,11,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,7600,עכו,1,98,6,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,8000,צפת,1,127,29,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,9000,באר שבע,1,157,19,,
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,9100,נהרייה,1,110,3,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,1292,ג'דיידה-מכר,13,9829,4963,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,2720,טירה,18,12472,7235,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,2730,טייבה,31,19161,12021,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,481,מגאר,16,10926,5041,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,499,יפיע,13,8940,3998,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,509,כפר כנא,13,9318,6055,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,510,כפר מנדא,10,7431,5506,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,531,עראבה,15,10636,6649,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,542,ריינה,10,7620,3933,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,634,כפר קאסם,13,9022,7693,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,637,ערערה,13,8914,4580,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,638,קלנסווה,11,8950,5553,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,654,כפר קרע,13,8398,5445,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,7500,סח'נין,20,14413,10598,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,8800,שפרעם,26,19978,11626,,
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,8900,טמרה,24,15119,9385,,
K17,1995,historical_composite_municipality_without_stat_area_crosswalk,irreducible_with_current_sources,,באקה אל-גרביה | ג'ת,27,17962,7880,,
K17,1995,historical_composite_municipality_without_stat_area_crosswalk,irreducible_with_current_sources,,בענה | דייר אל-אסד | מג'ד אל-כרום,9,6801,4705,,
K17,1995,historical_composite_municipality_without_stat_area_crosswalk,irreducible_with_current_sources,,דאלית אל-כרמל | עספיא,21,16090,7703,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1137,קריית יערים,2,1514,1062,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1140,מדרשת בן גוריון,1,546,395,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1167,קיסריה,5,3022,1926,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1195,ניצנה (קהילת חינוך),1,341,153,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1243,קציר,2,1532,1017,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1287,שני,1,345,171,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1311,אבשלום,1,131,80,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1314,נווה זיו,1,268,197,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1315,מתן,3,1677,1336,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1317,דמיידה,1,185,128,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1319,בת חפר,4,2893,2108,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1321,ח'ואלד,1,183,120,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1323,בת הדר,1,214,139,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1326,"בסמ""ה",6,4013,1834,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1327,מעלה עירון,11,6356,2820,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1330,אחוזת ברק,1,718,510,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1331,כמאנה,2,703,433,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1332,חוסנייה,1,283,118,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1333,נוף איילון,2,1027,922,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1334,ראס אל-עין,1,135,82,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1337,שמשית,2,1072,899,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1347,קצר א-סר,1,265,147,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1349,דריג'את,1,231,201,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,1358,אום בטין,1,173,117,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,2021,אשל הנשיא,1,99,68,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,22,מקווה ישראל,1,179,130,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,338,איבים,1,224,69,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,3777,סנסנה,1,90,80,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,3795,רבבה,1,292,278,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,3796,כפר האורנים,2,918,776,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,3797,מודיעין עילית,20,11891,10640,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,4028,כנף,1,138,107,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,427,כפר גלים,1,83,59,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,926,נווה אבות,1,115,10,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,942,סואעד (חמרייה)*,1,93,33,,
K17,1995,locality_absent_from_historical_geography,irreducible_with_current_sources,990,ראס עלי,1,246,196,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,1063,מעלות-תרשיחא,1,142,65,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,2600,אילת,1,161,14,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,3000,ירושלים,1,338,31,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,4000,חיפה,1,259,7,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,5000,תל אביב -יפו,1,737,67,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,6800,קריית אתא,1,97,20,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,70,אשדוד,1,229,17,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,7000,לוד,1,115,7,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,7100,אשקלון,1,144,6,,
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,7400,נתניה,1,120,5,,
