election,stat_area_vintage,gap_reason_code,resolution_state,pending_ballot_rows,pending_localities,pending_eligible_voters,pending_actual_voters
K17,1995,all_pending_rows,mixed,358,66,229639,136480
K17,1995,central_ballot_990_locality_only,intentionally_locality_only,14,14,2454,286
K17,1995,component_locality_multiple_areas_without_crosswalk,component_identity_only_with_current_sources,31,2,22110,10012
K17,1995,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,259,16,181127,110281
K17,1995,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,54,34,23948,15901
K18,2008,all_pending_rows,mixed,519,50,334691,189711
K18,2008,central_ballot_990_locality_only,intentionally_locality_only,13,13,2646,290
K18,2008,component_locality_nested_in_historical_composite_geography,component_identity_only_with_current_sources,84,7,54171,30273
K18,2008,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,420,28,277184,158619
K18,2008,locality_identity_absent_from_active_historical_vintage,irreducible_with_current_sources,1,1,77,70
K18,2008,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,1,1,613,459
K19,2011,all_pending_rows,mixed,564,34,367706,214251
K19,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,564,34,367706,214251
K20,2011,all_pending_rows,mixed,591,37,399549,269029
K20,2011,central_ballot_990_locality_only,intentionally_locality_only,1,1,564,56
K20,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,589,35,398356,268649
K20,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,1,1,629,324
K21,2011,all_pending_rows,mixed,598,34,422702,225160
K21,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,596,32,421425,224699
K21,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,2,2,1277,461
K22,2011,all_pending_rows,mixed,611,35,426704,266046
K22,2011,central_ballot_990_locality_only,intentionally_locality_only,1,1,550,422
K22,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,607,32,424057,264572
K22,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,3,2,2097,1052
K23,2011,all_pending_rows,mixed,619,35,434790,297152
K23,2011,central_ballot_990_locality_only,intentionally_locality_only,1,1,338,234
K23,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,615,32,432322,295712
K23,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,3,2,2130,1206
K24,2011,all_pending_rows,mixed,871,43,464426,212701
K24,2011,central_ballot_990_locality_only,intentionally_locality_only,31,9,15787,8664
K24,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,836,33,446543,203288
K24,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,4,1,2096,749
K25,2011,all_pending_rows,mixed,817,39,476999,263243
K25,2011,central_ballot_990_locality_only,intentionally_locality_only,9,3,5210,2730
K25,2011,entire_locality_omitted_from_official_crosswalk,irreducible_with_current_sources,792,32,461876,255412
K25,2011,specific_ballot_omitted_from_official_crosswalk,irreducible_with_current_sources,16,4,9913,5101
