election,stat_area_vintage,fallback_geography_id,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,fallback_reason,boundary_source
K25,2011,municipality-fallback:2011:loc:1292,loc:1292,1292,ג'דיידה-מכר,25,25,15255,8182,8115,67,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:1327,loc:1327,1327,מעלה עירון,17,17,10678,4599,4542,57,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:2720,loc:2720,2720,טירה,34,34,19319,12030,11912,118,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:2730,loc:2730,2730,טייבה,47,47,30461,17580,17401,179,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:473,loc:473,473,אבו סנאן,19,19,10013,5458,5382,76,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:478,loc:478,478,אכסאל,18,18,10342,5257,5212,45,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:480,loc:480,480,בית ג'ן,16,16,9177,4867,4832,35,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:481,loc:481,481,מגאר,31,31,17008,7489,7377,112,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:490,loc:490,490,דייר אל-אסד,17,17,8873,6194,6154,40,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:498,loc:498,498,טורעאן,18,18,10111,5003,4961,42,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:499,loc:499,499,יפיע,25,25,13860,6855,6750,105,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:502,loc:502,502,ירכא,21,21,11387,5823,5722,101,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:509,loc:509,509,כפר כנא,27,27,15877,8340,8221,119,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:510,loc:510,510,כפר מנדא,23,23,13756,8964,8887,77,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:516,loc:516,516,מג'ד אל-כרום,17,17,11017,7347,7280,67,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:522,loc:522,522,נחף,14,14,9181,5359,5325,34,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:529,loc:529,529,אעבלין,20,20,9638,5716,5672,44,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:531,loc:531,531,עראבה,30,30,18203,10352,10289,63,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:532,loc:532,532,עין מאהל,17,17,9688,5044,5001,43,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:534,loc:534,534,עספיא,17,17,9560,4947,4893,54,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:537,loc:537,537,פוריידיס,17,17,9208,3566,3531,35,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:541,loc:541,541,ג'סר א-זרקא,19,19,9560,4147,4108,39,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:542,loc:542,542,ריינה,19,19,11959,6313,6230,83,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:6000,loc:6000,6000,באקה אל-גרביה,33,33,20643,9815,9671,144,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:628,loc:628,628,ג'ת,14,14,8694,3463,3414,49,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:634,loc:634,634,כפר קאסם,29,29,16449,11001,10895,106,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:637,loc:637,637,ערערה,23,23,14219,7458,7393,65,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:638,loc:638,638,קלנסווה,29,29,15420,8369,8290,79,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:654,loc:654,654,כפר קרע,22,22,13735,8544,8489,55,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:7500,loc:7500,7500,סח'נין,38,38,23207,15877,15754,123,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:8800,loc:8800,8800,שפרעם,54,54,30875,15890,15703,187,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K25,2011,municipality-fallback:2011:loc:8900,loc:8900,8900,טמרה,42,42,24503,15563,15491,72,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:1292,loc:1292,1292,ג'דיידה-מכר,26,26,14820,6162,6121,41,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:1327,loc:1327,1327,מעלה עירון,18,18,10221,3212,3158,54,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:2720,loc:2720,2720,טירה,35,35,18697,8806,8690,116,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:2730,loc:2730,2730,טייבה,54,54,29204,12675,12517,158,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:473,loc:473,473,אבו סנאן,19,19,9705,5151,5070,81,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:478,loc:478,478,אכסאל,17,17,9946,4256,4219,37,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:480,loc:480,480,בית ג'ן,18,18,8907,3423,3399,24,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:481,loc:481,481,מגאר,32,32,16438,7132,7054,78,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:490,loc:490,490,דייר אל-אסד,17,17,8479,5204,5167,37,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:498,loc:498,498,טורעאן,18,18,9719,3756,3730,26,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:499,loc:499,499,יפיע,25,25,13420,5664,5586,78,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:502,loc:502,502,ירכא,21,21,11014,5614,5522,92,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:509,loc:509,509,כפר כנא,27,27,15189,7311,7210,101,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:510,loc:510,510,כפר מנדא,28,28,13137,7313,7241,72,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:516,loc:516,516,מג'ד אל-כרום,20,20,10661,5757,5741,16,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:522,loc:522,522,נחף,19,19,8811,4167,4132,35,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:529,loc:529,529,אעבלין,21,21,9349,4651,4618,33,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:531,loc:531,531,עראבה,31,31,17322,9553,9498,55,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:532,loc:532,532,עין מאהל,15,15,9334,3755,3706,49,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:534,loc:534,534,עספיא,19,19,9324,3888,3862,26,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:537,loc:537,537,פוריידיס,17,17,8926,2591,2546,45,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:541,loc:541,541,ג'סר א-זרקא,19,19,9184,2246,2212,34,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
K24,2011,municipality-fallback:2011:loc:542,loc:542,542,ריינה,20,20,11664,5280,5208,72,no_ballot_has_a_supported_statistical_area_assignment,cbs_2022_locality_geometry_display_only
