stat_area_id,stat_area_vintage,locality_code,locality_name_he,stat_area_number,elections_using_vintage,assigned_elections_count,assigned_elections,unassigned_elections_count,unassigned_elections,official_area_electorate_gap_elections,followup_elections,persistence_status,never_assigned_in_supported_elections,population_proxy,age_20_plus_population_proxy,population_reference_year,population_proxy_source
stat1995:10001,1995,10,תירוש,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1015001,1995,1015,מבשרת ציון,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1015002,1995,1015,מבשרת ציון,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1015003,1995,1015,מבשרת ציון,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1015004,1995,1015,מבשרת ציון,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1020001,1995,1020,אור עקיבא,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1020002,1995,1020,אור עקיבא,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1020003,1995,1020,אור עקיבא,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1020004,1995,1020,אור עקיבא,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1020005,1995,1020,אור עקיבא,5,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:102001,1995,102,מאיר שפיה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1024001,1995,1024,חרוצים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:103001,1995,103,תל עדשים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1031001,1995,1031,שדרות,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1031002,1995,1031,שדרות,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1031003,1995,1031,שדרות,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1031004,1995,1031,שדרות,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1031005,1995,1031,שדרות,5,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1031006,1995,1031,שדרות,6,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034001,1995,1034,קרית מלאכי,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1034002,1995,1034,קרית מלאכי,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034003,1995,1034,קרית מלאכי,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034004,1995,1034,קרית מלאכי,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034005,1995,1034,קרית מלאכי,5,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034006,1995,1034,קרית מלאכי,6,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1034007,1995,1034,קרית מלאכי,7,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:104001,1995,104,מזרע,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1043001,1995,1043,גיזו,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1044001,1995,1044,יעף,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1045001,1995,1045,שתולה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1046001,1995,1046,אוהד,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1047001,1995,1047,חזון,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1048001,1995,1048,אפעל-מרכז סמינריוני,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1049001,1995,1049,רמת אפעל,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1050001,1995,1050,בית חשמונאי,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1051001,1995,1051,תלמי אליהו,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1052001,1995,1052,קטורה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1053001,1995,1053,עין חצבה,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1054001,1995,1054,תל שבע,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1057001,1995,1057,נווה זוהר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1058001,1995,1058,שדה ניצן,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1059001,1995,1059,כסיפה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1060001,1995,1060,לקיה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:106001,1995,106,כפר גדעון,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061001,1995,1061,נצרת עילית,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061002,1995,1061,נצרת עילית,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061003,1995,1061,נצרת עילית,3,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1061004,1995,1061,נצרת עילית,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061005,1995,1061,נצרת עילית,5,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061006,1995,1061,נצרת עילית,6,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061007,1995,1061,נצרת עילית,7,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061008,1995,1061,נצרת עילית,8,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061009,1995,1061,נצרת עילית,9,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061010,1995,1061,נצרת עילית,10,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061011,1995,1061,נצרת עילית,11,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1061012,1995,1061,נצרת עילית,12,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1062001,1995,1062,נווה אפרים,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1063001,1995,1063,מעלות-תרשיחא,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1063002,1995,1063,מעלות-תרשיחא,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1063003,1995,1063,מעלות-תרשיחא,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1063004,1995,1063,מעלות-תרשיחא,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1064001,1995,1064,אמירים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1065001,1995,1065,זמרת,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1066001,1995,1066,"בני עי""ש",1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1067001,1995,1067,"דוב""ב",1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1068001,1995,1068,אדמית,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1069001,1995,1069,רם-און,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1070001,1995,1070,אביעזר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:107001,1995,107,כפר סילבר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1071001,1995,1071,נווה מיכאל,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1072001,1995,1072,גן הדרום,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1076001,1995,1076,בית ברל,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1077001,1995,1077,גבעת שפירא,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1079001,1995,1079,צפרירים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1080001,1995,1080,מבועים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1081001,1995,1081,אבן מנחם,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1082001,1995,1082,מעגלים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1083001,1995,1083,תושיה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1084001,1995,1084,(בן שמן (כפר נוער,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1085001,1995,1085,כרם שלום,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1094001,1995,1094,(כרם יבנה (ישיבה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1095001,1995,1095,כפר מימון,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1098001,1995,1098,מרכז שפירא,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:11001,1995,11,"ניר ח""ן",1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1102001,1995,1102,(שושנת העמקים (עמידר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1103001,1995,1103,גני הדר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1104001,1995,1104,פוריה-כפר עבודה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1105001,1995,1105,פוריה- נווה עובד,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1108001,1995,1108,אומן,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1110001,1995,1110,חבר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1111001,1995,1111,צופיה,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1112001,1995,1112,יודפת,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1113001,1995,1113,צור הדסה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1114001,1995,1114,לי-און,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1115001,1995,1115,אביבים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1120001,1995,1120,אוהלו,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:112001,1995,112,'כפר חסידים א,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1123001,1995,1123,אדרת,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1124001,1995,1124,נאות הכיכר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1125001,1995,1125,אלמגור,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1126001,1995,1126,אילות,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1127001,1995,1127,מעלה גלבוע,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1128001,1995,1128,מי עמי,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1129001,1995,1129,גרופית,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1130001,1995,1130,(כפר רוזנואלד (זרעית,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:113001,1995,113,אדירים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1131001,1995,1131,(גאולי תימן(שיכון,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1132001,1995,1132,שניר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1133001,1995,1133,ורדון,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1134001,1995,1134,יד השמונה,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1136001,1995,1136,צוחר,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1138001,1995,1138,יעד,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139001,1995,1139,כרמיאל,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1139002,1995,1139,כרמיאל,2,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139003,1995,1139,כרמיאל,3,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139004,1995,1139,כרמיאל,4,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139005,1995,1139,כרמיאל,5,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139006,1995,1139,כרמיאל,6,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139007,1995,1139,כרמיאל,7,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139008,1995,1139,כרמיאל,8,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139009,1995,1139,כרמיאל,9,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1139010,1995,1139,כרמיאל,10,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1141001,1995,1141,מבוא מודיעים,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
stat1995:1143001,1995,1143,נס עמים,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1144001,1995,1144,ידידה,1,1,0,,1,K17,,,never_assigned_without_positive_population_proxy,True,0,0,,
stat1995:1145001,1995,1145,אלומה,1,1,1,K17,0,,,,assigned_in_every_supported_election,False,0,0,,
