source_row_uid,election,source_locality_code,source_locality_name,source_kalpi,ballot_base,actual_voters,candidate_stat_area_id,stat_area_number,yishuv_stat,ags_value,evidence_method,source_workbook
K23:90,K23,2710,אום אלפחם,1,1,436,stat2011:27100014,14,27100014,14,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:91,K23,2710,אום אלפחם,2,2,492,stat2011:27100014,14,27100014,14,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:92,K23,2710,אום אלפחם,3,3,424,stat2011:27100014,14,27100014,14,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:93,K23,2710,אום אלפחם,4,4,501,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:94,K23,2710,אום אלפחם,5,5,478,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:95,K23,2710,אום אלפחם,6,6,455,stat2011:27100012,12,27100012,12,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:96,K23,2710,אום אלפחם,7,7,371,stat2011:27100013,13,27100013,13,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:97,K23,2710,אום אלפחם,8,8,345,stat2011:27100013,13,27100013,13,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:98,K23,2710,אום אלפחם,9,9,422,stat2011:27100011,11,27100011,11,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:99,K23,2710,אום אלפחם,10,10,443,stat2011:27100032,32,27100032,32,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:100,K23,2710,אום אלפחם,11,11,441,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:101,K23,2710,אום אלפחם,12,12,332,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:102,K23,2710,אום אלפחם,14,14,379,stat2011:27100022,22,27100022,22,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:103,K23,2710,אום אלפחם,16,16,338,stat2011:27100021,21,27100021,21,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:104,K23,2710,אום אלפחם,17,17,321,stat2011:27100021,21,27100021,21,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:105,K23,2710,אום אלפחם,18,18,473,stat2011:27100021,21,27100021,21,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:106,K23,2710,אום אלפחם,19,19,489,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:107,K23,2710,אום אלפחם,20,20,433,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:108,K23,2710,אום אלפחם,21,21,479,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:109,K23,2710,אום אלפחם,22,22,356,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:110,K23,2710,אום אלפחם,23,23,453,stat2011:27100013,13,27100013,13,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:111,K23,2710,אום אלפחם,24,24,441,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:112,K23,2710,אום אלפחם,25,25,404,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:113,K23,2710,אום אלפחם,26,26,435,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:114,K23,2710,אום אלפחם,27,27,274,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:115,K23,2710,אום אלפחם,28,28,408,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:116,K23,2710,אום אלפחם,29,29,384,stat2011:27100022,22,27100022,22,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:117,K23,2710,אום אלפחם,30,30,388,stat2011:27100011,11,27100011,11,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:118,K23,2710,אום אלפחם,31,31,407,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:119,K23,2710,אום אלפחם,32.1,32,483,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:120,K23,2710,אום אלפחם,32.2,32,395,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:121,K23,2710,אום אלפחם,32.3,32,418,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:122,K23,2710,אום אלפחם,33,33,450,stat2011:27100032,32,27100032,32,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:123,K23,2710,אום אלפחם,34,34,331,stat2011:27100012,12,27100012,12,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:124,K23,2710,אום אלפחם,35,35,383,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:125,K23,2710,אום אלפחם,36,36,472,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:126,K23,2710,אום אלפחם,37,37,336,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:127,K23,2710,אום אלפחם,39,39,337,stat2011:27100022,22,27100022,22,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:128,K23,2710,אום אלפחם,41,41,503,stat2011:27100013,13,27100013,13,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:129,K23,2710,אום אלפחם,42,42,475,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:130,K23,2710,אום אלפחם,43,43,378,stat2011:27100011,11,27100011,11,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:131,K23,2710,אום אלפחם,44,44,367,stat2011:27100013,13,27100013,13,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:132,K23,2710,אום אלפחם,45,45,519,stat2011:27100012,12,27100012,12,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:133,K23,2710,אום אלפחם,46,46,379,stat2011:27100012,12,27100012,12,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:134,K23,2710,אום אלפחם,47,47,372,stat2011:27100022,22,27100022,22,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:135,K23,2710,אום אלפחם,48,48,505,stat2011:27100034,34,27100034,34,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:136,K23,2710,אום אלפחם,49,49,394,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:137,K23,2710,אום אלפחם,50,50,487,stat2011:27100033,33,27100033,33,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:138,K23,2710,אום אלפחם,51,51,394,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:139,K23,2710,אום אלפחם,52,52,349,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:140,K23,2710,אום אלפחם,53,53,338,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:141,K23,2710,אום אלפחם,54,54,352,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:142,K23,2710,אום אלפחם,55,55,364,stat2011:27100032,32,27100032,32,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:143,K23,2710,אום אלפחם,56,56,402,stat2011:27100015,15,27100015,15,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:144,K23,2710,אום אלפחם,57,57,350,stat2011:27100031,31,27100031,31,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2532,K23,494,דאלית אלכרמל,1,1,394,stat2011:4940001,1,4940001,1,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2533,K23,494,דאלית אלכרמל,2,2,390,stat2011:4940003,3,4940003,3,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2534,K23,494,דאלית אלכרמל,3,3,389,stat2011:4940001,1,4940001,1,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2535,K23,494,דאלית אלכרמל,4,4,366,stat2011:4940004,4,4940004,4,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2536,K23,494,דאלית אלכרמל,5,5,362,stat2011:4940004,4,4940004,4,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2537,K23,494,דאלית אלכרמל,6,6,343,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2538,K23,494,דאלית אלכרמל,7,7,426,stat2011:4940005,5,4940005,5,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2539,K23,494,דאלית אלכרמל,8,8,379,stat2011:4940005,5,4940005,5,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2540,K23,494,דאלית אלכרמל,9,9,380,stat2011:4940004,4,4940004,4,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2541,K23,494,דאלית אלכרמל,10,10,432,stat2011:4940005,5,4940005,5,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2542,K23,494,דאלית אלכרמל,12,12,432,stat2011:4940005,5,4940005,5,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2543,K23,494,דאלית אלכרמל,13,13,388,stat2011:4940003,3,4940003,3,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2544,K23,494,דאלית אלכרמל,14,14,287,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2545,K23,494,דאלית אלכרמל,16,16,343,stat2011:4940001,1,4940001,1,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2546,K23,494,דאלית אלכרמל,18,18,387,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2547,K23,494,דאלית אלכרמל,19,19,398,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2548,K23,494,דאלית אלכרמל,20,20,374,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2549,K23,494,דאלית אלכרמל,21,21,304,stat2011:4940002,2,4940002,2,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
K23:2550,K23,494,דאלית אלכרמל,22,22,376,stat2011:4940001,1,4940001,1,official_cec_k23_ags,archive_knesset23_kalpies_report_19_1_20_1.xlsx
