source_locality_code,source_locality_name,pending_rows,pending_actual_voters,candidate_rows,candidate_actual_voters,blank_ags_rows,blank_ags_actual_voters
1192,ערערהבנגב,2,776,0,0,2,776
1292,גדיידהמכר,20,10059,0,0,20,10059
1327,מעלה עירון,16,6068,0,0,16,6068
2710,אום אלפחם,55,22535,55,22535,0,0
2720,טירה,24,13218,0,0,24,13218
2730,טייבה,45,20117,0,0,45,20117
473,אבו סנאן,13,6090,0,0,13,6090
478,אכסאל,14,6553,0,0,14,6553
480,בית גן,12,4311,0,0,12,4311
481,מגאר,22,8706,0,0,22,8706
490,דייר אלאסד,12,6877,0,0,12,6877
494,דאלית אלכרמל,19,7150,19,7150,0,0
498,טורעאן,13,6057,0,0,13,6057
499,יפיע,18,8705,0,0,18,8705
502,ירכא,15,6444,0,0,15,6444
509,כפר כנא,20,10431,0,0,20,10431
510,כפר מנדא,17,8957,0,0,17,8957
516,מגד אלכרום,16,7951,0,0,16,7951
522,נחף,12,6028,0,0,12,6028
529,אעבלין,13,6232,0,0,13,6232
531,עראבה,24,12066,0,0,24,12066
532,עין מאהל,13,6608,0,0,13,6608
534,עספיא,13,5136,0,0,13,5136
537,פוריידיס,12,5222,0,0,12,5222
541,גסר אזרקא,13,4941,0,0,13,4941
542,ריינה,17,7764,0,0,17,7764
6000,באקה אלגרביה,30,11879,0,0,30,11879
628,גת,13,4597,0,0,13,4597
634,כפר קאסם,23,11185,0,0,23,11185
637,ערערה,18,9119,0,0,18,9119
638,קלנסווה,20,10437,0,0,20,10437
654,כפר קרע,17,9264,0,0,17,9264
7300,נצרת,1,430,0,0,1,430
7500,סחנין,30,17136,0,0,30,17136
8200,קרית מוצקין,1,234,0,0,1,234
8800,שפרעם,39,19200,0,0,39,19200
8900,טמרה,31,18354,0,0,31,18354
