source_row_uid,election,source_locality_code,source_locality_name,source_kalpi,actual_voters,candidate_stat_area_id,evidence_method,evidence_elections,source_workbooks,known_assignment_evidence
K19:10078,K19,1054,תל שבע,2,375,stat2011:10540003,cbs_stable_ballot_cross_election_consensus,K20|K21|K22|K23,stable_ballots_k20.xls|stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K20:official|K21:official|K22:official|K23:official
K19:10083,K19,1054,תל שבע,7,162,stat2011:10540001,cbs_stable_ballot_cross_election_carry,K20,stable_ballots_k20.xls,K20:official
K20:100,K20,2710,אום אל-פחם,20,491,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:101,K20,2710,אום אל-פחם,21,496,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:102,K20,2710,אום אל-פחם,22,265,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:103,K20,2710,אום אל-פחם,23,376,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:104,K20,2710,אום אל-פחם,24,435,stat2011:27100034,cbs_stable_ballot_cross_election_carry,K21,stable_ballots_k21.xlsx,K21:official
K20:105,K20,2710,אום אל-פחם,25,367,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:106,K20,2710,אום אל-פחם,26,373,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:108,K20,2710,אום אל-פחם,28,377,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx,K21:official|K22:official
