conflict_type,locality_code,ballot,elections,known_area_ids,source_workbooks,reason
2008_2011_transition,1161,13,K18|K19,stat2008:11610011|stat2011:11610003,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1161,14,K18|K19,stat2008:11610011|stat2011:11610003,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1161,18,K18|K19,stat2008:11610011|stat2011:11610003,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1161,27,K18|K19,stat2008:11610005|stat2011:11610009,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1161,5,K18|K19,stat2008:11610011|stat2011:11610003,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1200,20,K18|K19,stat2008:12000023|stat2011:12000026,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1200,22,K18|K19,stat2008:12000023|stat2011:12000023,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1200,25,K18|K19,stat2008:12000023|stat2011:12000026,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,1200,48,K18|K19,stat2008:12000023|stat2011:12000023,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,166,10,K18|K19,stat2008:1660002|stat2011:1660002,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,166,12,K18|K19,stat2008:1660002|stat2011:1660004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,166,13,K18|K19,stat2008:1660002|stat2011:1660002,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,166,14,K18|K19,stat2008:1660002|stat2011:1660004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
