geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source,display_mode,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,stat_area_count,single_stat_area,has_function_code,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids,custom_id,custom_key,lon,lat,radius_m,source_stat_area_id
stat1995:7001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:7001,1995.0,7001.0,loc:7,7.0,שחר,SHAHAR,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:10001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:10001,1995.0,10001.0,loc:10,10.0,תירוש,TIROSH,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:11001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:11001,1995.0,11001.0,loc:11,11.0,"ניר ח""ן",NIR HEN,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:13001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:13001,1995.0,13001.0,loc:13,13.0,חצבה,HAZEVA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:15001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:15001,1995.0,15001.0,loc:15,15.0,נועם,NO'AM,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:16001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:16001,1995.0,16001.0,loc:16,16.0,בית ניר,BET NIR,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:18001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:18001,1995.0,18001.0,loc:18,18.0,שדה משה,SEDE MOSHE,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:23001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:23001,1995.0,23001.0,loc:23,23.0,אמציה,AMAZYA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:24001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:24001,1995.0,24001.0,loc:24,24.0,לכיש,LAKHISH,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:26001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:26001,1995.0,26001.0,loc:26,26.0,ראש פינה,ROSH PINNA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
